osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,access,tunnel
80432540,Calle Doctor Fleming,residential,False,False,120.466,,,"LINESTRING (-1.3322913 38.4725383, -1.3309186 38.4726752)",,,
80432540,Calle Doctor Fleming,residential,False,True,50.829,,,"LINESTRING (-1.3322913 38.4725383, -1.3328697 38.4724759)",,,
211623795,Calle Infante Don Fadrique,residential,True,False,58.163,,,"LINESTRING (-1.3322913 38.4725383, -1.3321967 38.4720205)",,,
148118274,Avenida Nuestra Sra. de la Asunción,secondary,False,True,60.913,2,30,"LINESTRING (-1.3303646 38.4699491, -1.3302148 38.4704842)",,,
80432507,Avenida del Casón,residential,False,True,52.283,,,"LINESTRING (-1.3303646 38.4699491, -1.3305033 38.4699118, -1.3305837 38.4698913, -1.3308152 38.4698257, -1.3309305 38.4697918)",,,
80512181,Avenida de la Libertad,secondary,True,False,432.9549999999999,,,"LINESTRING (-1.3303646 38.4699491, -1.3301317 38.4699632, -1.3288323 38.4704386, -1.3284933 38.4705611, -1.3283152 38.47062, -1.3281342 38.4706737, -1.3280307 38.4707025, -1.3278548 38.4707492, -1.3276692 38.4707969, -1.3271705 38.4709075, -1.3270259 38.470948, -1.326911 38.4709897, -1.3267084 38.4710665, -1.3263931 38.4712076, -1.3262352 38.4712841, -1.326041 38.4713687, -1.325813 38.4714656)",,,
80432507,Avenida del Casón,residential,False,False,60.748,,,"LINESTRING (-1.3315224 38.4695045, -1.3311558 38.4697003, -1.3310708 38.4697392, -1.3309305 38.4697918)",,,
80432507,Avenida del Casón,residential,False,True,53.318,,,"LINESTRING (-1.3315224 38.4695045, -1.3319774 38.4693207, -1.3320638 38.4692806)",,,
80512554,Calle Castelar,residential,True,False,56.819,,,"LINESTRING (-1.3316433 38.4746047, -1.3317772 38.4746239, -1.3322922 38.4746554)",,,
227324986,Calle San Roque,residential,False,False,82.066,,,"LINESTRING (-1.3316433 38.4746047, -1.3317977 38.4745685, -1.3319757 38.4745145, -1.3321758 38.4744461, -1.3322108 38.474438, -1.3322452 38.4744326, -1.3325017 38.4744117, -1.3325445 38.4744103)",,,
80432526,Calle Sagasta,residential,True,False,97.895,,,"LINESTRING (-1.3250765 38.4771271, -1.3240018 38.4773864)",,,
