osmid,highway,oneway,reversed,length,name,geometry,junction
570480679,residential,False,False,16.004,,"LINESTRING (95.4612669 17.6445803, 95.4614134 17.6446153)",
253368315,primary,False,False,36.314,Nat Maw Road,"LINESTRING (95.4594683 17.6430056, 95.4592435 17.6427591)",
111453760,residential,False,False,74.844,,"LINESTRING (95.4594683 17.6430056, 95.4590973 17.6433451, 95.4589852 17.6434936)",
253368315,primary,False,True,154.127,Nat Maw Road,"LINESTRING (95.4594683 17.6430056, 95.4599605 17.6435568, 95.46021 17.6438285, 95.460408 17.6440634)",
249526947,residential,False,False,182.253,Manawhari Road,"LINESTRING (95.463619 17.646005, 95.4640851 17.646034, 95.4644061 17.646048, 95.4649188 17.6460441, 95.4653363 17.6460125)",
249526947,residential,False,True,63.819,Manawhari Road,"LINESTRING (95.463619 17.646005, 95.4631316 17.6459907, 95.4630171 17.6459852)",
249526948,residential,False,True,232.784,Bo Ba Thein Street,"LINESTRING (95.463619 17.646005, 95.4636591 17.6463507, 95.4637045 17.6465789, 95.4637207 17.6468093, 95.4637396 17.6470672, 95.4637149 17.6473176, 95.4636679 17.6475283, 95.4636536 17.6476434, 95.4636754 17.6477801, 95.4637382 17.648077)",
249526947,residential,False,True,182.253,Manawhari Road,"LINESTRING (95.4653363 17.6460125, 95.4649188 17.6460441, 95.4644061 17.646048, 95.4640851 17.646034, 95.463619 17.646005)",
249537226,residential,False,False,212.712,Myo Thu Gyi Pagoda Street,"LINESTRING (95.4653363 17.6460125, 95.4652787 17.6453536, 95.4652327 17.644772, 95.4652084 17.6444429, 95.4652431 17.6441059)",
"[249537226, 250580295]",residential,False,True,360.729,"['Myo Thu Gyi Pagoda Street', 'Shin Pin Thar Lyaung Street']","LINESTRING (95.4653363 17.6460125, 95.4653561 17.6461326, 95.4653539 17.6462292, 95.4653385 17.6464832, 95.4653677 17.6468466, 95.4654317 17.6474765, 95.4652977 17.6475068, 95.4642275 17.6477077, 95.4639405 17.6478592, 95.4637382 17.648077)",
570371274,residential,False,False,132.294,,"LINESTRING (95.457429 17.647685, 95.4581389 17.6467063)",
"[250575841, 570540647]",tertiary,False,False,124.27600000000001,ဦးဝိစာရလမ်း,"LINESTRING (95.457429 17.647685, 95.4578488 17.6480222, 95.4578796 17.6480759, 95.4578783 17.6481155, 95.4575875 17.648524)",
250575841,tertiary,False,True,95.667,ဦးဝိစာရလမ်း,"LINESTRING (95.457429 17.647685, 95.4568761 17.6472754, 95.4567227 17.6471494)",
250575848,residential,False,False,55.6,Say Yone Houng Phyat Street,"LINESTRING (95.4625633 17.6480409, 95.462042 17.6480979)",
249526949,primary,False,False,188.293,Nat Maw Road,"LINESTRING (95.4625633 17.6480409, 95.4621678 17.6476339, 95.4617562 17.6472149, 95.4614513 17.646915, 95.4613385 17.6468145)",
"[570540061, 249526949]",primary,False,"[False, True]",39.948,Nat Maw Road,"LINESTRING (95.4625633 17.6480409, 95.4626888 17.6481429, 95.4628333 17.6482908)",
250575848,residential,False,True,81.809,Say Yone Houng Phyat Street,"LINESTRING (95.4612704 17.6481234, 95.462042 17.6480979)",
250580300,residential,False,False,60.31,Say Yone Hound Street,"LINESTRING (95.4612704 17.6481234, 95.4612605 17.6475811)",
250575850,residential,False,True,71.056,Say Yone Hound Street,"LINESTRING (95.4612704 17.6481234, 95.4613723 17.6484957, 95.4614889 17.6487244)",
249526949,primary,False,False,18.507,Nat Maw Road,"LINESTRING (95.4613385 17.6468145, 95.4612874 17.6467629, 95.4612503 17.6466742)",
249526949,primary,False,True,188.293,Nat Maw Road,"LINESTRING (95.4613385 17.6468145, 95.4614513 17.646915, 95.4617562 17.6472149, 95.4621678 17.6476339, 95.4625633 17.6480409)",
250580300,residential,False,True,75.976,Say Yone Hound Street,"LINESTRING (95.4613385 17.6468145, 95.4612807 17.6473067, 95.4612626 17.6474939)",
250575850,residential,False,False,126.28899999999999,Say Yone Hound Street,"LINESTRING (95.4615419 17.64984, 95.461601 17.6494555, 95.4616067 17.6492055, 95.4615762 17.6489598, 95.4614889 17.6487244)",
250575850,residential,False,False,71.056,Say Yone Hound Street,"LINESTRING (95.4614889 17.6487244, 95.4613723 17.6484957, 95.4612704 17.6481234)",
250575850,residential,False,True,126.289,Say Yone Hound Street,"LINESTRING (95.4614889 17.6487244, 95.4615762 17.6489598, 95.4616067 17.6492055, 95.461601 17.6494555, 95.4615419 17.64984)",
250575852,residential,False,False,70.773,,"LINESTRING (95.4614889 17.6487244, 95.4610122 17.6485785, 95.460853 17.6485297)",
250575852,residential,False,False,50.774,,"LINESTRING (95.4604457 17.648405, 95.4599895 17.6482653)",
250575852,residential,False,True,45.331,,"LINESTRING (95.4604457 17.648405, 95.460853 17.6485297)",
250575855,residential,False,False,121.691,,"LINESTRING (95.4604457 17.648405, 95.4608152 17.6473688)",
250575855,residential,False,True,121.691,,"LINESTRING (95.4608152 17.6473688, 95.4604457 17.648405)",
570540646,residential,False,False,49.406,,"LINESTRING (95.4608152 17.6473688, 95.4612626 17.6474939)",
570540646,residential,False,True,52.896,,"LINESTRING (95.4608152 17.6473688, 95.4603365 17.6472339)",
250580305,residential,False,False,92.209,Kan Taw Mingalar Street,"LINESTRING (95.4567227 17.6471494, 95.4570618 17.6463857)",
250575841,tertiary,False,False,95.667,ဦးဝိစာရလမ်း,"LINESTRING (95.4567227 17.6471494, 95.4568761 17.6472754, 95.457429 17.647685)",
250575841,tertiary,False,True,37.642,ဦးဝိစာရလမ်း,"LINESTRING (95.4567227 17.6471494, 95.4565692 17.647064, 95.4564399 17.647003, 95.4564086 17.6469924)",
250580305,residential,False,True,52.175,Kan Taw Mingalar Street,"LINESTRING (95.4574992 17.6454463, 95.4574101 17.6456436, 95.4572991 17.645875)",
110552989,residential,False,True,184.23000000000002,,"LINESTRING (95.4595948 17.6459779, 95.4599146 17.6456379, 95.4600766 17.6454843, 95.4603106 17.6452729, 95.4608698 17.6448583)",
250587681,residential,False,True,70.803,Phayargyi 4 Street,"LINESTRING (95.4575847 17.642063, 95.4577659 17.6423078, 95.4577333 17.6423708, 95.4576688 17.642443, 95.4575335 17.642557)",
250593293,residential,False,False,73.484,,"LINESTRING (95.4606017 17.6464403, 95.4612503 17.6466742)",
110550863,tertiary,False,False,92.696,Bo Myat Tun Road,"LINESTRING (95.4606017 17.6464403, 95.4605423 17.6466629, 95.4604483 17.6469014, 95.4603989 17.6470407, 95.4603841 17.6470878, 95.4603747 17.6471165, 95.4603365 17.6472339)",
110550863,tertiary,False,True,84.075,Bo Myat Tun Road,"LINESTRING (95.4606017 17.6464403, 95.4607382 17.6461107, 95.4608137 17.6459636, 95.4608808 17.6458743, 95.4609751 17.6457829)",
250575848,residential,False,False,81.809,Say Yone Houng Phyat Street,"LINESTRING (95.462042 17.6480979, 95.4612704 17.6481234)",
250575848,residential,False,True,55.6,Say Yone Houng Phyat Street,"LINESTRING (95.462042 17.6480979, 95.4625633 17.6480409)",
110553802,residential,False,False,13.422,,"LINESTRING (95.4615506 17.64439, 95.4614498 17.6444631)",
570480682,residential,False,True,14.404,,"LINESTRING (95.4615506 17.64439, 95.4616692 17.6444533)",
110553802,residential,False,True,56.218,,"LINESTRING (95.4615506 17.64439, 95.4617931 17.6442379, 95.4619978 17.6441181)",
"[570480681, 570496678, 570480678]",residential,False,"[False, True]",80.106,,"LINESTRING (95.4615506 17.64439, 95.4613515 17.6440155, 95.4612897 17.643923, 95.461173 17.6437678)",
251986952,residential,False,False,50.537,,"LINESTRING (95.4591371 17.6454843, 95.4593613 17.6452331, 95.45946 17.6451512)",
251986952,residential,False,True,117.359,,"LINESTRING (95.460566 17.6442452, 95.4597302 17.6449377)",
253368315,primary,False,False,26.248,Nat Maw Road,"LINESTRING (95.460566 17.6442452, 95.460408 17.6440634)",
253368315,primary,False,True,8.356,Nat Maw Road,"LINESTRING (95.460566 17.6442452, 95.4606101 17.6443075)",
253368315,primary,False,False,137.612,Nat Maw Road,"LINESTRING (95.4590819 17.6425741, 95.4582515 17.6416226)",
253368315,primary,False,True,26.766,Nat Maw Road,"LINESTRING (95.4590819 17.6425741, 95.4592435 17.6427591)",
252001583,residential,False,False,137.433,,"LINESTRING (95.4590819 17.6425741, 95.4594693 17.6422365, 95.4597177 17.6420411, 95.4598625 17.6419079, 95.4599763 17.6418507, 95.4600902 17.6418147)",
252001583,residential,False,False,46.706,,"LINESTRING (95.4600902 17.6418147, 95.4605259 17.6417512)",
252001583,residential,False,True,137.433,,"LINESTRING (95.4600902 17.6418147, 95.4599763 17.6418507, 95.4598625 17.6419079, 95.4597177 17.6420411, 95.4594693 17.6422365, 95.4590819 17.6425741)",
252001583,residential,False,True,20.211,,"LINESTRING (95.4607537 17.6416948, 95.4605691 17.6417405)",
567957180,residential,False,False,40.703,,"LINESTRING (95.4607537 17.6416948, 95.4606967 17.6413328)",
252001583,residential,False,False,53.278,,"LINESTRING (95.4607537 17.6416948, 95.4610925 17.641522, 95.4612012 17.641477)",
253133881,residential,False,False,30.121,,"LINESTRING (95.4656126 17.6433605, 95.4655552 17.6430952)",
253133881,residential,False,True,30.121,,"LINESTRING (95.4655552 17.6430952, 95.4656126 17.6433605)",
567201360,residential,False,False,43.754999999999995,,"LINESTRING (95.4655552 17.6430952, 95.4653032 17.6431769, 95.465174 17.6432432)",
110520767,primary,False,True,42.89,Nat Maw Road,"LINESTRING (95.4609715 17.6453111, 95.4610326 17.6456924)",
253368316,primary,True,False,51.959,Nat Maw Road,"LINESTRING (95.4609715 17.6453111, 95.4609213 17.6452131, 95.4609025 17.6450623, 95.4608698 17.6448583)",
110553802,residential,False,True,42.945,,"LINESTRING (95.460931 17.6447964, 95.4612669 17.6445803)",
253475943,primary,True,False,57.831999999999994,Nat Maw Road,"LINESTRING (95.460931 17.6447964, 95.4609747 17.645055, 95.4609898 17.6451984, 95.4609715 17.6453111)",
253368315,primary,False,False,8.356,Nat Maw Road,"LINESTRING (95.4606101 17.6443075, 95.460566 17.6442452)",
253368314,primary,True,False,65.646,Nat Maw Road,"LINESTRING (95.4606101 17.6443075, 95.4606799 17.6443451, 95.4607965 17.6445023, 95.4608583 17.6446127, 95.460931 17.6447964)",
111453760,residential,False,False,37.846,,"LINESTRING (95.4587125 17.6437782, 95.4584714 17.6440293)",
111453760,residential,False,True,24.336,,"LINESTRING (95.4587125 17.6437782, 95.4588813 17.6436298)",
473413946,residential,False,False,184.519,,"LINESTRING (95.4587125 17.6437782, 95.4575335 17.642557)",
473413946,residential,False,True,184.519,,"LINESTRING (95.4575335 17.642557, 95.4587125 17.6437782)",
250587681,residential,False,False,70.803,Phayargyi 4 Street,"LINESTRING (95.4575335 17.642557, 95.4576688 17.642443, 95.4577333 17.6423708, 95.4577659 17.6423078, 95.4575847 17.642063)",
110553802,residential,False,False,4.845,,"LINESTRING (95.4641108 17.6430778, 95.4640696 17.6430967)",
110553802,residential,False,True,117.122,,"LINESTRING (95.4641108 17.6430778, 95.4651236 17.642656)",
"[570484435, 524345382]",residential,False,False,86.87299999999999,,"LINESTRING (95.4641108 17.6430778, 95.4638707 17.6424579, 95.4637687 17.6423867)",
250575857,residential,False,True,149.39,Sit Care Street,"LINESTRING (95.4647652 17.6498183, 95.4647299 17.6496501, 95.4646818 17.6495381, 95.4645924 17.6493991, 95.4644805 17.6492729, 95.464243 17.649012, 95.4640563 17.6487978, 95.4639959 17.6487174)",
