osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed
391815396,ဘုရင့်နောင်လမ်းမကြီး,primary,yes,False,False,22.6,"LINESTRING (98.3801224 15.3041586, 98.3799194 15.3042131)",
391815396,ဘုရင့်နောင်လမ်းမကြီး,primary,yes,False,True,66.329,"LINESTRING (98.3801224 15.3041586, 98.380731 15.3042646)",
391815404,Tukmaepar -1/2,residential,,False,True,13.363,"LINESTRING (98.3801224 15.3041586, 98.3801412 15.3040398)",
220030896,Tukmaepar -1/2,residential,,False,True,209.005,"LINESTRING (98.3801224 15.3041586, 98.3800098 15.3051521, 98.3799307 15.306029)",
391815396,ဘုရင့်နောင်လမ်းမကြီး,primary,yes,False,False,78.5,"LINESTRING (98.3861382 15.3029672, 98.3860152 15.3031227, 98.3858971 15.3031939, 98.3855331 15.3033286)",
199407613,Tukmaepar 9,unclassified,,False,False,51.796,"LINESTRING (98.3821026 15.302366, 98.3822046 15.3028213)",
220030693,Tukmaepar -1/2,residential,,False,False,9.372,"LINESTRING (98.3821026 15.302366, 98.3820164 15.3023798)",
220030693,Tukmaepar -1/2,residential,,False,True,51.987,"LINESTRING (98.3821026 15.302366, 98.3825847 15.3023175)",
199407613,Tukmaepar 9,unclassified,,False,False,2.897,"LINESTRING (98.3823511 15.3037614, 98.382354 15.3037873)",
199407613,Tukmaepar 9,unclassified,,False,True,46.909,"LINESTRING (98.3823511 15.3037614, 98.3822842 15.3033445)",
391815404,Tukmaepar -1/2,residential,,False,False,115.781,"LINESTRING (98.3823511 15.3037614, 98.3818498 15.3037861, 98.3812773 15.3037125)",
292368269,Tukmaepar -1/2,residential,,False,False,47.424,"LINESTRING (98.384174 15.3062937, 98.3838013 15.3065232)",
199407590,Tukmaepar East-1,residential,,False,True,272.126,"LINESTRING (98.384174 15.3062937, 98.3854348 15.3068599, 98.3864736 15.3073279)",
199407613,Tukmaepar 9,unclassified,,False,False,78.582,"LINESTRING (98.382476 15.3044, 98.3825893 15.3050982)",
199407613,Tukmaepar 9,unclassified,,False,True,69.374,"LINESTRING (98.382476 15.3044, 98.382354 15.3037873)",
391815396,ဘုရင့်နောင်လမ်းမကြီး,primary,yes,False,False,133.23000000000002,"LINESTRING (98.382476 15.3044, 98.3820748 15.304456, 98.3818362 15.3044541, 98.3812517 15.3043312)",
391815396,ဘုရင့်နောင်လမ်းမကြီး,primary,yes,False,True,97.345,"LINESTRING (98.382476 15.3044, 98.3826198 15.3043737, 98.3829911 15.3042679, 98.3833538 15.3041795)",
309425090,Tukmaepar -1/2,residential,,False,False,17.281,"LINESTRING (98.3801711 15.3036347, 98.3801772 15.3034794)",
391815404,Tukmaepar -1/2,residential,,False,False,11.141,"LINESTRING (98.3801711 15.3036347, 98.3801589 15.3037342)",
391815404,Tukmaepar -1/2,residential,,False,True,69.275,"LINESTRING (98.3801711 15.3036347, 98.3808155 15.3036772)",
220030693,Tukmaepar -1/2,residential,,False,False,51.987,"LINESTRING (98.3825847 15.3023175, 98.3821026 15.302366)",
220030690,Tukmaepar -1/2,residential,,False,False,51.347,"LINESTRING (98.3825847 15.3023175, 98.3826209 15.3024752, 98.3827046 15.3027644)",7 mph
220030690,Tukmaepar -1/2,residential,,False,True,214.22699999999998,"LINESTRING (98.3825847 15.3023175, 98.3826585 15.3023023, 98.3832284 15.3018458, 98.383285 15.3017424, 98.3833212 15.301485, 98.383413 15.301233, 98.3835028 15.3010581, 98.38362 15.3007799)",7 mph
391809370,Tukmaepar -1/2,residential,,False,True,94.66499999999999,"LINESTRING (98.3825847 15.3023175, 98.3825363 15.3021173, 98.3825072 15.301864, 98.3824965 15.3017476, 98.3824505 15.3016645, 98.3823298 15.3015274)",
220030690,Tukmaepar -1/2,residential,,False,False,70.055,"LINESTRING (98.3829987 15.3036861, 98.382354 15.3037873)",7 mph
220030690,Tukmaepar -1/2,residential,,False,True,44.442,"LINESTRING (98.3829987 15.3036861, 98.3828472 15.3033141)",7 mph
292368267,Tukmaepar -1/2,residential,,False,False,66.789,"LINESTRING (98.3829987 15.3036861, 98.3832266 15.3039987, 98.3833538 15.3041795)",
199407613,Tukmaepar 9,unclassified,,False,False,183.05,"LINESTRING (98.3829748 15.3070717, 98.3830659 15.3072515, 98.3835635 15.308013, 98.3838429 15.3084878)",
199407613,Tukmaepar 9,unclassified,,False,True,75.992,"LINESTRING (98.3829748 15.3070717, 98.3829342 15.306821, 98.382859 15.3063975)",
220030692,Tukmaepar -1/2,residential,,False,False,153.132,"LINESTRING (98.3829748 15.3070717, 98.3824772 15.3072432, 98.382081 15.3073482, 98.3817007 15.3073855, 98.3815945 15.3073883)",
292368269,Tukmaepar -1/2,residential,,False,True,60.30800000000001,"LINESTRING (98.3829748 15.3070717, 98.3831611 15.3069189, 98.3833944 15.3067688, 98.3834261 15.3067498)",
220030690,Tukmaepar -1/2,residential,,False,False,63.008,"LINESTRING (98.3827046 15.3027644, 98.3828472 15.3033141)",7 mph
391815391,Tukmaepar -1/2,residential,,False,True,67.886,"LINESTRING (98.3827046 15.3027644, 98.3832765 15.3025028)",
220030690,Tukmaepar -1/2,residential,,False,True,51.347,"LINESTRING (98.3827046 15.3027644, 98.3826209 15.3024752, 98.3825847 15.3023175)",7 mph
220030690,Tukmaepar -1/2,residential,,False,True,10.626,"LINESTRING (98.38362 15.3007799, 98.3836691 15.3006969)",7 mph
