osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
35762043,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,12.639,"LINESTRING (19.8737006 51.0880106, 19.8736646 51.0879934, 19.8736358 51.0879715, 19.8736158 51.087946, 19.8736057 51.0879183)",,roundabout,
"[35716285, 35713270]",2,42,Trytwa,primary,50,False,True,285.89799999999997,"LINESTRING (19.8731179 51.0881694, 19.8718604 51.0886242, 19.8714109 51.0887913, 19.8712718 51.0888428, 19.871126 51.0888964, 19.8707656 51.0890299, 19.8695889 51.0894721)",,,yes
"[1162440154, 253335262]",1,42,Trytwa,primary,50,True,False,44.169,"LINESTRING (19.8731179 51.0881694, 19.87334 51.0880589, 19.8734838 51.0879935, 19.8735378 51.0879661, 19.8735717 51.0879445, 19.8736057 51.0879183)",,,
32555072,2,42,Konecka,primary,50,False,False,79.21,"LINESTRING (19.8779154 51.0892984, 19.8777612 51.0892717, 19.8776098 51.0892456, 19.8773812 51.0892064, 19.8770912 51.0891523, 19.8768281 51.0890965)",,,
35716461,2,,Pocztowa,residential,50,False,False,242.576,"LINESTRING (19.8779154 51.0892984, 19.8779336 51.0892497, 19.8779333 51.0892216, 19.8779282 51.0892093, 19.8764788 51.0874024, 19.8764305 51.0873422)",,,
696091296,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,12.518,"LINESTRING (19.8736057 51.0879183, 19.8736059 51.0878902, 19.8736164 51.0878628, 19.8736364 51.0878376, 19.8736651 51.087816)",,roundabout,
35715314,1,,Mostowa,tertiary,50,True,False,42.262,"LINESTRING (19.8739642 51.0878382, 19.8740094 51.0878436, 19.8740648 51.0878439, 19.874146 51.0878411, 19.8743201 51.0878304, 19.8745668 51.0878187)",,,
696091293,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,10.963000000000001,"LINESTRING (19.8739642 51.0878382, 19.8739821 51.0878601, 19.8739927 51.0878839, 19.8739955 51.0879084, 19.8739904 51.0879329)",,roundabout,
696091292,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,4.069,"LINESTRING (19.8739904 51.0879329, 19.8739817 51.0879503, 19.8739689 51.0879668)",,roundabout,
696091295,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,11.238,"LINESTRING (19.8736651 51.087816, 19.8737086 51.0877963, 19.873759 51.0877848, 19.8738125 51.0877823)",,roundabout,
"[1162440156, 253335261]",1,742,Krakowska,secondary,50,True,False,40.5,"LINESTRING (19.8736651 51.087816, 19.8736578 51.0877795, 19.8736483 51.0877492, 19.8736322 51.0877091, 19.8735789 51.0876045, 19.8735316 51.0874622)",,,
910085599,2,42,Leśna,primary,50,False,True,79.307,"LINESTRING (19.8684358 51.0898641, 19.8674432 51.0902105)",,,
577564502,2,42,Leśna,primary,50,False,True,33.7,"LINESTRING (19.8684358 51.0898641, 19.8686958 51.0897787, 19.868863 51.0897232)",,,
188809074,2,,Kościelna,residential,50,False,True,40.298,"LINESTRING (19.8744655 51.0831303, 19.8742493 51.0827943)",,,
577303866,,,Cmentarna,residential,50,False,False,49.763000000000005,"LINESTRING (19.8744655 51.0831303, 19.874594 51.0829821, 19.8748129 51.0827396)",,,
577572437,2,,Kościelna,residential,50,False,False,145.718,"LINESTRING (19.8744655 51.0831303, 19.874462 51.0832012, 19.8744135 51.0843555, 19.8744095 51.0844403)",,,
123814660,2,,Pocztowa,tertiary,50,False,False,118.828,"LINESTRING (19.8759575 51.0868256, 19.8751192 51.0858957)",,,
123814660,2,,Pocztowa,tertiary,50,False,True,66.285,"LINESTRING (19.8759575 51.0868256, 19.8761926 51.0870686, 19.8763743 51.087276, 19.876398 51.0873031, 19.8764305 51.0873422)",,,
123814658,2,,Mostowa,tertiary,50,False,False,3.412,"LINESTRING (19.8755764 51.0876143, 19.8756223 51.0876038)",,,
123814658,2,,Mostowa,tertiary,50,False,True,55.572,"LINESTRING (19.8755764 51.0876143, 19.8752987 51.087672, 19.8748213 51.0877718)",,,
187444693,2,,Podzamcze,residential,50,False,True,133.27599999999998,"LINESTRING (19.8755764 51.0876143, 19.8756313 51.0877013, 19.8757021 51.0878142, 19.8757245 51.0878631, 19.8757445 51.0879283, 19.8757536 51.087985, 19.8757559 51.0880329, 19.8757481 51.0881015, 19.8757388 51.0881408, 19.8757206 51.088182, 19.8756956 51.0882181, 19.8756511 51.0882694, 19.8754887 51.0884532, 19.875306 51.0886772, 19.8752707 51.0887226)",,,
35712112,2,,Browarna,residential,50,False,False,128.141,"LINESTRING (19.8716373 51.0840799, 19.8720246 51.0842318, 19.8731315 51.0841941, 19.873251 51.0841913, 19.8733344 51.0841949, 19.8733989 51.0842043)",,,
1162442740,2,742,Krakowska,secondary,50,False,True,46.329,"LINESTRING (19.8738929 51.0823826, 19.8738018 51.0827953)",,,
188809074,2,,Kościelna,residential,50,False,False,47.301,"LINESTRING (19.8738929 51.0823826, 19.8739404 51.0824165, 19.873974 51.0824405, 19.8739987 51.0824606, 19.8740277 51.0824907, 19.8742186 51.0827522)",,,
123814660,2,,Pocztowa,tertiary,50,False,True,118.828,"LINESTRING (19.8751192 51.0858957, 19.8759575 51.0868256)",,,
188809072,2,,Kielecka,tertiary,,False,False,34.311,"LINESTRING (19.8751192 51.0858957, 19.8754456 51.0856651)",,,
"[839248330, 839248331]",2,,Kielecka,residential,50,False,True,55.260999999999996,"LINESTRING (19.8751192 51.0858957, 19.8749899 51.0859691, 19.8747187 51.0860846, 19.8744879 51.0861941)",,,
123814656,1,,Warszawska,residential,50,True,False,44.326,"LINESTRING (19.8752154 51.0871684, 19.874822 51.0868556)",,,
123814657,1,,Spółdzielcza,residential,50,True,False,64.34,"LINESTRING (19.8752154 51.0871684, 19.8759575 51.0868256)",,,
35712112,2,,Browarna,residential,50,False,True,128.141,"LINESTRING (19.8733989 51.0842043, 19.8733344 51.0841949, 19.873251 51.0841913, 19.8731315 51.0841941, 19.8720246 51.0842318, 19.8716373 51.0840799)",,,
577499460,2,742,Krakowska,secondary,50,False,False,159.21499999999997,"LINESTRING (19.8733989 51.0842043, 19.8735817 51.0836265, 19.8736462 51.0834113, 19.8736965 51.0832336, 19.8737326 51.0830909, 19.8737688 51.0829432, 19.8738018 51.0827953)",,,
577499460,2,742,Krakowska,secondary,50,False,True,222.07999999999998,"LINESTRING (19.8733989 51.0842043, 19.8733787 51.0842894, 19.8731143 51.0851721, 19.8730805 51.0853043, 19.8730602 51.0854095, 19.8730407 51.0855376, 19.8730309 51.0856521, 19.8730278 51.0857566, 19.8730316 51.0858603, 19.873042 51.0859698, 19.8730594 51.0860801, 19.8730795 51.0861803)",,,
123814658,2,,Mostowa,tertiary,50,False,False,18.525,"LINESTRING (19.8745668 51.0878187, 19.8746984 51.0877949, 19.8748213 51.0877718)",,,
198517151,1,,Mostowa,tertiary,50,True,False,42.352000000000004,"LINESTRING (19.8745668 51.0878187, 19.8743897 51.0878628, 19.8743392 51.0878722, 19.8741635 51.0878957, 19.8740899 51.0879082, 19.8740351 51.087919, 19.8739904 51.0879329)",,,
188809057,2,,Rynek,residential,50,True,False,93.608,"LINESTRING (19.873246 51.0868748, 19.873319 51.0868452, 19.8736336 51.0867402, 19.8744292 51.0864799)",,,
253335260,2,742,Krakowska,secondary,50,False,True,44.537000000000006,"LINESTRING (19.873246 51.0868748, 19.8732809 51.0869781, 19.8733264 51.0870761, 19.873361 51.0871537, 19.8734151 51.0872607)",,,
"[1126166275, 1162440158]",2,742,Krakowska,secondary,50,False,False,78.136,"LINESTRING (19.873246 51.0868748, 19.8732174 51.0867871, 19.8731816 51.0866736, 19.8731496 51.0865261, 19.8731116 51.0863511, 19.8730795 51.0861803)",,,
910085599,2,42,Leśna,primary,50,False,False,79.307,"LINESTRING (19.8674432 51.0902105, 19.8684358 51.0898641)",,,
"[35716285, 35713270]",2,42,Trytwa,primary,50,False,False,285.89799999999997,"LINESTRING (19.8695889 51.0894721, 19.8707656 51.0890299, 19.871126 51.0888964, 19.8712718 51.0888428, 19.8714109 51.0887913, 19.8718604 51.0886242, 19.8731179 51.0881694)",,,yes
35713270,2,42,Trytwa,primary,50,False,True,57.878,"LINESTRING (19.8695889 51.0894721, 19.8690074 51.0896732, 19.868863 51.0897232)",,,
187444565,2,,Kanałowa,residential,50,True,False,114.202,"LINESTRING (19.8695889 51.0894721, 19.8695246 51.0894087, 19.8687101 51.088606)",,,
187444576,,,Sukiennicza,residential,,False,False,92.928,"LINESTRING (19.8695889 51.0894721, 19.8696472 51.0895259, 19.8698272 51.0896921, 19.8701298 51.0899609, 19.8703474 51.0901587)",,,
187444568,2,,Młynarska,residential,50,True,False,76.586,"LINESTRING (19.8687101 51.088606, 19.867871 51.0890494)",,,
