osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,access
1077930961,Jarosława Dąbrowskiego,tertiary,50,6,False,True,79.44,,"LINESTRING (22.3596403 53.8268777, 22.3591048 53.8275184)",
"[236115347, 1125466710]",Jarosława Dąbrowskiego,tertiary,50,,False,False,255.09400000000002,2,"LINESTRING (22.3596403 53.8268777, 22.3597423 53.8267522, 22.3600797 53.8263395, 22.3601551 53.826223, 22.3602237 53.8260857, 22.360391 53.8257583, 22.360448 53.825683, 22.3605099 53.8256245, 22.3605653 53.825562, 22.3606211 53.8254849, 22.3606854 53.825375, 22.3608779 53.8250235, 22.3609633 53.8248842, 22.3610647 53.8247497)",
"[1184993121, 1184448674, 1184451780, 1184941765, 1184941767, 1184451764, 1184451765, 1184449498, 1184449500, 1184449501, 1184449502, 1184449503]",Adama Mickiewicza,tertiary,50,,False,True,268.654,2,"LINESTRING (22.3596403 53.8268777, 22.3594451 53.8268361, 22.3586999 53.826671, 22.3584642 53.826619, 22.3583228 53.8265878, 22.3581322 53.8265359, 22.3579437 53.8264911, 22.3573351 53.8263589, 22.3570446 53.8262959, 22.3568119 53.8262447, 22.3565542 53.8261881, 22.3564153 53.8261602, 22.3559633 53.8260693, 22.3558653 53.8260476, 22.3558054 53.8260343)",
"[290654656, 290654658, 160839326]",Wawelska,residential,,,False,False,193.623,,"LINESTRING (22.3547636 53.8276634, 22.3549307 53.8273992, 22.3550164 53.8272647, 22.3552712 53.8268664, 22.3557551 53.8261159, 22.3558054 53.8260343)",
"[290654656, 290654658, 160839326]",Wawelska,residential,,,False,True,193.62300000000002,,"LINESTRING (22.3558054 53.8260343, 22.3557551 53.8261159, 22.3552712 53.8268664, 22.3550164 53.8272647, 22.3549307 53.8273992, 22.3547636 53.8276634)",
"[1184993121, 1184448674, 1184451780, 1184941765, 1184941767, 1184451764, 1184451765, 1184449498, 1184449500, 1184449501, 1184449502, 1184449503]",Adama Mickiewicza,tertiary,50,,False,False,268.654,2,"LINESTRING (22.3558054 53.8260343, 22.3558653 53.8260476, 22.3559633 53.8260693, 22.3564153 53.8261602, 22.3565542 53.8261881, 22.3568119 53.8262447, 22.3570446 53.8262959, 22.3573351 53.8263589, 22.3579437 53.8264911, 22.3581322 53.8265359, 22.3583228 53.8265878, 22.3584642 53.826619, 22.3586999 53.826671, 22.3594451 53.8268361, 22.3596403 53.8268777)",
147361305,Magazynowa,residential,50,,False,False,164.123,,"LINESTRING (22.3578729 53.825575, 22.3580797 53.8252441, 22.3581161 53.8251884, 22.3583567 53.82482, 22.3584153 53.8247321, 22.358711 53.8242782, 22.3587647 53.8241961)",
58880267,Armii Krajowej,tertiary,50,,False,False,107.08100000000002,2,"LINESTRING (22.3572429 53.823849, 22.357371 53.8238772, 22.3582086 53.8240698, 22.3584168 53.8241176, 22.3586403 53.824168, 22.3587647 53.8241961)",
58880267,Armii Krajowej,tertiary,50,,False,True,71.139,2,"LINESTRING (22.3572429 53.823849, 22.3570735 53.8238105, 22.3569811 53.8237891, 22.3562321 53.8236181)",
145344207,Wawelska,residential,50,,True,False,260.671,,"LINESTRING (22.3572429 53.823849, 22.3571862 53.8239309, 22.3568741 53.8244048, 22.3565918 53.8248337, 22.3561884 53.8254501, 22.356044 53.8256693, 22.3558663 53.8259424, 22.3558054 53.8260343)",
347711258,Tadeusza Kościuszki,tertiary,50,,False,False,13.29,2,"LINESTRING (22.3559891 53.8208834, 22.3561794 53.8209242)",
58880340,Stary Rynek,residential,50,,False,False,140.018,2,"LINESTRING (22.3559891 53.8208834, 22.3560285 53.8208173, 22.3563566 53.8202747, 22.3567096 53.8196982)",
345633833,Garnizonowa,residential,40,,False,True,141.98799999999997,,"LINESTRING (22.3627644 53.8202843, 22.3626484 53.8203487, 22.3624508 53.8204584, 22.3622589 53.8205649, 22.3621074 53.820649, 22.3618179 53.8208097, 22.3612411 53.8211328, 22.3611909 53.8211605)",permissive
58880267,Armii Krajowej,tertiary,50,,False,False,163.09699999999998,2,"LINESTRING (22.3587647 53.8241961, 22.3592914 53.8243167, 22.3597078 53.8244128, 22.3601609 53.8245159, 22.3601767 53.8245196, 22.3603104 53.82455, 22.3607904 53.8246703, 22.3608739 53.8246938, 22.3610647 53.8247497)",
58880267,Armii Krajowej,tertiary,50,,False,True,107.081,2,"LINESTRING (22.3587647 53.8241961, 22.3586403 53.824168, 22.3584168 53.8241176, 22.3582086 53.8240698, 22.357371 53.8238772, 22.3572429 53.823849)",
147361305,Magazynowa,residential,50,,False,True,164.123,,"LINESTRING (22.3587647 53.8241961, 22.358711 53.8242782, 22.3584153 53.8247321, 22.3583567 53.82482, 22.3581161 53.8251884, 22.3580797 53.8252441, 22.3578729 53.825575)",
