osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,bridge
25161378,True,1,63;66,Rondo Romana Dmowskiego,primary,50,roundabout,False,13.004999999999999,"LINESTRING (22.2448504 52.9839005, 22.2447857 52.9839014, 22.2447228 52.9838919, 22.2446664 52.9838728)",
25161378,True,1,63;66,Rondo Romana Dmowskiego,primary,50,roundabout,False,14.343,"LINESTRING (22.2445705 52.9837657, 22.2445764 52.9837229, 22.2446027 52.9836829, 22.2446473 52.9836493)",
688438800,False,,,Plac Władysława Sikorskiego,residential,,,True,39.349,"LINESTRING (22.2423207 52.9849405, 22.2419522 52.9846648)",
97644959,False,,,Adama Mickiewicza,residential,,,False,245.333,"LINESTRING (22.2423207 52.9849405, 22.2423999 52.9849039, 22.2427909 52.9847233, 22.2434503 52.9844187, 22.2435938 52.9842662, 22.2437027 52.9840994, 22.2437531 52.984068, 22.2438221 52.9841084, 22.2439711 52.9842213, 22.243985 52.9842553, 22.2439645 52.9842856, 22.2438705 52.9843489, 22.2436829 52.9844309, 22.2436212 52.9844692, 22.2436159 52.9844992, 22.2436462 52.9845702, 22.2439094 52.9847782, 22.243948 52.9848087)",
97647613,False,,,Plac Władysława Sikorskiego,residential,,,False,33.449,"LINESTRING (22.2423207 52.9849405, 22.2425122 52.9851081, 22.2425309 52.9851658, 22.2425314 52.9852044)",
97646316,False,,,Thomasa Woodrowa Wilsona,residential,,,False,77.9,"LINESTRING (22.2379987 52.9876024, 22.238806 52.9870978)",
808504616,False,2,63;66,Łomżyńska,secondary,50,,True,71.983,"LINESTRING (22.2379987 52.9876024, 22.238477 52.9870226)",
808504616,False,2,63;66,Łomżyńska,secondary,50,,False,17.778,"LINESTRING (22.2379987 52.9876024, 22.2379501 52.9876667, 22.2378821 52.987746)",
97645256,False,,,Henryka Sienkiewicza,residential,,,False,175.87300000000002,"LINESTRING (22.2399885 52.9892992, 22.2391821 52.9894983, 22.2390357 52.9895316, 22.23852 52.9895, 22.2381805 52.989539, 22.2375693 52.9897852)",
"[1058264025, 1058264026, 97647892]",False,,,"['Wisławy Szymborskiej', 'Henryka Sienkiewicza']",residential,,,False,401.592,"LINESTRING (22.2399885 52.9892992, 22.2396065 52.9887637, 22.2395539 52.9886925, 22.2392365 52.98828, 22.2392298 52.9881943, 22.2393155 52.9880989, 22.2399481 52.9878339, 22.2400859 52.9878392, 22.2401606 52.9878709, 22.2402123 52.9879191, 22.2403984 52.9881355, 22.2405143 52.988231, 22.240631 52.9882749, 22.2407348 52.9882724, 22.24085 52.9882396, 22.2414138 52.9880277, 22.2423553 52.9876926)",
97647892,False,,,Henryka Sienkiewicza,residential,,,True,86.551,"LINESTRING (22.2399885 52.9892992, 22.2401729 52.989342, 22.24031 52.98942, 22.2404491 52.9894897, 22.24054 52.98957, 22.2407972 52.9898724)",
97644959,False,,,Adama Mickiewicza,residential,,,True,245.333,"LINESTRING (22.243948 52.9848087, 22.2439094 52.9847782, 22.2436462 52.9845702, 22.2436159 52.9844992, 22.2436212 52.9844692, 22.2436829 52.9844309, 22.2438705 52.9843489, 22.2439645 52.9842856, 22.243985 52.9842553, 22.2439711 52.9842213, 22.2438221 52.9841084, 22.2437531 52.984068, 22.2437027 52.9840994, 22.2435938 52.9842662, 22.2434503 52.9844187, 22.2427909 52.9847233, 22.2423999 52.9849039, 22.2423207 52.9849405)",
97645245,False,,,Świętokrzyska,residential,,,False,99.801,"LINESTRING (22.243948 52.9848087, 22.2441438 52.9847015, 22.2442458 52.984593, 22.2443479 52.9844613, 22.244391 52.984374, 22.2444136 52.9842614, 22.2444065 52.9841622, 22.2443921 52.9840723, 22.2443839 52.9840338, 22.2443875 52.9839986)",
