osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,lanes,junction
162803797,True,42,primary,50,False,32.729,"LINESTRING (18.8650982 51.1164116, 18.8651601 51.1165193, 18.8651733 51.1165554, 18.8651884 51.116606, 18.8652117 51.1166453, 18.8652558 51.1166862)",,,
1165904309,False,42,primary,50,False,9.475,"LINESTRING (18.8650982 51.1164116, 18.8651137 51.1163691, 18.8651517 51.116335)",,,
227746635,False,,residential,,True,60.907,"LINESTRING (18.8586831 51.1172739, 18.8587603 51.1167283)",Rymarska,,
556280126,False,486,secondary,,True,70.25,"LINESTRING (18.8586831 51.1172739, 18.8588376 51.1172383, 18.8590378 51.1172131, 18.8596717 51.1171696)",Kościelna,2,
1102298823,False,486,secondary,50,False,12.04,"LINESTRING (18.8586831 51.1172739, 18.8586031 51.1173015, 18.8585426 51.1173355)",Wieluńska,2,
162803791,False,,tertiary,,False,137.895,"LINESTRING (18.866027 51.1195409, 18.8661465 51.1199583, 18.8663908 51.1207598)",Ożegowska,,
162803791,False,,tertiary,,True,121.09599999999999,"LINESTRING (18.866027 51.1195409, 18.865956 51.1193652, 18.8659179 51.1192709, 18.8658589 51.1191483, 18.865727 51.1189396, 18.8656428 51.1188065, 18.8655694 51.1186904, 18.8655208 51.1186077, 18.865481 51.1185092)",Ożegowska,,
162803975,False,,residential,,False,197.249,"LINESTRING (18.866027 51.1195409, 18.8660992 51.1195018, 18.8661931 51.1194687, 18.8664175 51.119448, 18.8667562 51.1194175, 18.8674323 51.1193544, 18.8680944 51.1192934, 18.8683573 51.1192692, 18.8687882 51.1192294)",Ogrodowa,2,
963386204,False,,residential,30,False,62.423,"LINESTRING (18.866027 51.1195409, 18.8659444 51.1195841, 18.8658486 51.1196183, 18.8655517 51.1196995, 18.8652293 51.1197894)",Wiatrakowa,2,
227746566,False,,residential,,True,59.897,"LINESTRING (18.8596157 51.1166855, 18.8587603 51.1167283)",Bugaj,,
228416434,False,,tertiary,50,True,53.971,"LINESTRING (18.8596157 51.1166855, 18.8596717 51.1171696)",Zamkowa,2,
228416278,False,,tertiary,,False,59.937,"LINESTRING (18.8596157 51.1166855, 18.8598575 51.1166665, 18.8604677 51.1166184)",Gabriela Narutowicza,,
228416566,False,,tertiary,50,True,48.471999999999994,"LINESTRING (18.8596157 51.1166855, 18.8595689 51.1163552, 18.8595542 51.1162513)",Zamkowa,2,
140435547,False,,residential,,False,188.174,"LINESTRING (18.8595542 51.1162513, 18.8597602 51.1162433, 18.8602045 51.1162261, 18.8612559 51.1161741, 18.8616163 51.116151, 18.8622404 51.1161109)",Żurawia,,
228288852,False,,residential,,False,179.893,"LINESTRING (18.8595542 51.1162513, 18.8595264 51.1161353, 18.8594553 51.1158389, 18.8593502 51.1156085, 18.8591211 51.1151836, 18.8588349 51.1147036)",Zamkowa,,
228416566,False,,tertiary,50,False,48.471999999999994,"LINESTRING (18.8595542 51.1162513, 18.8595689 51.1163552, 18.8596157 51.1166855)",Zamkowa,2,
"[228284099, 140435541]",False,,residential,,"[False, True]",42.792,"LINESTRING (18.8722297 51.1123265, 18.8720668 51.1123755, 18.8719582 51.1124491, 18.871903 51.1125351, 18.8718865 51.1126128)",Podłęczna,,
"[228284099, 140435541]",False,,residential,,"[False, True]",42.792,"LINESTRING (18.8718865 51.1126128, 18.871903 51.1125351, 18.8719582 51.1124491, 18.8720668 51.1123755, 18.8722297 51.1123265)",Podłęczna,,
140435541,False,,residential,,True,190.645,"LINESTRING (18.8718865 51.1126128, 18.871674 51.1134835, 18.8715518 51.113747, 18.8713764 51.1139238, 18.8712278 51.1140384, 18.8709728 51.1141635)",Podłęczna,,
140435541,False,,residential,,False,190.645,"LINESTRING (18.8709728 51.1141635, 18.8712278 51.1140384, 18.8713764 51.1139238, 18.8715518 51.113747, 18.871674 51.1134835, 18.8718865 51.1126128)",Podłęczna,,
140435541,False,,residential,,True,200.992,"LINESTRING (18.8709728 51.1141635, 18.8701224 51.1144942, 18.8691984 51.114851, 18.8688307 51.1149788, 18.8684947 51.1150818)",Podłęczna,,
228283991,False,,residential,,True,62.43900000000001,"LINESTRING (18.8709728 51.1141635, 18.8710902 51.1143332, 18.8711702 51.1145447, 18.8712282 51.1146996)",Wodna,,
162803782,False,,residential,,False,47.832,"LINESTRING (18.8684947 51.1150818, 18.8687845 51.1154716)",Kowalska,,
140435541,False,,residential,,False,200.99200000000002,"LINESTRING (18.8684947 51.1150818, 18.8688307 51.1149788, 18.8691984 51.114851, 18.8701224 51.1144942, 18.8709728 51.1141635)",Podłęczna,,
140435541,False,,residential,,True,202.378,"LINESTRING (18.8684947 51.1150818, 18.8680182 51.1152081, 18.8671627 51.1153682, 18.8663603 51.1154883, 18.8657049 51.1155568)",Podłęczna,,
