osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry
173655044,True,61;63,Wojska Polskiego,primary,40,False,13.506,,"LINESTRING (22.0588722 53.1780742, 22.0590682 53.1781051)"
26259741,False,645,Nowogrodzka,secondary,,True,147.73100000000002,2,"LINESTRING (22.0487908 53.1861965, 22.0489878 53.1861747, 22.0509712 53.1859555)"
88491049,False,,Strzelców Kurpiowskich,residential,,False,74.306,,"LINESTRING (22.0487908 53.1861965, 22.0487622 53.1861016, 22.0485783 53.1855405)"
87508787,False,,Wyzwolenia,residential,30,False,56.103,2,"LINESTRING (22.0572235 53.1853856, 22.0572141 53.1853485, 22.0572008 53.1853116, 22.0571934 53.1852986, 22.0571784 53.1852724, 22.057148 53.1852356, 22.0570884 53.185163, 22.0570107 53.1850737, 22.056977 53.1850349, 22.0568819 53.1849277)"
87509500,False,,Nowogrodzka,tertiary,50,False,191.108,2,"LINESTRING (22.0572235 53.1853856, 22.0570532 53.1854014, 22.0568298 53.185422, 22.0561206 53.1854883, 22.0554176 53.18554, 22.05504 53.185568, 22.054383 53.1856225)"
87509500,False,,Nowogrodzka,tertiary,50,True,144.747,2,"LINESTRING (22.0572235 53.1853856, 22.0581548 53.1852983, 22.0584175 53.1852724, 22.0585496 53.1852557, 22.0586905 53.1852334, 22.0587974 53.1852106, 22.0589241 53.1851779, 22.0590781 53.1851288, 22.0592991 53.1850503)"
87508787,False,,Wyzwolenia,residential,30,False,14.61,2,"LINESTRING (22.0562381 53.1842667, 22.0562388 53.1842345, 22.0562452 53.1842008, 22.0562575 53.1841689, 22.0562759 53.1841383)"
87508787,False,,Wyzwolenia,residential,30,True,85.369,2,"LINESTRING (22.0562381 53.1842667, 22.0562593 53.1843171, 22.0563009 53.1843633, 22.0564017 53.1844525, 22.0567422 53.1847895, 22.0568819 53.1849277)"
87508795,False,,Ptasia,residential,,True,200.52299999999997,,"LINESTRING (22.0562381 53.1842667, 22.0561435 53.1842606, 22.0560413 53.1842646, 22.0559498 53.184283, 22.0559028 53.1843012, 22.0558226 53.1843521, 22.0555525 53.1846501, 22.0554854 53.1847298, 22.0554445 53.1847801, 22.055434 53.1848385, 22.0554368 53.1848699, 22.0554727 53.1849162, 22.055539 53.1849743, 22.0556415 53.1850077, 22.0557598 53.185031, 22.0559117 53.1850382, 22.056766 53.1849409, 22.0568819 53.1849277)"
85515372,True,645,Generała Władysława Sikorskiego,secondary,50,False,15.076,,"LINESTRING (22.0590682 53.1781051, 22.0589741 53.1782284)"
173655045,True,645,Generała Władysława Sikorskiego,secondary,50,False,15.791,,"LINESTRING (22.0587776 53.1782044, 22.0588722 53.1780742)"
356945726,True,61;63,Wojska Polskiego,primary,40,False,13.364,,"LINESTRING (22.0589741 53.1782284, 22.0587776 53.1782044)"
"[704030641, 173655046]",True,645,Generała Władysława Sikorskiego,secondary,50,False,329.42199999999997,2,"LINESTRING (22.0589741 53.1782284, 22.0588473 53.1784339, 22.0587552 53.178568, 22.0584531 53.179008, 22.0583281 53.1791948, 22.0580688 53.1795826, 22.0580168 53.1796596, 22.0577266 53.1800891, 22.057465 53.1804763, 22.0572182 53.1808413, 22.0572026 53.1808645, 22.0571272 53.1809763)"
87508790,False,,Przyjaźni,residential,,True,9.789,2,"LINESTRING (22.0556399 53.1831724, 22.0555024 53.1831414)"
87508790,False,,Przyjaźni,residential,,False,78.555,2,"LINESTRING (22.0556399 53.1831724, 22.0557976 53.183217, 22.0565677 53.1834128, 22.056725 53.1834481)"
"[391815494, 391815493, 173655046]",True,645,Generała Władysława Sikorskiego,secondary,50,False,285.892,"['1', '2']","LINESTRING (22.0556399 53.1831724, 22.0543394 53.1850986, 22.0541186 53.1854283, 22.0540831 53.1854711, 22.0539639 53.1855261)"
87508778,False,,Radosna,residential,,True,61.498,,"LINESTRING (22.057169 53.1842778, 22.0562759 53.1841383)"
87508787,False,,Wyzwolenia,residential,30,True,73.568,2,"LINESTRING (22.0579414 53.1816433, 22.0575248 53.182256)"
87508787,False,,Wyzwolenia,residential,30,False,50.259,2,"LINESTRING (22.0579414 53.1816433, 22.058139 53.1813543, 22.0582334 53.1812266)"
87508787,False,,Wyzwolenia,residential,30,False,69.182,2,"LINESTRING (22.056725 53.1834481, 22.056792 53.1833397, 22.0570514 53.1829745, 22.0571231 53.1828736)"
87508787,False,,Wyzwolenia,residential,30,True,82.374,2,"LINESTRING (22.056725 53.1834481, 22.0566341 53.1835873, 22.0562759 53.1841383)"
87508790,False,,Przyjaźni,residential,,False,139.00400000000002,2,"LINESTRING (22.056725 53.1834481, 22.0568279 53.1834784, 22.0569366 53.183514, 22.0572551 53.1836288, 22.0575485 53.1837442, 22.05776 53.1838283, 22.0581518 53.1839868, 22.0583105 53.1840509, 22.0583423 53.1840641, 22.0583637 53.184073, 22.0584115 53.1840955, 22.0584444 53.184112, 22.0584716 53.1841284)"
87508790,False,,Przyjaźni,residential,,True,78.555,2,"LINESTRING (22.056725 53.1834481, 22.0565677 53.1834128, 22.0557976 53.183217, 22.0556399 53.1831724)"
26259741,False,645,Nowogrodzka,secondary,,False,7.073,2,"LINESTRING (22.0539639 53.1855261, 22.0539009 53.1855773)"
286702752,True,,,tertiary,50,False,29.927,1,"LINESTRING (22.0539639 53.1855261, 22.0542062 53.1855782, 22.0542714 53.1855963, 22.054383 53.1856225)"
704030934,True,645,Generała Władysława Sikorskiego,secondary,50,False,68.818,2,"LINESTRING (22.0539639 53.1855261, 22.0539555 53.1854506, 22.0539836 53.1853913, 22.054288 53.1849456)"
87508790,False,,Przyjaźni,residential,,False,116.477,2,"LINESTRING (22.0584716 53.1841284, 22.0585053 53.1841551, 22.0585322 53.1841788, 22.0585802 53.1842274, 22.0592302 53.1849773, 22.0592991 53.1850503)"
87508790,False,,Przyjaźni,residential,,True,139.004,2,"LINESTRING (22.0584716 53.1841284, 22.0584444 53.184112, 22.0584115 53.1840955, 22.0583637 53.184073, 22.0583423 53.1840641, 22.0583105 53.1840509, 22.0581518 53.1839868, 22.05776 53.1838283, 22.0575485 53.1837442, 22.0572551 53.1836288, 22.0569366 53.183514, 22.0568279 53.1834784, 22.056725 53.1834481)"
97515511,False,,Partyzantów,residential,,True,66.969,2,"LINESTRING (22.0584716 53.1841284, 22.0586655 53.1840395, 22.0592699 53.1837625)"
87508778,False,,Radosna,residential,,False,61.498,,"LINESTRING (22.0562759 53.1841383, 22.057169 53.1842778)"
87508787,False,,Wyzwolenia,residential,30,False,82.374,2,"LINESTRING (22.0562759 53.1841383, 22.0566341 53.1835873, 22.056725 53.1834481)"
