osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,lanes
350185673,Wojska Polskiego,tertiary,50,False,True,12.507,"LINESTRING (16.506006 50.3994676, 16.5058864 50.3993849)",,,
"[169873480, 397461161]",Wojska Polskiego,tertiary,50,False,False,143.346,"LINESTRING (16.506006 50.3994676, 16.5069172 50.4002976, 16.507164 50.4005245)",,,
624126831,Zwycięzców,residential,,False,False,206.05,"LINESTRING (16.506006 50.3994676, 16.5060648 50.3994654, 16.5061206 50.3994641, 16.508644 50.3993705, 16.5089082 50.3993607)",,,
38845162,Rybna,residential,40,True,False,152.37,"LINESTRING (16.5079913 50.4033517, 16.5081878 50.4031765, 16.5085153 50.4029082, 16.5091576 50.4026014, 16.5094824 50.4024538, 16.5095452 50.4024253)",,,
38845166,Wojska Polskiego,tertiary,50,False,False,44.812,"LINESTRING (16.5095452 50.4024253, 16.5096889 50.4024893, 16.5097236 50.4025048, 16.5100156 50.4026924)",6,,
"[397461162, 1204092507, 397461163]",Wojska Polskiego,tertiary,40,False,True,273.196,"LINESTRING (16.5095452 50.4024253, 16.5093862 50.4023581, 16.509059 50.4022012, 16.5089231 50.4021281, 16.5086788 50.4019688, 16.5085917 50.4019047, 16.5085569 50.4018737, 16.5084046 50.4017378, 16.5076864 50.4010247, 16.507164 50.4005245)",,,
38908540,Zwycięzców,residential,,False,True,84.419,"LINESTRING (16.5104075 50.3993146, 16.509849 50.3993326, 16.509218 50.399353)",,,
38845161,Bystrzycka,residential,40,True,False,188.4,"LINESTRING (16.5059567 50.4012404, 16.505921 50.401354, 16.5058357 50.4014982, 16.5057446 50.4015945, 16.5056811 50.4017415, 16.505671 50.4019872, 16.5056669 50.4022083, 16.5057001 50.4024218, 16.5057337 50.40256, 16.5058066 50.4027157, 16.505889 50.4028445, 16.5059264 50.4028722)",,yes,
165665807,Hutnicza,residential,40,True,False,88.107,"LINESTRING (16.5059567 50.4012404, 16.5063167 50.4013063, 16.506659 50.4013699, 16.5067791 50.4014426, 16.5069232 50.4015575, 16.5069723 50.4016242)",,yes,1
38845161,Bystrzycka,residential,40,True,False,83.108,"LINESTRING (16.5064689 50.4006147, 16.5063514 50.4006524, 16.5061495 50.4007993, 16.5060438 50.4008897, 16.5060042 50.4009969, 16.5059567 50.4012404)",,yes,
