osmid,name,highway,oneway,reversed,length,maxspeed,lanes,ref,geometry,bridge
33021101,Sukiennicza,residential,False,True,39.082,,,,"LINESTRING (22.40882 50.70694, 22.4083896 50.7071619)",
555420322,Sukiennicza,residential,True,False,7.646,30,,,"LINESTRING (22.40882 50.70694, 22.4089021 50.706895)",
"[290255837, 760780813, 760780814]",Lubelska,primary,False,False,174.96099999999998,50,"['2', '3']",74,"LINESTRING (22.406837 50.7093428, 22.4066699 50.7096863, 22.4066081 50.7098166, 22.4065865 50.7098601, 22.4063121 50.7104138, 22.4061013 50.7108457)",
"[244706086, 974953319, 244706088, 1268710835, 33032954, 290255835]",Sukiennicza,primary,False,True,255.54900000000004,50,2,74,"LINESTRING (22.406837 50.7093428, 22.40691 50.7092027, 22.4069463 50.709122, 22.4070412 50.7089326, 22.4070813 50.7088505, 22.4070964 50.7088195, 22.4074148 50.70816, 22.407468 50.7080476, 22.4074742 50.708036, 22.4075047 50.7079795, 22.4075329 50.707931, 22.4075716 50.7078737, 22.4076076 50.7078256, 22.4076602 50.7077688, 22.4077216 50.7077086, 22.4077777 50.70766, 22.4078371 50.7076129, 22.4079191 50.7075589, 22.4081438 50.7074139, 22.4082254 50.7073602, 22.4082868 50.7073297, 22.4083442 50.7073058)",yes
33021101,Sukiennicza,residential,False,False,39.082,,,,"LINESTRING (22.4083896 50.7071619, 22.40882 50.70694)",
33025594,Hugona Kołłątaja,residential,False,False,50.786,,,,"LINESTRING (22.4089021 50.706895, 22.4084466 50.7065409)",
555420322,Sukiennicza,residential,True,False,62.646,30,,,"LINESTRING (22.4089021 50.706895, 22.4096006 50.7065461)",
33022619,Jana Pawła II,residential,False,True,176.60500000000002,30,,,"LINESTRING (22.4173855 50.7043891, 22.4172459 50.7044731, 22.4171559 50.7045253, 22.4167851 50.7047402, 22.4167368 50.7047682, 22.4166678 50.7048092, 22.4163235 50.7050138, 22.41602 50.7051942, 22.4156722 50.7053795, 22.4155165 50.7054458)",
524530893,Ogrodowa,residential,False,False,124.45,50,,,"LINESTRING (22.4173855 50.7043891, 22.4173382 50.7043561, 22.4172801 50.7043152, 22.4172303 50.7042799, 22.4164848 50.703752, 22.4163107 50.7036287, 22.4162533 50.7035926, 22.4162032 50.7035574)",
33022877,Wałowa,tertiary,False,False,50.486000000000004,50,2,,"LINESTRING (22.4132182 50.7039242, 22.4128569 50.7037589, 22.4126371 50.7036583)",
33022877,Wałowa,tertiary,False,True,52.009,50,2,,"LINESTRING (22.4132182 50.7039242, 22.4135112 50.7040743, 22.4137738 50.7042318)",
33025366,14 Czerwca,residential,True,False,137.834,,,,"LINESTRING (22.4132182 50.7039242, 22.4131605 50.7039551, 22.4124265 50.7043472, 22.4117234 50.7047244)",
33014535,Poprzeczna,residential,False,True,202.368,50,,,"LINESTRING (22.4153661 50.7094544, 22.4153291 50.7094047, 22.4153051 50.7093728, 22.4151847 50.7092196, 22.4150339 50.7090723, 22.4143707 50.7085266, 22.4136606 50.7079975)",
33034189,Księdza Ignacego Skorupki,tertiary,False,False,65.418,,,,"LINESTRING (22.4153661 50.7094544, 22.4154792 50.7094039, 22.4157551 50.7092863, 22.4161732 50.7091678)",
33034189,Księdza Ignacego Skorupki,tertiary,False,True,15.189,,,,"LINESTRING (22.4153661 50.7094544, 22.4152441 50.7095125, 22.4151957 50.7095381)",
33020720,Józefa Piłsudskiego,residential,False,False,217.602,50,,,"LINESTRING (22.4161732 50.7091678, 22.4161512 50.7091171, 22.4161086 50.7090853, 22.4159918 50.7089856, 22.4141904 50.7076737)",
33034189,Księdza Ignacego Skorupki,tertiary,False,True,65.418,,,,"LINESTRING (22.4161732 50.7091678, 22.4157551 50.7092863, 22.4154792 50.7094039, 22.4153661 50.7094544)",
"[760780813, 290255837, 760780814]",Lubelska,primary,False,True,174.96099999999996,50,"['2', '3']",74,"LINESTRING (22.4061013 50.7108457, 22.4063121 50.7104138, 22.4065865 50.7098601, 22.4066081 50.7098166, 22.4066699 50.7096863, 22.406837 50.7093428)",
33025594,Hugona Kołłątaja,residential,False,False,74.498,,,,"LINESTRING (22.4084466 50.7065409, 22.4077856 50.7060178)",
33025594,Hugona Kołłątaja,residential,False,True,50.786,,,,"LINESTRING (22.4084466 50.7065409, 22.4089021 50.706895)",
33025366,14 Czerwca,residential,True,False,71.578,,,,"LINESTRING (22.4084466 50.7065409, 22.4077394 50.7069228, 22.4077211 50.7069321, 22.4076716 50.7069574)",
523810172,Henryka Sienkiewicza,residential,False,False,63.49,50,2,,"LINESTRING (22.4149501 50.7050549, 22.4148978 50.7050182, 22.4145313 50.7047613, 22.4144401 50.7046974, 22.414383 50.7046564, 22.414347 50.7046305)",
523810172,Henryka Sienkiewicza,residential,False,True,58.997,50,2,,"LINESTRING (22.4149501 50.7050549, 22.4150395 50.7051166, 22.4153792 50.7053509, 22.4154104 50.7053725, 22.4154904 50.7054264, 22.4155165 50.7054458)",
98524147,Krzywa,residential,False,False,143.198,,,,"LINESTRING (22.4117234 50.7047244, 22.4103418 50.7037795)",
33025366,14 Czerwca,residential,True,False,87.088,,,,"LINESTRING (22.4117234 50.7047244, 22.4115821 50.7048027, 22.4111989 50.7050284, 22.4108637 50.7052328, 22.4108203 50.7052593)",
33019779,Mikołaja Kopernika,living_street,False,False,39.695,,,,"LINESTRING (22.4076973 50.7025262, 22.4073006 50.7027798)",
98498241,,living_street,False,True,39.08,,,,"LINESTRING (22.4076973 50.7025262, 22.4080765 50.7027828)",
244706089,Szewska,residential,False,False,59.67700000000001,50,,,"LINESTRING (22.41031 50.70762, 22.4102562 50.7075384, 22.4102057 50.7074747, 22.4101518 50.7074224, 22.4099099 50.7072784, 22.409792 50.7072056)",
244706089,Szewska,residential,False,True,52.748,50,,,"LINESTRING (22.41031 50.70762, 22.4103591 50.7076815, 22.4106224 50.7080116, 22.4106478 50.7080434)",
33022877,Wałowa,tertiary,False,False,186.03299999999996,50,2,,"LINESTRING (22.4126371 50.7036583, 22.4125284 50.7036139, 22.4115433 50.7032117, 22.41131 50.7031324, 22.4110766 50.7030635, 22.4108845 50.7030164, 22.4106964 50.7029783, 22.4104882 50.7029505, 22.410287 50.7029419)",
33022877,Wałowa,tertiary,False,True,50.486000000000004,50,2,,"LINESTRING (22.4126371 50.7036583, 22.4128569 50.7037589, 22.4132182 50.7039242)",
33035034,Kardynała Stefana Wyszyńskiego,residential,False,False,62.596,,,,"LINESTRING (22.4126371 50.7036583, 22.4126646 50.7036337, 22.4126881 50.7036151, 22.4130033 50.7033502, 22.4130973 50.703288, 22.4132343 50.70326)",
188325993,Jana Kochanowskiego,residential,False,False,79.53800000000001,,,,"LINESTRING (22.4166951 50.7066508, 22.4168268 50.7065893, 22.4175465 50.7062534, 22.4176043 50.7062264)",
523810172,Henryka Sienkiewicza,residential,False,False,157.613,50,2,,"LINESTRING (22.4166951 50.7066508, 22.4156015 50.7055331, 22.4155262 50.7054561, 22.4155165 50.7054458)",
33014686,Jana Zamoyskiego,primary,False,False,176.99,50,2,74,"LINESTRING (22.4162032 50.7035574, 22.4155426 50.7039392, 22.414528 50.7045258, 22.414347 50.7046305)",
524530893,Ogrodowa,residential,False,True,124.44999999999999,50,,,"LINESTRING (22.4162032 50.7035574, 22.4162533 50.7035926, 22.4163107 50.7036287, 22.4164848 50.703752, 22.4172303 50.7042799, 22.4172801 50.7043152, 22.4173382 50.7043561, 22.4173855 50.7043891)",
889548974,Świerdzowa,residential,False,False,52.203,,,,"LINESTRING (22.4096893 50.7058866, 22.4101867 50.7062347)",
33017667,Świerdzowa,residential,False,True,136.688,,,,"LINESTRING (22.4096893 50.7058866, 22.4094215 50.7056889, 22.4084255 50.7049536)",
33025366,14 Czerwca,residential,True,False,113.808,,,,"LINESTRING (22.4096893 50.7058866, 22.4085005 50.7065102, 22.4084466 50.7065409)",
33022619,Jana Pawła II,residential,False,False,176.605,30,,,"LINESTRING (22.4155165 50.7054458, 22.4156722 50.7053795, 22.41602 50.7051942, 22.4163235 50.7050138, 22.4166678 50.7048092, 22.4167368 50.7047682, 22.4167851 50.7047402, 22.4171559 50.7045253, 22.4172459 50.7044731, 22.4173855 50.7043891)",
523014348,Prosta,residential,True,False,148.042,,1,,"LINESTRING (22.4155165 50.7054458, 22.4154466 50.7054798, 22.4138533 50.7062601)",
523810172,Henryka Sienkiewicza,residential,False,False,58.997,50,2,,"LINESTRING (22.4155165 50.7054458, 22.4154904 50.7054264, 22.4154104 50.7053725, 22.4153792 50.7053509, 22.4150395 50.7051166, 22.4149501 50.7050549)",
523810172,Henryka Sienkiewicza,residential,False,True,157.613,50,2,,"LINESTRING (22.4155165 50.7054458, 22.4155262 50.7054561, 22.4156015 50.7055331, 22.4166951 50.7066508)",
33035034,Kardynała Stefana Wyszyńskiego,residential,False,True,88.107,,,,"LINESTRING (22.4149868 50.702435, 22.4140524 50.7029619)",
611243544,Ulanowska,secondary,False,True,146.53699999999998,50,,878,"LINESTRING (22.4051487 50.7058778, 22.4061556 50.7062875, 22.4066855 50.7065095, 22.406889 50.7066001)",
909128721,Wałowa,tertiary,False,True,136.948,50,2,,"LINESTRING (22.4051487 50.7058778, 22.4051856 50.7058455, 22.405236 50.7058035, 22.4054167 50.7056408, 22.4056502 50.7054598, 22.4058814 50.7053056, 22.406466 50.704979)",
611243544,Ulanowska,secondary,False,False,67.938,50,,878,"LINESTRING (22.4076716 50.7069574, 22.406889 50.7066001)",
98498086,14 Czerwca,residential,False,True,87.19900000000001,,,,"LINESTRING (22.4076716 50.7069574, 22.407624 50.7069864, 22.4075369 50.7070395, 22.4068616 50.7075498)",
"[611243544, 33013042]",Ulanowska,secondary,False,True,62.419000000000004,50,2,878,"LINESTRING (22.4076716 50.7069574, 22.4079205 50.7070725, 22.408166 50.7071696, 22.4082212 50.7071953, 22.408282 50.7072248, 22.4082993 50.7072393, 22.4083166 50.7072564, 22.4083279 50.7072724, 22.4083442 50.7073058)",
33012854,3 Maja,residential,False,False,131.175,,,,"LINESTRING (22.4138533 50.7062601, 22.4150857 50.7071447)",
523014348,Prosta,residential,True,False,88.0,,1,,"LINESTRING (22.4138533 50.7062601, 22.4129182 50.7067851)",
555426485,3 Maja,residential,False,True,50.776,,,,"LINESTRING (22.4138533 50.7062601, 22.4133822 50.7059144)",
33020720,Józefa Piłsudskiego,residential,False,True,133.374,50,,,"LINESTRING (22.4129182 50.7067851, 22.4141904 50.7076737)",
33032244,Prosta,residential,False,True,51.779,,,,"LINESTRING (22.4129182 50.7067851, 22.4123698 50.7070953)",
523014344,Józefa Piłsudskiego,residential,False,False,50.349,,,,"LINESTRING (22.4129182 50.7067851, 22.412437 50.7064502)",
33022877,Wałowa,tertiary,False,False,34.054,50,2,,"LINESTRING (22.4095607 50.7032278, 22.4094502 50.7032884, 22.4092067 50.7034363)",
33022877,Wałowa,tertiary,False,True,61.537,50,2,,"LINESTRING (22.4095607 50.7032278, 22.4098524 50.7030578, 22.4099413 50.7030168, 22.4100295 50.7029889, 22.4101505 50.7029598, 22.410287 50.7029419)",
33030009,Mikołaja Reja,living_street,False,False,74.86,,,,"LINESTRING (22.4095607 50.7032278, 22.4094972 50.7031854, 22.4091432 50.7029412, 22.4088516 50.7027264)",
98524147,Krzywa,residential,False,True,82.399,,,,"LINESTRING (22.4095607 50.7032278, 22.4096035 50.7032597, 22.4103418 50.7037795)",
33035034,Kardynała Stefana Wyszyńskiego,residential,False,False,88.107,,,,"LINESTRING (22.4140524 50.7029619, 22.4149868 50.702435)",
33019779,Mikołaja Kopernika,living_street,False,False,167.927,,,,"LINESTRING (22.4140524 50.7029619, 22.4135318 50.7026165, 22.4120749 50.7021528)",
33035034,Kardynała Stefana Wyszyńskiego,residential,False,True,69.554,,,,"LINESTRING (22.4140524 50.7029619, 22.4136542 50.7032107, 22.413541 50.7032333, 22.4132343 50.70326)",
33014686,Jana Zamoyskiego,primary,False,True,176.99,50,2,74,"LINESTRING (22.414347 50.7046305, 22.414528 50.7045258, 22.4155426 50.7039392, 22.4162032 50.7035574)",
33022877,Wałowa,tertiary,False,False,59.965,50,2,,"LINESTRING (22.414347 50.7046305, 22.4143037 50.7045983, 22.4142417 50.7045521, 22.4137738 50.7042318)",
523810172,Henryka Sienkiewicza,residential,False,True,63.49,50,2,,"LINESTRING (22.414347 50.7046305, 22.414383 50.7046564, 22.4144401 50.7046974, 22.4145313 50.7047613, 22.4148978 50.7050182, 22.4149501 50.7050549)",
611246490,Jana Zamoyskiego,primary,False,False,233.30200000000002,50,2,74,"LINESTRING (22.414347 50.7046305, 22.4140719 50.7047884, 22.4126618 50.7055966, 22.4118908 50.7060385)",
183521012,Krótka,residential,False,True,13.235,,,,"LINESTRING (22.4125739 50.7086593, 22.4126994 50.7087479)",
33035410,Armii Krajowej,residential,False,False,59.502,50,,,"LINESTRING (22.4125739 50.7086593, 22.413092 50.7083233, 22.413165 50.7082769)",
183521012,Krótka,residential,False,False,141.406,,,,"LINESTRING (22.4125739 50.7086593, 22.4121112 50.708357, 22.4119457 50.708256, 22.411695 50.7081031, 22.4111421 50.7077679)",
33022877,Wałowa,tertiary,False,False,52.009,50,2,,"LINESTRING (22.4137738 50.7042318, 22.4135112 50.7040743, 22.4132182 50.7039242)",
33022877,Wałowa,tertiary,False,True,59.965,50,2,,"LINESTRING (22.4137738 50.7042318, 22.4142417 50.7045521, 22.4143037 50.7045983, 22.414347 50.7046305)",
98498122,Świerdzowa,residential,False,False,70.807,50,,,"LINESTRING (22.4056612 50.7028998, 22.4063594 50.703358)",
98498122,Świerdzowa,residential,False,True,62.987,50,,,"LINESTRING (22.4056612 50.7028998, 22.4052089 50.7025871, 22.4050557 50.7024829)",
33020720,Józefa Piłsudskiego,residential,False,False,133.374,50,,,"LINESTRING (22.4141904 50.7076737, 22.4129182 50.7067851)",
525457490,Armii Krajowej,residential,False,True,51.848,50,,,"LINESTRING (22.4141904 50.7076737, 22.4136606 50.7079975)",
33020720,Józefa Piłsudskiego,residential,False,True,217.602,50,,,"LINESTRING (22.4141904 50.7076737, 22.4159918 50.7089856, 22.4161086 50.7090853, 22.4161512 50.7091171, 22.4161732 50.7091678)",
525457490,Armii Krajowej,residential,False,False,86.224,50,,,"LINESTRING (22.4141904 50.7076737, 22.4149828 50.7072052, 22.4150857 50.7071447)",
523014344,Józefa Piłsudskiego,residential,False,False,49.753,,,,"LINESTRING (22.4112779 50.7056002, 22.4108203 50.7052593)",
98524169,Sukiennicza,residential,True,False,232.51800000000003,,,,"LINESTRING (22.4112779 50.7056002, 22.4120318 50.7051674, 22.4120606 50.7051517, 22.4137102 50.7042615, 22.4137738 50.7042318)",
