osmid,ref,name,highway,oneway,reversed,length,geometry,access,width
171041638,42,Marszałka Józefa Piłsudskiego,primary,False,True,496.673,"LINESTRING (20.5531717 51.1394218, 20.5532703 51.1392855, 20.5534063 51.1391303, 20.5536336 51.1389678, 20.5539241 51.1388464, 20.5542337 51.1387719, 20.5550183 51.1386925, 20.5574282 51.1385032, 20.5579791 51.1384613, 20.5597605 51.1383257)",,
317748820,,Górnicza,tertiary,False,True,211.03300000000002,"LINESTRING (20.5531717 51.1394218, 20.55303 51.13928, 20.55297 51.13916, 20.5529088 51.1388758, 20.5528455 51.1385815, 20.55268 51.1378123, 20.5526278 51.1375697)",,
38863006,,Górnicza,residential,False,True,104.294,"LINESTRING (20.5526278 51.1375697, 20.5524585 51.1366378)",,
317748820,,Górnicza,tertiary,False,False,211.03300000000002,"LINESTRING (20.5526278 51.1375697, 20.55268 51.1378123, 20.5528455 51.1385815, 20.5529088 51.1388758, 20.55297 51.13916, 20.55303 51.13928, 20.5531717 51.1394218)",,
379953658,,1 Maja,residential,False,False,306.561,"LINESTRING (20.5526278 51.1375697, 20.5528418 51.137554, 20.5536336 51.1374961, 20.5557 51.137377, 20.5557186 51.1373759, 20.5570007 51.137302)",,
38863007,,1000-lecia,residential,False,True,136.851,"LINESTRING (20.5597257 51.1371006, 20.5596973 51.1372772, 20.5596495 51.1375742, 20.559684 51.1378076, 20.5596988 51.137908, 20.559744 51.1382139, 20.5597605 51.1383257)",,
379953658,,1 Maja,residential,False,True,191.438,"LINESTRING (20.5597257 51.1371006, 20.5595028 51.1371171, 20.5578305 51.1372407, 20.5570007 51.137302)",,
637920922,,1000-lecia,residential,False,False,96.568,"LINESTRING (20.5597257 51.1371006, 20.5597428 51.1370467, 20.5599955 51.1362488)",,
38863007,,1000-lecia,residential,False,False,136.851,"LINESTRING (20.5597605 51.1383257, 20.559744 51.1382139, 20.5596988 51.137908, 20.559684 51.1378076, 20.5596495 51.1375742, 20.5596973 51.1372772, 20.5597257 51.1371006)",,
171041638,42,Marszałka Józefa Piłsudskiego,primary,False,False,496.673,"LINESTRING (20.5597605 51.1383257, 20.5579791 51.1384613, 20.5574282 51.1385032, 20.5550183 51.1386925, 20.5542337 51.1387719, 20.5539241 51.1388464, 20.5536336 51.1389678, 20.5534063 51.1391303, 20.5532703 51.1392855, 20.5531717 51.1394218)",,
380626005,42,Marszałka Józefa Piłsudskiego,primary,False,True,135.631,"LINESTRING (20.5597605 51.1383257, 20.5599986 51.1383075, 20.5606381 51.1382585, 20.5615075 51.1381919, 20.5616902 51.1381779)",,
167489243,,Zygmunta Krasińskiego,residential,False,True,306.236,"LINESTRING (20.5568269 51.1363704, 20.5524585 51.1366378)",,
171041606,,Jana Pawła II,residential,False,False,63.419,"LINESTRING (20.5568269 51.1363704, 20.5567112 51.1358047)",,
171041606,,Jana Pawła II,residential,False,True,104.297,"LINESTRING (20.5568269 51.1363704, 20.5570007 51.137302)",,
173576382,,Zygmunta Krasińskiego,residential,False,False,221.81,"LINESTRING (20.5568269 51.1363704, 20.5577457 51.1363163, 20.5588671 51.1362503, 20.5591429 51.1362341, 20.5599955 51.1362488)",,
167489241,,Stanisława Moniuszki,residential,False,False,60.871,"LINESTRING (20.5567112 51.1358047, 20.5575791 51.135749)",,
167489241,,Stanisława Moniuszki,residential,False,True,306.601,"LINESTRING (20.5567112 51.1358047, 20.5523362 51.136063)",,
171041606,,Jana Pawła II,residential,False,False,90.488,"LINESTRING (20.5567112 51.1358047, 20.5565738 51.1349955)",,
171041606,,Jana Pawła II,residential,False,True,63.419,"LINESTRING (20.5567112 51.1358047, 20.5568269 51.1363704)",,
171041606,,Jana Pawła II,residential,False,False,104.297,"LINESTRING (20.5570007 51.137302, 20.5568269 51.1363704)",,
379953658,,1 Maja,residential,False,False,191.43800000000002,"LINESTRING (20.5570007 51.137302, 20.5578305 51.1372407, 20.5595028 51.1371171, 20.5597257 51.1371006)",,
379953658,,1 Maja,residential,False,True,306.561,"LINESTRING (20.5570007 51.137302, 20.5557186 51.1373759, 20.5557 51.137377, 20.5536336 51.1374961, 20.5528418 51.137554, 20.5526278 51.1375697)",,
171041607,,Juliusza Słowackiego,residential,False,True,80.963,"LINESTRING (20.5621972 51.1363332, 20.5610391 51.1362874)",,
167489240,,Stefana Żeromskiego,residential,False,False,85.369,"LINESTRING (20.5621972 51.1363332, 20.5622146 51.1360443, 20.5622433 51.135566)",,
167489240,,Stefana Żeromskiego,residential,False,True,126.078,"LINESTRING (20.5621972 51.1363332, 20.5619777 51.1371171, 20.5619629 51.1371699, 20.5618815 51.1374496)",,
171041607,,Juliusza Słowackiego,residential,False,False,63.54900000000001,"LINESTRING (20.5621972 51.1363332, 20.5627754 51.136347, 20.5631076 51.1363481)",,
167489241,,Stanisława Moniuszki,residential,False,True,11.004000000000001,"LINESTRING (20.557736 51.1357389, 20.5576499 51.1357444, 20.5575791 51.135749)",,
