osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,bridge
174629728,163,Warszawska,secondary,roundabout,True,False,31.245,"LINESTRING (16.0963101 53.7623955, 16.0963928 53.7624729, 16.0964234 53.7625167, 16.0964279 53.762564, 16.0964059 53.7626095, 16.0963597 53.7626482)",,,
"[305196003, 718449492]",163,Warszawska,secondary,,False,True,206.423,"LINESTRING (16.0963101 53.7623955, 16.0963455 53.7623481, 16.0963904 53.7622352, 16.0964111 53.7621649, 16.0964252 53.7620944, 16.0964224 53.7620224, 16.0964145 53.7618761, 16.0963402 53.7615834, 16.0962952 53.7613808, 16.0962134 53.7610802, 16.0961897 53.7609026, 16.0961514 53.7605584)",2,,
234913623,,Wojska Polskiego,residential,,True,False,7.859,"LINESTRING (16.0968407 53.7676047, 16.096734 53.7675728)",,50,
491303678,163,Wojska Polskiego,secondary,,True,False,285.77000000000004,"LINESTRING (16.0959317 53.7643237, 16.0959296 53.7643359, 16.0959143 53.7643894, 16.0959255 53.7644513, 16.0959453 53.764524, 16.0961865 53.7651661, 16.0963871 53.7655748, 16.0964111 53.7656196, 16.0965551 53.7658881, 16.0968331 53.7663593, 16.0969071 53.7665183, 16.0969265 53.7665626, 16.096964 53.7666767, 16.096989 53.7667668, 16.0969994 53.7668047)",,50,
491303678,163,Wojska Polskiego,secondary,,True,False,63.277,"LINESTRING (16.0969992 53.7670449, 16.0969565 53.76732, 16.0968407 53.7676047)",,50,
543105514,,Plac Tysiąclecia Państwa Polskiego,residential,,True,False,19.247,"LINESTRING (16.0969992 53.7670449, 16.0971512 53.7670309, 16.0972899 53.7670254)",,50,
330417315,,Plac Tysiąclecia Państwa Polskiego,residential,,False,True,13.221,"LINESTRING (16.0983464 53.7671354, 16.0983204 53.7672533)",1,50,
173155051,,Piwna,residential,,False,False,241.90699999999998,"LINESTRING (16.0983464 53.7671354, 16.0983611 53.7670664, 16.0983994 53.7669488, 16.0985037 53.7666235, 16.0985146 53.76659, 16.0985744 53.766406, 16.0987674 53.7658122, 16.09884 53.7655668, 16.0988938 53.7653851, 16.0989989 53.7651633, 16.0990721 53.765004)",,50,
173155049,,Stanisława Staszica,residential,,False,False,45.331999999999994,"LINESTRING (16.0981679 53.7677483, 16.0982447 53.7677598, 16.0983166 53.7677836, 16.0983992 53.767811, 16.0984702 53.7678382, 16.098746 53.7679644)",,,
174758071,,Plac Tysiąclecia Państwa Polskiego,residential,,True,False,63.92,"LINESTRING (16.0981679 53.7677483, 16.0980407 53.7677372, 16.0976245 53.7676925, 16.0972103 53.7676481)",,50,
234911936,,Jana Pawła II,residential,,False,True,161.927,"LINESTRING (16.0981679 53.7677483, 16.0981585 53.7678721, 16.0980643 53.7691155, 16.0980702 53.7692031)",1,,
307282154,,Plac Tysiąclecia Państwa Polskiego,residential,,False,False,55.949,"LINESTRING (16.0981679 53.7677483, 16.0982143 53.7675871, 16.0982259 53.7675471, 16.0983204 53.7672533)",1,50,
234911936,,Jana Pawła II,residential,,False,False,161.927,"LINESTRING (16.0980702 53.7692031, 16.0980643 53.7691155, 16.0981585 53.7678721, 16.0981679 53.7677483)",1,,
"[205968024, 538147051]",,Fryderyka Chopina,residential,,False,True,113.853,"LINESTRING (16.0980702 53.7692031, 16.0979721 53.769197, 16.0979191 53.7691968, 16.0964809 53.7690986, 16.0963488 53.7690896)",,,
305195984,163,Warszawska,secondary,roundabout,True,False,15.743,"LINESTRING (16.0960746 53.7624054, 16.0961685 53.7623898, 16.0962815 53.7623935, 16.0963101 53.7623955)",,,
