osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge,access
28292514,1,Rondo Solidarności,secondary,50,roundabout,True,False,4.779999999999999,"LINESTRING (16.4615549 53.0418524, 16.4615212 53.0418595, 16.4614858 53.0418627)",,,
"[89354104, 835897333, 576462813]","['2', '3']",Generała Władysława Sikorskiego,secondary,50,,False,False,137.37800000000001,"LINESTRING (16.4615495 53.0413049, 16.4617726 53.0408234, 16.4619051 53.0405314, 16.4620712 53.0401929, 16.4621087 53.0401161)",178,,
576462816,1,Generała Władysława Sikorskiego,secondary,50,,True,False,39.451,"LINESTRING (16.4615495 53.0413049, 16.4615702 53.0413878, 16.4615423 53.0414832, 16.4615648 53.0415857, 16.4615898 53.0416548)",178,,
835897332,3,Generała Władysława Sikorskiego,secondary,50,,False,False,19.885,"LINESTRING (16.4621087 53.0401161, 16.4621952 53.039945)",178,,
229828807,,Generała Henryka Dąbrowskiego,residential,,,True,False,100.356,"LINESTRING (16.4621087 53.0401161, 16.4614884 53.0400478, 16.4606326 53.0399522)",,,
835897330,,Wiosny Ludów,unclassified,,,True,False,19.618000000000002,"LINESTRING (16.4621087 53.0401161, 16.4622185 53.0400899, 16.4623898 53.0400675)",,,
"[89354104, 576462813, 835897333]","['2', '3']",Generała Władysława Sikorskiego,secondary,50,,False,True,137.37800000000001,"LINESTRING (16.4621087 53.0401161, 16.4620712 53.0401929, 16.4619051 53.0405314, 16.4617726 53.0408234, 16.4615495 53.0413049)",178,,
28292514,1,Rondo Solidarności,secondary,50,roundabout,True,False,13.832,"LINESTRING (16.4615898 53.0416548, 16.4616267 53.0416766, 16.4616526 53.0417035, 16.4616656 53.0417336, 16.4616648 53.0417647)",,,
89354684,,Tadeusza Kościuszki,residential,,,False,False,19.226,"LINESTRING (16.46294 53.0421306, 16.4629696 53.0421006, 16.4630048 53.0420543, 16.4630107 53.0420361, 16.4630529 53.0419724)",,,
"[674329936, 674329934]",2,Maurycego Mochnackiego,secondary,50,,False,False,73.286,"LINESTRING (16.46294 53.0421306, 16.4628964 53.0421178, 16.4628149 53.0420972, 16.462663 53.0420716, 16.4624165 53.0420371, 16.4621706 53.0420007, 16.4620432 53.0419819, 16.4619866 53.0419685, 16.4619487 53.0419596, 16.4618932 53.0419423)",178;180,,
"[224242347, 674329934]",2,Maurycego Mochnackiego,secondary,50,,False,True,38.696,"LINESTRING (16.46294 53.0421306, 16.4629649 53.04214, 16.4630215 53.0421613, 16.4631069 53.0422024, 16.4633982 53.0423427)",178;180,,
830160866,,Tadeusza Kościuszki,living_street,,,False,True,136.219,"LINESTRING (16.4622805 53.040839, 16.4625813 53.0412527, 16.4630529 53.0419724)",,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,6.644,"LINESTRING (16.4638067 53.0425187, 16.4638562 53.042516, 16.4639052 53.0425209)",178;180,,
630620187,2,Grunwaldzka,secondary,50,,True,False,24.426,"LINESTRING (16.4639052 53.0425209, 16.4642419 53.0424356)",180,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,14.149,"LINESTRING (16.4639052 53.0425209, 16.4639532 53.0425343, 16.4639935 53.0425549, 16.4640229 53.0425814, 16.4640393 53.0426116)",178;180,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,8.46,"LINESTRING (16.4640393 53.0426116, 16.4640402 53.0426497, 16.4640206 53.0426858)",178;180,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,18.121,"LINESTRING (16.4640206 53.0426858, 16.4639892 53.0427124, 16.4639467 53.0427326, 16.4638966 53.042745, 16.4638427 53.0427486, 16.4637893 53.042743)",178;180,,
630620190,2,27 Stycznia,secondary,50,,True,False,40.384,"LINESTRING (16.4640206 53.0426858, 16.4640243 53.0427616, 16.464041 53.0428286, 16.4641002 53.0430453)",178,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,7.8469999999999995,"LINESTRING (16.4636859 53.0426911, 16.4636585 53.0426532, 16.4636558 53.042624)",178;180,,
89354825,1,Rondo Józefa Piłsudskiego,secondary,50,roundabout,True,False,16.494,"LINESTRING (16.4636558 53.042624, 16.4636699 53.0425879, 16.4637022 53.0425563, 16.4637494 53.0425324, 16.4638067 53.0425187)",178;180,,
576462814,1,Maurycego Mochnackiego,secondary,50,,True,False,35.995,"LINESTRING (16.4636558 53.042624, 16.4635746 53.0424934, 16.4633982 53.0423427)",178;180,,
28292514,1,Rondo Solidarności,secondary,50,roundabout,True,False,16.087,"LINESTRING (16.4613332 53.0418255, 16.4612999 53.0417954, 16.4612838 53.0417606, 16.4612864 53.0417244, 16.4613074 53.0416905)",,,
576462818,1,Stefana Żeromskiego,secondary,50,,True,False,30.838,"LINESTRING (16.4613332 53.0418255, 16.4612452 53.0418011, 16.4610229 53.0417704, 16.4609057 53.0417286)",180,,
236861685,,,residential,,,False,True,60.522,"LINESTRING (16.4639114 53.0421374, 16.4633287 53.0420507, 16.4630529 53.0419724)",,,
89354920,1,Maurycego Mochnackiego,secondary,50,,True,False,33.608000000000004,"LINESTRING (16.4633982 53.0423427, 16.463672 53.0424649, 16.4638067 53.0425187)",178;180,,
