osmid,oneway,lanes,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge,width,access
24822299,True,1,39;396,primary,50,roundabout,False,13.533999999999999,"LINESTRING (17.0647247 50.7808706, 17.0647536 50.7808847, 17.0647892 50.7809086, 17.0648165 50.7809366, 17.0648344 50.7809675)",,,,
24822299,True,1,39;396,primary,50,roundabout,False,7.769,"LINESTRING (17.0648344 50.7809675, 17.0648394 50.7810373)",,,,
339617638,True,1,,residential,50,,False,27.097,"LINESTRING (17.0648344 50.7809675, 17.0649489 50.7809734, 17.0649774 50.7809737, 17.0650016 50.7809726, 17.0650968 50.7809784, 17.0652108 50.7810061)",Tadeusza Kościuszki,,,
24822299,True,1,39;396,primary,50,roundabout,False,13.108,"LINESTRING (17.0648394 50.7810373, 17.064828 50.7810618, 17.0648076 50.7810898, 17.0647794 50.7811148, 17.0647442 50.7811361)",,,,
24822299,True,1,39;396,primary,50,roundabout,False,10.361,"LINESTRING (17.0647442 50.7811361, 17.0646803 50.7811594, 17.0646087 50.7811702)",,,,
339617639,True,1,396,secondary,50,,False,25.831,"LINESTRING (17.0647442 50.7811361, 17.064761 50.7812192, 17.0647675 50.7812385, 17.0647744 50.7812561, 17.0647917 50.7813111, 17.0647867 50.7813656)",Wolności,,,
24822299,True,1,39;396,primary,50,roundabout,False,15.288,"LINESTRING (17.0646087 50.7811702, 17.0645363 50.7811679, 17.0644678 50.7811529, 17.0644087 50.7811264)",,,,
24822299,True,1,39;396,primary,50,roundabout,False,11.117,"LINESTRING (17.0644087 50.7811264, 17.0643604 50.7810869, 17.0643332 50.7810399)",,,,
339617631,True,1,39,primary,50,,False,30.032000000000004,"LINESTRING (17.0644087 50.7811264, 17.0642791 50.7811417, 17.0642511 50.7811475, 17.0642231 50.7811536, 17.0641034 50.7811797, 17.0639969 50.7811961)",Plac 1 Maja,,,
24822299,True,1,39;396,primary,50,roundabout,False,17.125999999999998,"LINESTRING (17.0643332 50.7810399, 17.0643282 50.7810093, 17.0643324 50.7809786, 17.0643456 50.7809489, 17.0643674 50.7809213, 17.064397 50.7808969)",,,,
24822299,True,1,39;396,primary,50,roundabout,False,8.192,"LINESTRING (17.064397 50.7808969, 17.0644412 50.7808729, 17.0644928 50.7808558)",,,,
"[1181145345, 339617642]",True,1,396,secondary,50,,False,96.606,"LINESTRING (17.064397 50.7808969, 17.0643464 50.7808368, 17.0643301 50.7808199, 17.064315 50.7808039, 17.0642613 50.7807496, 17.0641808 50.7806683, 17.064139 50.780628, 17.0640912 50.7805821, 17.0639215 50.7804209, 17.0639011 50.7804018, 17.0638801 50.7803818, 17.0637319 50.7802202, 17.0637024 50.780151)",Ząbkowicka,,,
24822299,True,1,39;396,primary,50,roundabout,False,8.258,"LINESTRING (17.0644928 50.7808558, 17.0645379 50.7808477, 17.0646082 50.7808438)",,,,
223867985,False,,,residential,,,True,49.456999999999994,"LINESTRING (17.0695517 50.7786517, 17.0694767 50.7786282, 17.0694596 50.7786229, 17.0689212 50.7784545)",Plac Pokoju,,,
236770855,False,2,39,primary,50,,True,63.142,"LINESTRING (17.0695517 50.7786517, 17.0694083 50.7787717, 17.0692763 50.7788714, 17.0691594 50.7789507, 17.0689379 50.7790622)",Wojska Polskiego,,,
"[224242161, 791096579, 236777493]",False,2,39,primary,50,,False,86.139,"LINESTRING (17.0695517 50.7786517, 17.0697767 50.7784617, 17.0698636 50.7783827, 17.0699723 50.7782852, 17.0702316 50.778066, 17.0702789 50.7780284)",Wojska Polskiego,yes,,
"[224242161, 791096579, 236777493]",False,2,39,primary,50,,True,86.13900000000001,"LINESTRING (17.0702789 50.7780284, 17.0702316 50.778066, 17.0699723 50.7782852, 17.0698636 50.7783827, 17.0697767 50.7784617, 17.0695517 50.7786517)",Wojska Polskiego,yes,,
"[970993288, 791096578]",True,"['1', '2']",39,primary,50,,False,164.64800000000002,"LINESTRING (17.0702789 50.7780284, 17.0703559 50.7779481, 17.0704986 50.7778501, 17.0707463 50.777701, 17.0709313 50.7776102, 17.0712232 50.7774991, 17.0715066 50.7774264, 17.0719423 50.777332, 17.0722277 50.7772752)",Wojska Polskiego,,,
1093888953,False,,,tertiary,,,False,9.007,"LINESTRING (17.0724721 50.7772264, 17.0725392 50.7772954)",Staromiejska,,,
1093888951,True,1,39,primary,50,,False,92.97300000000001,"LINESTRING (17.0724721 50.7772264, 17.0728872 50.7771543, 17.0731965 50.7771005, 17.0735949 50.7770443, 17.0737577 50.7770459)",Wojska Polskiego,,,
1189003450,False,2,,tertiary,50,,False,17.101,"LINESTRING (17.0724721 50.7772264, 17.0724565 50.777202, 17.0723538 50.7770923)",Staromiejska,,,
