osmid,name,highway,oneway,reversed,length,geometry,tunnel,bridge,ref,lanes,junction,maxspeed
320502971,Wolności,residential,False,True,20.675,"LINESTRING (20.184777 53.2360884, 20.1846803 53.2359117)",,,,,,
39721950,Adama Asnyka,residential,False,False,248.447,"LINESTRING (20.184777 53.2360884, 20.1848754 53.2360676, 20.1853295 53.2359714, 20.18568 53.23591, 20.18651 53.23583, 20.1869898 53.2358035, 20.18734 53.23583, 20.1878252 53.2358779, 20.1880425 53.2358996, 20.1881525 53.2359335, 20.1882154 53.2359912, 20.188252 53.2360816)",,,,,,
320502971,Wolności,residential,False,False,59.993,"LINESTRING (20.184777 53.2360884, 20.1850277 53.236505, 20.1850825 53.236596)",,,,,,
320502971,Wolności,residential,False,False,20.675,"LINESTRING (20.1846803 53.2359117, 20.184777 53.2360884)",,,,,,
39717915,Wąska,residential,False,False,132.53900000000002,"LINESTRING (20.1846803 53.2359117, 20.1846329 53.2359306, 20.1842809 53.2360711, 20.18362 53.23639, 20.1834565 53.236463, 20.1834565 53.2365367, 20.1836255 53.2367101)",,,,,,
39718268,Świętego Wojciecha,residential,False,True,39.652,"LINESTRING (20.1865945 53.2385708, 20.1868738 53.2387337, 20.1870212 53.2388197)",,,,,,
39717916,Łąkowa,residential,False,True,49.900999999999996,"LINESTRING (20.1772451 53.2344239, 20.1774002 53.2345427, 20.1774674 53.2345915, 20.1777112 53.2347754)",,,,,,
39718471,Ludwika Waryńskiego,residential,False,False,64.93599999999999,"LINESTRING (20.1772451 53.2344239, 20.1771333 53.2344711, 20.1770476 53.2344743, 20.1766935 53.2341724, 20.176615 53.2341054)",,,,,,
39718471,Ludwika Waryńskiego,residential,False,True,55.18,"LINESTRING (20.1772451 53.2344239, 20.1773224 53.2343917, 20.1779258 53.2341406)",,,,,,
39717916,Łąkowa,residential,False,False,33.388,"LINESTRING (20.1780268 53.2350088, 20.177824 53.2348588, 20.1777112 53.2347754)",,,,,,
39717916,Łąkowa,residential,False,True,113.346,"LINESTRING (20.1780268 53.2350088, 20.177889 53.2350658, 20.1777983 53.2351033, 20.1777432 53.2351261, 20.1772693 53.2353221, 20.1766885 53.235561, 20.1766256 53.2355882)",,,,,,
258201108,Łąkowa,residential,False,False,54.771,"LINESTRING (20.1780268 53.2350088, 20.1781838 53.2351411, 20.1784019 53.235325, 20.178442 53.2353531, 20.1784758 53.2353644, 20.1785503 53.2353622)",,,,,,
39718953,Mazurska,residential,False,False,63.59400000000001,"LINESTRING (20.1798306 53.2314756, 20.179927 53.2314571, 20.1800234 53.2314445, 20.1801253 53.2314566, 20.1802898 53.2315244, 20.1805468 53.2316341, 20.1806457 53.2316902)",,,,,,
