osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge
41605001,2,Jana III Sobieskiego,tertiary,40,False,False,6.366,"LINESTRING (22.8172498 49.9530797, 22.8172106 49.9531311)",,
41605001,2,Jana III Sobieskiego,tertiary,40,False,True,71.759,"LINESTRING (22.8172498 49.9530797, 22.8172961 49.9530122, 22.8173242 49.9529713, 22.8173844 49.9528587, 22.8174172 49.9527641, 22.8174583 49.952533, 22.817489 49.9524573)",,
296823615,,Marszałka Józefa Piłsudskiego,residential,,False,True,43.988,"LINESTRING (22.8172498 49.9530797, 22.8171983 49.9530605, 22.8167177 49.9528815)",,
293580576,,Legionów,residential,,False,True,80.846,"LINESTRING (22.82045 49.95065, 22.8203784 49.9506414, 22.8203641 49.9506397, 22.8199715 49.9505923, 22.8198702 49.9505801, 22.8195515 49.9505416, 22.8193394 49.950516)",,
313167337,2,Lwowska,tertiary,40,False,False,59.693,"LINESTRING (22.82045 49.95065, 22.8203788 49.9507468, 22.8202008 49.951161)",,
313167337,2,Lwowska,tertiary,40,False,True,68.53999999999999,"LINESTRING (22.82045 49.95065, 22.8207499 49.9502881, 22.8207968 49.9502316, 22.8209007 49.9501061)",,
188037919,,Adama Mickiewicza,tertiary,,False,False,49.207,"LINESTRING (22.8156617 49.9519888, 22.8163479 49.951959)",5,
"[1120742966, 41237454]",,"['Generała Józefa Bema', 'Marszałka Józefa Piłsudskiego']",residential,,True,False,119.107,"LINESTRING (22.8156617 49.9519888, 22.8156685 49.9520336, 22.8157356 49.9524742, 22.8158429 49.9528737, 22.8158571 49.9529024, 22.815877 49.9529129, 22.8159136 49.952916, 22.81608 49.9529054)",3,
188037919,,Adama Mickiewicza,tertiary,,False,True,264.322,"LINESTRING (22.8156617 49.9519888, 22.8152571 49.9520206, 22.8149519 49.9520445, 22.8133611 49.9523162, 22.8130006 49.9523775, 22.812586 49.9524478, 22.8120625 49.9525082)",5,
188037924,,3 Maja,tertiary,,False,True,130.076,"LINESTRING (22.8156617 49.9519888, 22.8156555 49.9519571, 22.8156462 49.9519099, 22.8155248 49.9512941, 22.8154856 49.9510951, 22.815433 49.9508283)",5.2,
41237433,2,Rynek,tertiary,,False,True,52.31400000000001,"LINESTRING (22.8174028 49.9518579, 22.8175192 49.9522144, 22.8175377 49.9522457, 22.8175487 49.9522645, 22.817594 49.9523083)",,
41237481,,Rynek,residential,,False,False,53.074999999999996,"LINESTRING (22.8174028 49.9518579, 22.8173758 49.9517809, 22.8172809 49.9515099, 22.8172381 49.9513925)",,
188037919,,Adama Mickiewicza,tertiary,,False,True,66.97,"LINESTRING (22.8174028 49.9518579, 22.8173163 49.9518665, 22.8172212 49.951876, 22.8167585 49.9519221, 22.8164778 49.9519501)",5,
41237433,2,Rynek,tertiary,,False,False,52.314,"LINESTRING (22.817594 49.9523083, 22.8175487 49.9522645, 22.8175377 49.9522457, 22.8175192 49.9522144, 22.8174028 49.9518579)",,
41605000,2,Rynek,tertiary,40,False,True,91.34,"LINESTRING (22.817594 49.9523083, 22.8176872 49.9522307, 22.8178126 49.9521486, 22.8179838 49.9520703, 22.8186545 49.9518764)",,
