osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,access
173062542,True,Rynek,residential,False,151.414,"LINESTRING (19.3412199 49.854899, 19.3412328 49.8547287, 19.3412385 49.8546837, 19.3413865 49.8537002, 19.3413897 49.853687, 19.3414246 49.8535442)",,,,,,
232034885,False,Krakowska,primary,False,144.143,"LINESTRING (19.3412199 49.854899, 19.3409981 49.8548659, 19.3407495 49.8548557, 19.3404896 49.8548536, 19.3402283 49.8548541, 19.3401041 49.8548544, 19.3399045 49.8548618, 19.3392172 49.8548882)",2,52,50,,,
232034885,False,Krakowska,primary,True,124.41300000000001,"LINESTRING (19.3412199 49.854899, 19.341577 49.8549536, 19.341852 49.8549874, 19.3419817 49.855004, 19.3421238 49.8550214, 19.3423699 49.8550514, 19.3425228 49.8550648, 19.3429254 49.8551025)",2,52,50,,,
908400098,False,Krakowska,primary,True,13.338,"LINESTRING (19.3382976 49.8549632, 19.3384793 49.8549374)",3,52;781,50,,,
"[325330911, 26768039]",True,1 Maja,secondary,False,84.48500000000001,"LINESTRING (19.3382976 49.8549632, 19.3382773 49.8548624, 19.3382739 49.8548433, 19.3382751 49.8548222, 19.3383363 49.8546769, 19.3383801 49.8545591, 19.3384567 49.8542621, 19.3384715 49.8542181)",,781,50,,,
"[263171736, 31723107, 31723108]",False,Krakowska,primary,False,63.817,"LINESTRING (19.3382976 49.8549632, 19.3380816 49.8550114, 19.3380545 49.8550174, 19.3376093 49.855127, 19.3375797 49.8551352, 19.3374656 49.8551668)",2,52;781,50,yes,,
"[263171736, 31723107, 31723108]",False,Krakowska,primary,True,63.81700000000001,"LINESTRING (19.3374656 49.8551668, 19.3375797 49.8551352, 19.3376093 49.855127, 19.3380545 49.8550174, 19.3380816 49.8550114, 19.3382976 49.8549632)",2,52;781,50,yes,,
40518125,False,Stefana Batorego,secondary,False,398.86,"LINESTRING (19.3374656 49.8551668, 19.3375667 49.8552584, 19.3377469 49.8554238, 19.3378309 49.8555083, 19.3378974 49.8555835, 19.33794 49.8556419, 19.3379683 49.8556954, 19.3380091 49.8557894, 19.3380242 49.8558331, 19.3380871 49.8560157, 19.3382182 49.8563959, 19.33824 49.8564817, 19.3382498 49.856538, 19.3382509 49.856595, 19.33824 49.8566555, 19.3382105 49.856723, 19.3381652 49.8567998, 19.3379832 49.8570955, 19.3378365 49.8573337, 19.3378112 49.8573827, 19.3377946 49.8574355, 19.337788 49.8574997, 19.3377894 49.8575368, 19.3378023 49.8575921, 19.338045 49.8585742)",,781,50,,,
"[301687844, 842435438]",False,Krakowska,primary,False,169.224,"LINESTRING (19.348775 49.8556795, 19.3484969 49.85565, 19.3481891 49.8556215, 19.3481436 49.8556174, 19.3479586 49.8556007, 19.3475191 49.855561, 19.3471243 49.8555253, 19.3469688 49.8555104, 19.3466625 49.8554811, 19.3464393 49.8554597)","['2', '3']",52,50,,,
842435436,False,Włókniarzy,residential,False,252.9,"LINESTRING (19.348775 49.8556795, 19.3487521 49.855801, 19.3487411 49.8558767, 19.3487258 49.8560191, 19.3487242 49.8561288, 19.3487295 49.856202, 19.3487396 49.8562676, 19.348773 49.8563961, 19.348813 49.8565244, 19.3488801 49.8566767, 19.3488971 49.8567129, 19.3489279 49.8567789, 19.3489562 49.8568355, 19.3490636 49.8570386, 19.3491694 49.8572403, 19.3492801 49.8574516, 19.3494243 49.8577293, 19.3495048 49.8578756)",1,,50,,,
842435437,True,Krakowska,primary,False,16.144,"LINESTRING (19.348775 49.8556795, 19.3488847 49.8556582, 19.3489943 49.8556679)",1,52,50,,,
324870334,False,Starowiejska,tertiary,True,118.316,"LINESTRING (19.3464393 49.8554597, 19.3464139 49.8555985, 19.3463984 49.8557444, 19.3464124 49.855864, 19.3464498 49.8559995, 19.3465404 49.85617, 19.3467586 49.8564798)",,,50,,,
842435438,False,Krakowska,primary,False,131.70299999999997,"LINESTRING (19.3464393 49.8554597, 19.3463005 49.8554453, 19.3448491 49.8552944, 19.3446256 49.8552712)",2,52,50,,,
"[301687844, 842435438]",False,Krakowska,primary,True,169.224,"LINESTRING (19.3464393 49.8554597, 19.3466625 49.8554811, 19.3469688 49.8555104, 19.3471243 49.8555253, 19.3475191 49.855561, 19.3479586 49.8556007, 19.3481436 49.8556174, 19.3481891 49.8556215, 19.3484969 49.85565, 19.348775 49.8556795)","['2', '3']",52,50,,,
173062543,False,Garncarska,tertiary,False,97.48799999999999,"LINESTRING (19.3446256 49.8552712, 19.3446345 49.8552166, 19.3446371 49.8552009, 19.344669 49.8551313, 19.3447048 49.8551104, 19.3448363 49.8550413, 19.3451365 49.8548742, 19.3452035 49.8548202, 19.3452662 49.8547356, 19.3453001 49.8546679, 19.34532 49.8545655)",,,50,,,
232034885,False,Krakowska,primary,False,123.324,"LINESTRING (19.3446256 49.8552712, 19.3444038 49.8552493, 19.344193 49.8552284, 19.3438177 49.8551927, 19.3430807 49.8551196, 19.3429254 49.8551025)",2,52,50,,,
324883044,False,27 Stycznia,residential,True,83.34,"LINESTRING (19.3446256 49.8552712, 19.3446229 49.8553389, 19.3446215 49.8553741, 19.3446015 49.8555823, 19.3446132 49.8557084, 19.3446917 49.8560159)",,,50,,,
842435438,False,Krakowska,primary,True,131.703,"LINESTRING (19.3446256 49.8552712, 19.3448491 49.8552944, 19.3463005 49.8554453, 19.3464393 49.8554597)",2,52,50,,,
"[299045089, 427495187, 427495188]",False,Legionów,"['residential', 'living_street']",True,203.19400000000002,"LINESTRING (19.3385904 49.8535453, 19.3387553 49.8535445, 19.3387652 49.8535448, 19.3387822 49.8535446, 19.3388539 49.8535452, 19.3390802 49.8535451, 19.3393236 49.853545, 19.3393857 49.853545, 19.3395785 49.853544, 19.3398445 49.8535448, 19.3400489 49.8535447, 19.3402934 49.8535439, 19.3405007 49.8535446, 19.3407021 49.8535453, 19.3411116 49.8535443, 19.3411891 49.8535443, 19.3414246 49.8535442)",,,20,,,
908400097,False,1 Maja,secondary,True,75.318,"LINESTRING (19.3385904 49.8535453, 19.3385803 49.8536235, 19.3385563 49.853807, 19.3384898 49.854126, 19.3384814 49.8541708, 19.3384715 49.8542181)",3,781,50,,,
200257435,True,1 Maja,secondary,False,80.25299999999999,"LINESTRING (19.3384715 49.8542181, 19.3384679 49.8542628, 19.3384434 49.8545675, 19.3384402 49.8546569, 19.3384459 49.854811, 19.338449 49.8548316, 19.3384534 49.8548506, 19.3384793 49.8549374)",2,781,50,,,
908400097,False,1 Maja,secondary,False,75.318,"LINESTRING (19.3384715 49.8542181, 19.3384814 49.8541708, 19.3384898 49.854126, 19.3385563 49.853807, 19.3385803 49.8536235, 19.3385904 49.8535453)",3,781,50,,,
"[492440100, 40518125]",False,Stefana Batorego,secondary,False,161.02300000000002,"LINESTRING (19.338045 49.8585742, 19.3381493 49.8589925, 19.3382585 49.85943, 19.3383053 49.8596332, 19.3383406 49.8597865, 19.3383517 49.8599245, 19.3383584 49.8600071)",,781,50,,,
40518125,False,Stefana Batorego,secondary,True,398.86,"LINESTRING (19.338045 49.8585742, 19.3378023 49.8575921, 19.3377894 49.8575368, 19.337788 49.8574997, 19.3377946 49.8574355, 19.3378112 49.8573827, 19.3378365 49.8573337, 19.3379832 49.8570955, 19.3381652 49.8567998, 19.3382105 49.856723, 19.33824 49.8566555, 19.3382509 49.856595, 19.3382498 49.856538, 19.33824 49.8564817, 19.3382182 49.8563959, 19.3380871 49.8560157, 19.3380242 49.8558331, 19.3380091 49.8557894, 19.3379683 49.8556954, 19.33794 49.8556419, 19.3378974 49.8555835, 19.3378309 49.8555083, 19.3377469 49.8554238, 19.3375667 49.8552584, 19.3374656 49.8551668)",,781,50,,,
307504195,False,,residential,False,200.536,"LINESTRING (19.338045 49.8585742, 19.3381102 49.8585721, 19.3388156 49.8585491, 19.3396475 49.8585219, 19.3401476 49.8585056, 19.3405723 49.8584918, 19.3408389 49.8584831)",,,50,,,
40518620,True,,tertiary,False,13.726,"LINESTRING (19.3442691 49.8598785, 19.3442397 49.8598541, 19.344222 49.8598255, 19.3442172 49.8597948, 19.3442257 49.8597644)",,,50,,roundabout,
