osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge,ref,junction
172963198,2,Wojska Polskiego,tertiary,50,False,False,45.228,"LINESTRING (15.2643233 54.0610478, 15.2645862 54.0611886, 15.2646339 54.0612141, 15.2647226 54.0612602, 15.2648364 54.0613212)",,,,
207756258,2,Wojska Polskiego,tertiary,50,False,True,93.572,"LINESTRING (15.2643233 54.0610478, 15.2640018 54.0608593, 15.2635394 54.0605481, 15.2633515 54.0604296)",,,,
996982978,,Wąska,residential,,False,True,16.764,"LINESTRING (15.2643233 54.0610478, 15.2642857 54.0610701, 15.2642742 54.0610766, 15.2641427 54.061155)",no,,,
78266195,2,Tadeusza Kościuszki,tertiary,50,False,True,89.991,"LINESTRING (15.2648364 54.0613212, 15.2647298 54.0613914, 15.2646323 54.0614489, 15.2645256 54.0615132, 15.2644552 54.0615556, 15.2643756 54.0616059, 15.264051 54.0618045, 15.2638877 54.0619084)",,,,
172963198,2,Wojska Polskiego,tertiary,50,False,True,45.227999999999994,"LINESTRING (15.2648364 54.0613212, 15.2647226 54.0612602, 15.2646339 54.0612141, 15.2645862 54.0611886, 15.2643233 54.0610478)",,,,
"[172963201, 299734924]",2,Wojska Polskiego,tertiary,50,False,False,88.74700000000001,"LINESTRING (15.2648364 54.0613212, 15.2648866 54.0613474, 15.2650414 54.0614289, 15.2650934 54.0614566, 15.2656248 54.0617445, 15.2656773 54.061773, 15.2657201 54.0617961, 15.2657894 54.0618337, 15.2658409 54.0618591)",,,,
207756075,,Ignacego Daszyńskiego,living_street,,False,False,131.225,"LINESTRING (15.2648364 54.0613212, 15.2648747 54.0612983, 15.2648938 54.0612844, 15.2649115 54.061274, 15.2649363 54.0612589, 15.265196 54.0611008, 15.2652544 54.0610654, 15.265306 54.0610342, 15.2659653 54.060635, 15.2661581 54.0605182, 15.2662335 54.0604726)",,,,
173492823,2,Tadeusza Kościuszki,tertiary,50,False,False,83.482,"LINESTRING (15.2638877 54.0619084, 15.2630168 54.0624583)",,,,
78266195,2,Tadeusza Kościuszki,tertiary,50,False,False,89.991,"LINESTRING (15.2638877 54.0619084, 15.264051 54.0618045, 15.2643756 54.0616059, 15.2644552 54.0615556, 15.2645256 54.0615132, 15.2646323 54.0614489, 15.2647298 54.0613914, 15.2648364 54.0613212)",,,,
207756254,,Wincentego Witosa,living_street,,False,True,46.284000000000006,"LINESTRING (15.2638877 54.0619084, 15.2638232 54.0618767, 15.2638083 54.0618697, 15.2636498 54.0617822, 15.2633578 54.0616319)",,,,
