osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,bridge,tunnel
870780464,True,1,Lipowa,tertiary,False,21.216,"LINESTRING (21.1525631 52.3114399, 21.1525829 52.311466, 21.1526136 52.311488, 21.152641 52.3115029, 21.152672 52.3115213, 21.1527666 52.3115826)",,,,
870780465,True,1,Rondo Ryszarda Siewierskiego,tertiary,False,8.61,"LINESTRING (21.1525631 52.3114399, 21.1525593 52.3114591, 21.1525472 52.311477, 21.1525277 52.3114923, 21.1525022 52.3115037)",roundabout,,,
409101294,True,1,Rondo Ryszarda Siewierskiego,tertiary,False,11.959000000000001,"LINESTRING (21.1524459 52.3115125, 21.1524168 52.3115101, 21.1523896 52.3115035, 21.152366 52.3114929, 21.1523474 52.311479, 21.1523351 52.3114627, 21.1523298 52.3114451)",roundabout,,,
870780462,True,1,Marecka,tertiary,False,28.679000000000002,"LINESTRING (21.1524459 52.3115125, 21.1524081 52.3115198, 21.1523711 52.3115306, 21.1523102 52.3115511, 21.1522734 52.3115634, 21.1522258 52.311579, 21.1521708 52.3115952, 21.152121 52.3116081, 21.1520643 52.3116212)",,50,,
437358808,False,2,Kolejowa,tertiary,False,10.958,"LINESTRING (21.1524517 52.3112448, 21.1524728 52.3111471)",,,,
303249330,True,1,Kolejowa,tertiary,False,15.139,"LINESTRING (21.1524517 52.3112448, 21.1524612 52.3112972, 21.1524704 52.3113228, 21.1524831 52.3113484, 21.1524989 52.3113773)",,,,
637197556,True,,Jagiellońska,residential,False,24.146,"LINESTRING (21.1524517 52.3112448, 21.1523875 52.3112259, 21.1523401 52.3112064, 21.1522663 52.3111718, 21.1521637 52.3111193)",,,,
"[834813705, 175146255]",False,,Jagiellońska,residential,False,193.03500000000003,"LINESTRING (21.1475449 52.3091079, 21.1476186 52.3091619, 21.1476356 52.3091701, 21.1476596 52.3091817, 21.1498361 52.3101295)",,,,
"[184316163, 834813707]",False,,Inżynierska,residential,True,50.155,"LINESTRING (21.1475449 52.3091079, 21.147448 52.309141, 21.1472972 52.3091862, 21.1468851 52.3093095)",,,,
"[1110395385, 1184945506, 1184945507]",False,,Inżynierska,residential,False,65.024,"LINESTRING (21.1475449 52.3091079, 21.1475666 52.3090986, 21.1475809 52.3090925, 21.1476325 52.3090633, 21.1476588 52.3090468, 21.1476922 52.309026, 21.1477274 52.309004, 21.1478238 52.3089405, 21.147928 52.3088369, 21.1480551 52.3087072, 21.1481171 52.3086454)",,,,
870780466,True,1,Rondo Ryszarda Siewierskiego,tertiary,False,7.973000000000001,"LINESTRING (21.1523298 52.3114451, 21.1523318 52.3114272, 21.152341 52.3114102, 21.1523569 52.3113952, 21.1523785 52.311383)",roundabout,,,
1015439092,False,2,Lipowa,tertiary,True,20.598,"LINESTRING (21.1527666 52.3115826, 21.1530003 52.3117005)",,,,
870780463,True,1,Lipowa,tertiary,False,20.131999999999998,"LINESTRING (21.1527666 52.3115826, 21.1526463 52.3115412, 21.1526089 52.3115281, 21.1525791 52.3115178, 21.1525393 52.3115077, 21.1525022 52.3115037)",,,,
1015439092,False,2,Lipowa,tertiary,False,20.598,"LINESTRING (21.1530003 52.3117005, 21.1527666 52.3115826)",,,,
"[173140508, 369839222]",False,2,Lipowa,tertiary,True,53.59100000000001,"LINESTRING (21.1530003 52.3117005, 21.1531698 52.3117862, 21.1533778 52.3118964, 21.1534782 52.3119603, 21.1535688 52.312032)",,,,
"[1015439093, 184353078]",False,,Marii Konopnickiej,residential,False,129.822,"LINESTRING (21.1530003 52.3117005, 21.15295 52.3117324, 21.1516755 52.3125414)",,,,
173488465,False,,Powstańców,residential,False,14.1,"LINESTRING (21.1507531 52.3142706, 21.1505666 52.3142721, 21.1505457 52.314272)",,,,
173488465,False,,Powstańców,residential,True,117.569,"LINESTRING (21.1507531 52.3142706, 21.1512105 52.3142604, 21.1514754 52.3142546, 21.1518819 52.3142455, 21.1524815 52.3142322)",,,,
184352059,False,,Obrońców Westerplatte,residential,False,178.55,"LINESTRING (21.1507531 52.3142706, 21.1507538 52.3142307, 21.1507748 52.3130866, 21.1507861 52.3128724, 21.150777 52.3127933, 21.1507414 52.3126671)",,,,
"[1175576473, 1175576474, 1175576475]",False,2,Powstańców,residential,True,69.95700000000001,"LINESTRING (21.1449776 52.3142874, 21.1453495 52.3142911, 21.1457643 52.3142953, 21.1458282 52.3142959, 21.1458842 52.3142965, 21.1460066 52.3142977)",,30,,
531287312,False,2,Powstańców,residential,True,19.417,"LINESTRING (21.1460066 52.3142977, 21.1462922 52.3143006)",,50,,
"[1175576473, 1175576474, 1175576475]",False,2,Powstańców,residential,False,69.957,"LINESTRING (21.1460066 52.3142977, 21.1458842 52.3142965, 21.1458282 52.3142959, 21.1457643 52.3142953, 21.1453495 52.3142911, 21.1449776 52.3142874)",,30,,
531287312,False,2,Powstańców,residential,False,48.086,"LINESTRING (21.1469995 52.3143077, 21.1462922 52.3143006)",,50,,
531287312,False,2,Powstańców,residential,True,21.515,"LINESTRING (21.1469995 52.3143077, 21.147316 52.3143081)",,50,,
173488465,False,,Powstańców,residential,True,26.689,"LINESTRING (21.1493327 52.3142786, 21.1497253 52.314276)",,,,
302220776,False,,Romualda Traugutta,residential,True,85.641,"LINESTRING (21.1493327 52.3142786, 21.1498422 52.314983)",,,,
"[842324936, 173488465]",False,2,Powstańców,residential,False,65.80999999999999,"LINESTRING (21.1493327 52.3142786, 21.1485425 52.3142888, 21.1484328 52.3142902, 21.1483648 52.3142911)",,30,,
"[842324936, 173488465]",False,2,Powstańców,residential,True,65.81,"LINESTRING (21.1483648 52.3142911, 21.1484328 52.3142902, 21.1485425 52.3142888, 21.1493327 52.3142786)",,30,,
"[531287312, 842324937]",False,2,Powstańców,residential,False,71.319,"LINESTRING (21.1483648 52.3142911, 21.1483063 52.3142918, 21.1482581 52.3142925, 21.1482032 52.3142931, 21.147316 52.3143081)",,"['30', '50']",,
"[842324939, 284992484, 284992485, 531287311]",False,2,Tadeusza Kościuszki,residential,False,250.04000000000002,"LINESTRING (21.1483648 52.3142911, 21.1483638 52.3142149, 21.1483627 52.3141882, 21.1483582 52.3140439, 21.148316 52.3126808, 21.1483151 52.3126525, 21.148307 52.3124304, 21.1483062 52.3123584, 21.1483025 52.3121462, 21.1482945 52.3120429)",,30,yes,
531287312,False,2,Powstańców,residential,False,21.515,"LINESTRING (21.147316 52.3143081, 21.1469995 52.3143077)",,50,,
"[184352081, 1245902835, 184352077]",False,,"['Zdzisława Mordaki', 'Baśniowa']",residential,"[False, True]",408.85400000000004,"LINESTRING (21.147316 52.3143081, 21.1473172 52.3142704, 21.1473401 52.3136489, 21.1474588 52.3135084, 21.1474594 52.3128056, 21.1474476 52.3127857, 21.1473974 52.3127695, 21.1464615 52.3127922, 21.1464196 52.3128099, 21.1463872 52.3128456, 21.1463485 52.3134379, 21.1462974 52.3142212, 21.1462942 52.3142697, 21.1462922 52.3143006)",,,,
"[531287312, 842324937]",False,2,Powstańców,residential,True,71.319,"LINESTRING (21.147316 52.3143081, 21.1482032 52.3142931, 21.1482581 52.3142925, 21.1483063 52.3142918, 21.1483648 52.3142911)",,"['50', '30']",,
