osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref
350945039,Szkolna,tertiary,50,False,True,36.525000000000006,"LINESTRING (20.6778408 49.8377765, 20.67762 49.83773, 20.6775002 49.8377123, 20.67735 49.83769)",,
"[179877707, 1066387502, 1066387503]",Targowa,residential,,False,False,52.646,"LINESTRING (20.6778408 49.8377765, 20.677847 49.8379176, 20.6778583 49.8379826, 20.67787 49.83805, 20.6778972 49.8382483)",yes,
54410923,Świętej Królowej Jadwigi,residential,,False,True,26.239,"LINESTRING (20.6713062 49.833292, 20.6711242 49.833151, 20.6711314 49.8330987)",,
174689427,Wałowa,unclassified,,False,False,374.98499999999984,"LINESTRING (20.6713062 49.833292, 20.6712628 49.8333349, 20.67123 49.8333864, 20.6712034 49.8334565, 20.6711931 49.833524, 20.6711849 49.8335862, 20.6711849 49.8336417, 20.6711972 49.8337065, 20.6712157 49.8337581, 20.6712546 49.8338203, 20.6713039 49.8338719, 20.6713531 49.8339195, 20.6714002 49.8339565, 20.6714987 49.8340054, 20.6716381 49.8340861, 20.6717828 49.8341671, 20.6720728 49.8343295, 20.6723825 49.8345292, 20.6727557 49.8347461, 20.6731883 49.8349908, 20.6734805 49.8351277, 20.6737666 49.8352646, 20.6739081 49.8353056, 20.6740445 49.8353155, 20.6741808 49.835293, 20.6742803 49.8352566, 20.6743633 49.8352123, 20.6745294 49.8351006, 20.6746202 49.835069)",,
54410973,Słoneczna,residential,,False,False,301.91,"LINESTRING (20.6692583 49.8301173, 20.6723613 49.8297317, 20.67341 49.82975)",,
174689425,Kazimierza Wielkiego,tertiary,,False,True,350.06200000000007,"LINESTRING (20.6692583 49.8301173, 20.6692403 49.8301555, 20.6692142 49.8302239, 20.6691968 49.8302765, 20.6691795 49.8303909, 20.6691777 49.830513, 20.669209 49.830615, 20.6692716 49.8307002, 20.6693411 49.830763, 20.6693652 49.8307837, 20.6697164 49.8310858, 20.670017 49.8313131, 20.670121 49.8314591, 20.6701455 49.8314934, 20.6701644 49.83152, 20.6701734 49.8316361, 20.6701699 49.8317762, 20.6701682 49.8318625, 20.670156 49.8319757, 20.6701473 49.8320799, 20.6701612 49.8322043, 20.6702168 49.8323388, 20.6703106 49.8324789, 20.6703783 49.8325662, 20.6704948 49.8327165, 20.6705956 49.8328398, 20.6706859 49.8329373, 20.670727 49.8329748)",,
54410961,Rynek,tertiary,,False,True,46.952,"LINESTRING (20.67337 49.83366, 20.67288 49.83338)",,
"[54410961, 350966765]",Rynek,tertiary,,False,False,18.884,"LINESTRING (20.67337 49.83366, 20.6734902 49.8337256, 20.673571 49.8337697)",,
174689426,Węgierska,unclassified,90,True,False,581.77,"LINESTRING (20.67337 49.83366, 20.6734836 49.8335675, 20.6735766 49.8334988, 20.6736219 49.8334301, 20.6736582 49.8333219, 20.6737013 49.8331756, 20.6737421 49.8329884, 20.6737489 49.8328685, 20.6737965 49.8327238, 20.673869 49.8325995, 20.674 49.83245, 20.67414 49.83233, 20.6743038 49.8322519, 20.6743633 49.8322236, 20.6745469 49.8321213, 20.6745968 49.831997, 20.6746058 49.8318098, 20.6746325 49.8313927, 20.6746641 49.8312116, 20.6746527 49.8311648, 20.67461 49.83099, 20.6745798 49.830718, 20.67476 49.83049, 20.67495 49.83023, 20.6752573 49.8300274, 20.675682 49.8298712, 20.6757758 49.8298376, 20.67616 49.8297, 20.6765138 49.8295407, 20.6766833 49.8294849, 20.6767834 49.8294702, 20.6768852 49.8294585)",,
54410990,Nad Potokiem,residential,,False,False,36.467,"LINESTRING (20.6765092 49.8377545, 20.6760009 49.8377456)",,
