osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes,maxspeed,access
182623227,Ariańska,residential,False,False,114.494,"LINESTRING (15.2379332 52.5082032, 15.2379505 52.5081613, 15.2379837 52.5080806, 15.2381405 52.50798, 15.238252 52.5079258, 15.2383667 52.507885, 15.238495 52.5078457, 15.2386328 52.5078386, 15.2387427 52.5078668, 15.2392113 52.5080743)",,,,,
"[230421368, 232148214]",Sulęcińska,secondary,False,False,150.08800000000002,"LINESTRING (15.2379332 52.5082032, 15.2383451 52.5082882, 15.2385171 52.5083291, 15.2388114 52.5084109, 15.2390016 52.5084731, 15.2391506 52.5085219, 15.2392926 52.5085852, 15.2396534 52.5087448, 15.2397478 52.5087902, 15.2398657 52.5088437)",136,,,,
230421368,Sulęcińska,secondary,False,True,84.791,"LINESTRING (15.2379332 52.5082032, 15.2373733 52.5080876, 15.2367514 52.5079502)",136,,,,
230421368,Sulęcińska,secondary,False,False,84.791,"LINESTRING (15.2367514 52.5079502, 15.2373733 52.5080876, 15.2379332 52.5082032)",136,,,,
"[182623226, 680684058]",Osadników Wojskowych,secondary,True,False,30.079,"LINESTRING (15.2492111 52.5155452, 15.2490956 52.5155149, 15.2488711 52.5154561, 15.2488455 52.5154467, 15.2488075 52.5154327)",136,yes,,,
230421364,Jana Pawła II,secondary,False,False,19.804000000000002,"LINESTRING (15.2492111 52.5155452, 15.2493761 52.5156017, 15.2494671 52.5156315)",136,,,,
182623232,Ariańska,residential,False,True,245.78699999999998,"LINESTRING (15.2421259 52.5076678, 15.2419588 52.5076659, 15.2418599 52.5076474, 15.2417272 52.5075927, 15.2415923 52.5075096, 15.2414354 52.5074057, 15.2413509 52.5073652, 15.2412528 52.5073424, 15.2410719 52.5073356, 15.2408494 52.5073564, 15.2406359 52.5073886, 15.2401907 52.5074508, 15.2399301 52.5075056, 15.2397679 52.5075668, 15.2396112 52.5076417, 15.2392113 52.5080743)",,,,,
"[231771376, 298203622]","['Osiedle Słowiańskie', 'Ariańska']",residential,False,True,259.181,"LINESTRING (15.2421259 52.5076678, 15.2420612 52.5077019, 15.2419767 52.5077276, 15.2416416 52.5077432, 15.2411633 52.5077808, 15.2409746 52.50786, 15.2408145 52.5079816, 15.2404149 52.5083933, 15.2403104 52.5084965, 15.2402457 52.5085183, 15.2401538 52.5085202, 15.2400581 52.5084874, 15.2397376 52.5083239, 15.2392113 52.5080743)",,,,,
182623227,Ariańska,residential,False,True,114.494,"LINESTRING (15.2392113 52.5080743, 15.2387427 52.5078668, 15.2386328 52.5078386, 15.238495 52.5078457, 15.2383667 52.507885, 15.238252 52.5079258, 15.2381405 52.50798, 15.2379837 52.5080806, 15.2379505 52.5081613, 15.2379332 52.5082032)",,,,,
182623232,Ariańska,residential,False,False,245.787,"LINESTRING (15.2392113 52.5080743, 15.2396112 52.5076417, 15.2397679 52.5075668, 15.2399301 52.5075056, 15.2401907 52.5074508, 15.2406359 52.5073886, 15.2408494 52.5073564, 15.2410719 52.5073356, 15.2412528 52.5073424, 15.2413509 52.5073652, 15.2414354 52.5074057, 15.2415923 52.5075096, 15.2417272 52.5075927, 15.2418599 52.5076474, 15.2419588 52.5076659, 15.2421259 52.5076678)",,,,,
"[231771376, 298203622]","['Osiedle Słowiańskie', 'Ariańska']",residential,False,False,259.181,"LINESTRING (15.2392113 52.5080743, 15.2397376 52.5083239, 15.2400581 52.5084874, 15.2401538 52.5085202, 15.2402457 52.5085183, 15.2403104 52.5084965, 15.2404149 52.5083933, 15.2408145 52.5079816, 15.2409746 52.50786, 15.2411633 52.5077808, 15.2416416 52.5077432, 15.2419767 52.5077276, 15.2420612 52.5077019, 15.2421259 52.5076678)",,,,,
260612451,Strzelecka,residential,False,True,12.279,"LINESTRING (15.2487747 52.5083999, 15.248632 52.5084681)",,,,,
182623247,Harcerska,residential,False,False,116.82199999999999,"LINESTRING (15.2442152 52.5121885, 15.2441452 52.5122288, 15.2438245 52.5124137, 15.2436604 52.5125083, 15.2436149 52.5125897, 15.2435659 52.5127739, 15.2435146 52.5130853)",,,,,
232182123,Jana Pawła II,secondary,False,False,40.469,"LINESTRING (15.2442152 52.5121885, 15.2443919 52.5123283, 15.2444124 52.512343, 15.2445675 52.5124582, 15.2445876 52.5124732)",136,,2,50,
"[232182123, 104244486]",Jana Pawła II,secondary,False,True,461.8399999999999,"LINESTRING (15.2442152 52.5121885, 15.2440912 52.5120924, 15.2437962 52.511867, 15.2435226 52.5116588, 15.2433189 52.5115037, 15.2432892 52.5114811, 15.2432629 52.5114612, 15.2429851 52.5112505, 15.2428193 52.5111247, 15.2426442 52.5109919, 15.2425081 52.5108887, 15.2420332 52.5105178, 15.2417941 52.5103087, 15.2416601 52.5101915, 15.2416193 52.5101539, 15.2415043 52.5100479, 15.2413383 52.509895, 15.2410619 52.5096455, 15.2409724 52.5095647, 15.2407172 52.5093318, 15.2406013 52.5092324, 15.2405055 52.5091593, 15.2404311 52.5091119, 15.2404047 52.5090951, 15.2402403 52.5090146, 15.2400334 52.5089235)",136,,2,50,
"[1200630225, 182623250]",Harcerska,tertiary,False,True,361.13300000000004,"LINESTRING (15.2442152 52.5121885, 15.2442933 52.51213, 15.2443759 52.5120385, 15.2443927 52.5120198, 15.2444406 52.511959, 15.2445137 52.5118747, 15.2446946 52.5116668, 15.2447804 52.5115693, 15.2448117 52.5115337, 15.2451632 52.511134, 15.245966 52.5103026, 15.246046 52.5102197, 15.2461167 52.5101379, 15.2462303 52.5100255, 15.2464587 52.5097895, 15.2466428 52.5095768, 15.2467213 52.5094266, 15.2467543 52.5093414)",,,,,
712501655,Osadników Wojskowych,residential,False,False,37.533,"LINESTRING (15.2414421 52.5123547, 15.240962 52.5121857)",,,,,
