osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge
"[278638403, 397997299]",True,3,,Zwycięstwa,tertiary,50,False,140.384,"LINESTRING (16.1740574 54.189962, 16.1739842 54.1899577, 16.1739345 54.1899537, 16.1738904 54.189949, 16.1738368 54.1899416, 16.1737763 54.1899324, 16.1736961 54.1899174, 16.173601 54.1898979, 16.1735134 54.1898782, 16.1734019 54.1898527, 16.1733389 54.1898381, 16.1732748 54.1898221, 16.1732181 54.1898071, 16.1731666 54.1897929, 16.1730841 54.1897676, 16.1730062 54.1897443, 16.1728743 54.1897025, 16.1724055 54.1895486, 16.172377 54.1895393, 16.1723492 54.1895304, 16.1723093 54.1895176, 16.1721007 54.18945)",,,
511927893,False,,,Połtawska,residential,,True,9.007,"LINESTRING (16.1783429 54.1898667, 16.178344 54.1899477)",,,
1126464173,False,,,Połtawska,residential,,False,24.972,"LINESTRING (16.1783429 54.1898667, 16.178351 54.1898249, 16.1784074 54.1896454)",,,
1126464174,True,2,,Zwycięstwa,tertiary,50,False,16.86,"LINESTRING (16.1783429 54.1898667, 16.1784895 54.1898621, 16.1785482 54.1898615, 16.1786018 54.1898608)",,,
397997297,False,2,,Dzieci Wrzesińskich,residential,,False,324.205,"LINESTRING (16.1740812 54.1898728, 16.1740896 54.1898403, 16.174112 54.1897441, 16.1741151 54.1897273, 16.174119 54.189705, 16.1741218 54.1896532, 16.174106 54.1894112, 16.174106 54.1893532, 16.1741255 54.1892651, 16.1742021 54.1891159, 16.1743114 54.1889028, 16.1743583 54.1888114, 16.1746911 54.1881629, 16.1747542 54.1880399, 16.1749017 54.187752, 16.1751172 54.1873314, 16.1752295 54.1870524)",,,
397997297,False,2,,Dzieci Wrzesińskich,residential,,True,10.042,"LINESTRING (16.1740812 54.1898728, 16.1740644 54.1899287, 16.1740574 54.189962)",,,
"[397997298, 24047667]",True,2,,Zwycięstwa,tertiary,50,False,277.566,"LINESTRING (16.1740812 54.1898728, 16.1741441 54.1898778, 16.1742201 54.1898812, 16.1742976 54.1898838, 16.1744572 54.1898885, 16.1746256 54.1898907, 16.1748128 54.1898941, 16.1752123 54.1899024, 16.1753222 54.1899047, 16.1753694 54.189906, 16.1756195 54.1899136, 16.175765 54.1899168, 16.175874 54.1899184, 16.1759623 54.1899195, 16.1760592 54.1899198, 16.1762113 54.1899171, 16.1766448 54.1899083, 16.1770361 54.189899, 16.1773336 54.1898943, 16.1774823 54.1898938, 16.1776023 54.1898938, 16.177717 54.1898924, 16.1778208 54.1898902, 16.1780208 54.1898814, 16.1780973 54.1898773, 16.1782351 54.1898701, 16.1783429 54.1898667)",,,
173030239,False,,,Zwycięstwa,tertiary,50,True,9.023,"LINESTRING (16.1824709 54.1900393, 16.1824793 54.1899583)",,,
24047457,False,5,,Młyńska,tertiary,,True,93.60799999999999,"LINESTRING (16.1824709 54.1900393, 16.1824545 54.1901977, 16.1824497 54.190244, 16.1823829 54.1907216, 16.1823646 54.1908788)",,,
172137301,True,2,,Zwycięstwa,tertiary,50,False,216.98999999999998,"LINESTRING (16.1824709 54.1900393, 16.1821496 54.1900314, 16.1821036 54.1900303, 16.1810264 54.1900097, 16.1809344 54.1900073, 16.1808884 54.190006, 16.1792075 54.1899577, 16.1791388 54.1899557)",,,
173030239,False,,,Zwycięstwa,tertiary,50,False,9.023,"LINESTRING (16.1824793 54.1899583, 16.1824709 54.1900393)",,,
"[24047445, 1243034663]",False,5,,1 Maja,tertiary,,True,86.01,"LINESTRING (16.1824793 54.1899583, 16.1824907 54.1898482, 16.182495 54.1898066, 16.1825593 54.1893576, 16.1825827 54.1891872)",,,
173017796,False,,,Młyńska,tertiary,,False,53.798,"LINESTRING (16.1846688 54.1943151, 16.184178 54.1939257)",,,
24048006,False,,,Plac Jana Kilińskiego,residential,,True,54.661,"LINESTRING (16.1846688 54.1943151, 16.1845672 54.1943537, 16.1844384 54.1944044, 16.1843675 54.1944325, 16.1842924 54.1944635, 16.184267 54.194476, 16.1842399 54.1944937, 16.1842229 54.1945116, 16.1842126 54.1945327, 16.1842021 54.1945669, 16.1841941 54.1946022, 16.1841894 54.1946321, 16.1841914 54.1946721)",,,
551058559,True,,,Młyńska,tertiary,,False,83.594,"LINESTRING (16.1820161 54.1925633, 16.1820381 54.1924277, 16.1821618 54.1918164)",,,
1031454825,True,,,Rondo Lecha Żyły,tertiary,,False,6.607,"LINESTRING (16.1826895 54.1873678, 16.1827218 54.1873449, 16.1827631 54.1873276)",roundabout,,
24047445,False,,,1 Maja,tertiary,,False,183.699,"LINESTRING (16.1828461 54.1875429, 16.1828154 54.1876993, 16.182728 54.1880839, 16.1826531 54.1886067, 16.182603 54.1890604, 16.1825827 54.1891872)",,,
1031454827,True,,,Rondo Lecha Żyły,tertiary,,False,11.181,"LINESTRING (16.1828461 54.1875429, 16.1827899 54.1875364, 16.1827393 54.1875207, 16.1826986 54.1874971)",roundabout,,
1031454829,True,,,Rondo Lecha Żyły,tertiary,,False,13.142,"LINESTRING (16.1829608 54.1873322, 16.1830104 54.1873589, 16.1830416 54.1873938, 16.1830507 54.1874328)",roundabout,,
