osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,width,access
24675816,True,2,Księdza Ignacego Skorupki,secondary,50,False,57.916999999999994,"LINESTRING (19.3992597 50.1447, 19.3991698 50.1445772, 19.3990498 50.1443119, 19.3990059 50.1442066)",,,,
214180637,False,,Aleja Henryka,residential,50,True,46.042,"LINESTRING (19.399547 50.1367345, 19.3996172 50.1368659, 19.3997587 50.1371257)",,,,
85385033,True,1,Sienna,tertiary,50,False,39.266,"LINESTRING (19.3971042 50.137694, 19.3971703 50.1376029, 19.3972406 50.1375281, 19.3973465 50.1374889, 19.3974256 50.1374728, 19.3974758 50.1374626)",,,,
149792239,True,1,Majora Grzybowskiego,residential,30,False,35.138,"LINESTRING (19.3971042 50.137694, 19.3970739 50.1374811, 19.3970767 50.1373789)",,,,
151842821,True,1,Majora Grzybowskiego,tertiary,50,False,31.234,"LINESTRING (19.3971153 50.1379748, 19.3971109 50.1378644, 19.3971042 50.137694)",,,,
24675819,True,1,Rondo 4 Czerwca 1989 roku,secondary,50,False,24.965,"LINESTRING (19.3994066 50.1439066, 19.3994311 50.1439857, 19.399428 50.1440678, 19.3994006 50.144127)",79,roundabout,,
179634192,True,1,Adama Mickiewicza,residential,50,False,77.888,"LINESTRING (19.3994066 50.1439066, 19.3995353 50.1439681, 19.3996185 50.1439921, 19.4001674 50.1440931, 19.4002657 50.14409, 19.4004355 50.1440735)",,,,
171997730,True,2,Rondo 4 Czerwca 1989 roku,secondary,50,False,14.931000000000001,"LINESTRING (19.3994006 50.144127, 19.3993453 50.1441561, 19.3992793 50.1441841, 19.3992277 50.1442022)",79,roundabout,,
72530613,True,1,,tertiary_link,40,False,19.808999999999997,"LINESTRING (19.4004416 50.1442335, 19.4004062 50.1442045, 19.400391 50.1441688, 19.4003862 50.1441373, 19.4003944 50.1441108, 19.4004355 50.1440735)",,,,
213921402,True,2,Śląska,tertiary,50,False,75.749,"LINESTRING (19.4004416 50.1442335, 19.4002863 50.1442244, 19.4000532 50.1441962, 19.3997878 50.1441532, 19.3995764 50.1441197, 19.3994892 50.1441145, 19.3994006 50.144127)",79,,,
171997731,True,2,Rondo 4 Czerwca 1989 roku,secondary,50,False,18.555,"LINESTRING (19.3987854 50.1439753, 19.39884 50.1438863, 19.3989054 50.1438287)",79,roundabout,,
24675814,True,2,Oświęcimska,tertiary,50,False,69.444,"LINESTRING (19.3985727 50.1432633, 19.3987583 50.1434435, 19.398884 50.1435727, 19.3990097 50.1436924, 19.3991091 50.1437846)",,,,
85385039,False,2,Oświęcimska,tertiary,50,False,65.189,"LINESTRING (19.3985727 50.1432633, 19.3983494 50.1429519, 19.3981864 50.1427319)",,,,
43698111,True,1,Śląska,secondary,50,False,45.101000000000006,"LINESTRING (19.3982696 50.1441997, 19.3982968 50.1441786, 19.3985033 50.1441141, 19.3986355 50.1440626, 19.3987164 50.1440311, 19.3987854 50.1439753)",79,,,
"[213921667, 213921668]",False,"['2', '3']",Śląska,secondary,50,True,115.36100000000002,"LINESTRING (19.3982696 50.1441997, 19.3981854 50.1442195, 19.3980303 50.144253, 19.3979706 50.1442624, 19.3978352 50.1442837, 19.3974793 50.1443052, 19.3973316 50.1443141, 19.396675 50.1443485)",79,,,
171997733,True,2,Rondo 4 Czerwca 1989 roku,secondary,50,False,11.813,"LINESTRING (19.3990059 50.1442066, 19.3989293 50.1441802, 19.3988686 50.144148)",79,roundabout,,
24675820,True,1,Śląska,secondary,50,False,43.736,"LINESTRING (19.3988686 50.144148, 19.3987632 50.1441355, 19.3986827 50.1441373, 19.3985669 50.1441507, 19.3983214 50.1441983, 19.3982696 50.1441997)",79,,,
171997732,True,1,Rondo 4 Czerwca 1989 roku,secondary,50,False,20.509999999999998,"LINESTRING (19.3988686 50.144148, 19.3988189 50.1440913, 19.3988071 50.1440778, 19.3987896 50.1440328, 19.3987854 50.1439753)",79,roundabout,,
170400040,True,2,Rondo 4 Czerwca 1989 roku,secondary,50,False,26.222,"LINESTRING (19.3991091 50.1437846, 19.3992215 50.1438027, 19.3992785 50.1438186, 19.3993653 50.1438652, 19.3994066 50.1439066)",79,roundabout,,
229531860,False,2,Marszałka Ferdynanda Focha,tertiary,50,True,42.352,"LINESTRING (19.3964386 50.1388119, 19.3959095 50.1389853)",,,,
85385043,True,1,Majora Grzybowskiego,tertiary,50,False,108.342,"LINESTRING (19.3964386 50.1388119, 19.3965731 50.1387383, 19.3967527 50.1386141, 19.3968988 50.1384737, 19.3970301 50.1382914, 19.3970931 50.1381248, 19.3971153 50.1379748)",,,,
229531860,False,2,Marszałka Ferdynanda Focha,tertiary,50,False,42.352,"LINESTRING (19.3959095 50.1389853, 19.3964386 50.1388119)",,,,
149792260,True,1,Sienna,residential,,False,30.049999999999997,"LINESTRING (19.3970767 50.1373789, 19.3972428 50.1374012, 19.3974758 50.1374626)",,,,
172995025,True,,Sokoła,residential,30,False,119.957,"LINESTRING (19.3985051 50.1371986, 19.3985842 50.1373533, 19.3986246 50.1374131, 19.3990242 50.1381724, 19.3990437 50.1382203)",,,,
