osmid,highway,oneway,reversed,length,geometry,lanes,name,bridge
220379567,residential,False,True,174.905,"LINESTRING (20.2903965 51.2984559, 20.2903254 51.2983596, 20.2900994 51.2980568, 20.2899685 51.297881, 20.2898834 51.2977668, 20.2898579 51.2977294, 20.2893743 51.2970189)",,,
667014246,tertiary,False,False,252.587,"LINESTRING (20.2903965 51.2984559, 20.2906445 51.298425, 20.2908547 51.2984117, 20.2909287 51.298407, 20.2912091 51.2983983, 20.2916948 51.2983871, 20.2929957 51.2983571, 20.2930368 51.2983562, 20.2938559 51.2983315, 20.2940203 51.2983251)",2,,
253227450,tertiary,False,False,69.882,"LINESTRING (20.2935894 51.295758, 20.2933625 51.2956665, 20.2931465 51.2955422, 20.2928471 51.2953393)",,Sobieńska,
667014244,residential,False,True,326.07300000000004,"LINESTRING (20.2935894 51.295758, 20.2934782 51.2958324, 20.2931719 51.2959452, 20.2927776 51.2960905, 20.2918881 51.296354, 20.2893743 51.2970189)",,Ogrodowa,
"[220379579, 1184642309, 1184642310]",tertiary,False,True,222.816,"LINESTRING (20.2935894 51.295758, 20.2943734 51.2959854, 20.2947162 51.2960975, 20.2948291 51.2961475, 20.294894 51.2961762, 20.2949549 51.2962032, 20.2951897 51.2963477, 20.2953729 51.2964688, 20.2954887 51.2965703, 20.2955583 51.2966481, 20.2956841 51.2968432, 20.2958279 51.2970676)",,Sobieńska,yes
54161571,residential,False,True,210.781,"LINESTRING (20.2939702 51.2987247, 20.2939478 51.2988074, 20.2939819 51.3000252, 20.2940445 51.3004944, 20.2940655 51.3006166)",,Szkolna,
220379583,residential,False,False,74.598,"LINESTRING (20.2939702 51.2987247, 20.2944386 51.2986931, 20.2947165 51.2986734, 20.2950366 51.2986507)",,Plac Wolności,
402039772,residential,False,False,44.622,"LINESTRING (20.2939702 51.2987247, 20.2939957 51.2986272, 20.294004 51.2985077, 20.2940203 51.2983251)",,Plac Wolności,
253227469,tertiary,False,False,92.547,"LINESTRING (20.2940203 51.2983251, 20.2943886 51.298312, 20.2946299 51.2983014, 20.2953485 51.2982704)",,,
402039772,residential,False,True,44.622,"LINESTRING (20.2940203 51.2983251, 20.294004 51.2985077, 20.2939957 51.2986272, 20.2939702 51.2987247)",,Plac Wolności,
