osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,junction
42339519,Jarosława Dąbrowskiego,residential,False,False,223.862,"LINESTRING (18.5107098 52.0136195, 18.5105507 52.013619, 18.509973 52.0136577, 18.5086631 52.0137619, 18.5079995 52.0138243, 18.5079825 52.0138262, 18.5077021 52.0138513, 18.5075311 52.0138702, 18.5074679 52.0138777)",,,,
42339520,Armii Krajowej,residential,False,False,149.614,"LINESTRING (18.5107098 52.0136195, 18.5107996 52.0130876, 18.5108597 52.0122777)",50,,,
42339520,Armii Krajowej,residential,False,True,75.018,"LINESTRING (18.5107098 52.0136195, 18.5106787 52.0137893, 18.5105606 52.0142878)",50,,,
42339520,Armii Krajowej,residential,False,False,36.234,"LINESTRING (18.5108597 52.0122777, 18.5108523 52.0121126, 18.5108369 52.0120668, 18.5108191 52.012045, 18.5108013 52.0120231, 18.5107444 52.0119683)",50,,,
42339520,Armii Krajowej,residential,False,True,149.614,"LINESTRING (18.5108597 52.0122777, 18.5107996 52.0130876, 18.5107098 52.0136195)",50,,,
42339525,Polskiej Organizacji Wojskowej,residential,False,False,88.086,"LINESTRING (18.5108597 52.0122777, 18.5110491 52.0122588, 18.5112472 52.0122368, 18.5113865 52.0122282, 18.5121401 52.0122406)",50,,,
42339520,Armii Krajowej,residential,False,True,100.765,"LINESTRING (18.5105606 52.0142878, 18.5103329 52.0151831)",50,,,
42339520,Armii Krajowej,residential,False,False,75.018,"LINESTRING (18.5105606 52.0142878, 18.5106787 52.0137893, 18.5107098 52.0136195)",50,,,
42339520,Armii Krajowej,residential,False,False,100.765,"LINESTRING (18.5103329 52.0151831, 18.5105606 52.0142878)",50,,,
42339520,Armii Krajowej,residential,False,True,20.632,"LINESTRING (18.5103329 52.0151831, 18.5102882 52.0153666)",50,,,
42339520,Armii Krajowej,residential,False,False,20.632,"LINESTRING (18.5102882 52.0153666, 18.5103329 52.0151831)",50,,,
42339520,Armii Krajowej,residential,False,True,27.05,"LINESTRING (18.5102882 52.0153666, 18.510266 52.0154547, 18.5102246 52.0156067)",50,,,
42339522,Władysława Broniewskiego,residential,True,False,103.134,"LINESTRING (18.5102882 52.0153666, 18.5104361 52.0153805, 18.5117895 52.0154447)",40,,,
42339520,Armii Krajowej,residential,False,True,44.041,"LINESTRING (18.5102246 52.0156067, 18.510119 52.0159974)",50,,,
42339520,Armii Krajowej,residential,False,False,27.05,"LINESTRING (18.5102246 52.0156067, 18.510266 52.0154547, 18.5102882 52.0153666)",50,,,
42339520,Armii Krajowej,residential,False,False,44.041,"LINESTRING (18.510119 52.0159974, 18.5102246 52.0156067)",50,,,
42339520,Armii Krajowej,residential,False,True,21.562,"LINESTRING (18.510119 52.0159974, 18.5100789 52.0161055, 18.5100557 52.0161873)",50,,,
42339520,Armii Krajowej,residential,False,False,118.501,"LINESTRING (18.5097681 52.0172382, 18.5098877 52.0168013, 18.5100557 52.0161873)",50,,,
42339520,Armii Krajowej,residential,False,True,95.684,"LINESTRING (18.5097681 52.0172382, 18.5097435 52.017339, 18.5096443 52.0176591, 18.509555 52.017935, 18.5094882 52.0180807)",50,,,
