osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,access,tunnel
195184475,Warszawska,residential,False,False,48.25699999999999,"LINESTRING (15.5603739 51.2604018, 15.5603207 51.2603811, 15.5603046 51.2603738, 15.5602821 51.2603588, 15.5601524 51.2602791, 15.5599088 51.2601597, 15.5598484 51.2601206)",,,,,
436604421,Garncarska,tertiary,False,False,24.87,"LINESTRING (15.5603739 51.2604018, 15.5604261 51.2603192, 15.5605053 51.2601938)",2,50,,,
436604421,Garncarska,tertiary,False,True,60.406000000000006,"LINESTRING (15.5603739 51.2604018, 15.5603479 51.2604429, 15.5603188 51.2604939, 15.5603053 51.2605176, 15.5602159 51.2606741, 15.5601498 51.2608047, 15.5600936 51.2609158)",2,50,,,
"[37403816, 399902241, 399902242, 399902243]",Bohaterów Getta,tertiary,False,True,283.21500000000003,"LINESTRING (15.5600236 51.2660484, 15.5601359 51.2660741, 15.5602354 51.2660896, 15.5604051 51.2661088, 15.560658 51.2661108, 15.5607098 51.2661095, 15.5615894 51.2660581, 15.5622763 51.2660227, 15.5628682 51.2659874, 15.5638567 51.2659337, 15.5638788 51.2659329, 15.5640677 51.265922)","['2', '3']",50,,,
399902258,Targowa,residential,False,True,28.631,"LINESTRING (15.5600236 51.2660484, 15.5600632 51.2659732, 15.5600749 51.2659537, 15.5601013 51.2659108, 15.5601509 51.2658037)",,,,,
"[399902259, 399902261, 399902262]",Wesoła,tertiary,False,"[False, True]",171.704,"LINESTRING (15.5600236 51.2660484, 15.5599154 51.2660124, 15.5597592 51.265958, 15.559606 51.2658891, 15.5595626 51.2658666, 15.5591091 51.2656312, 15.558798 51.2654718, 15.5582754 51.2651926, 15.5582519 51.2651823, 15.5580633 51.2651186)","['2', '3']",50,,,
205562926,Armii Krajowej,residential,True,False,9.172,"LINESTRING (15.5639778 51.2637529, 15.5638636 51.2637941)",,,,,
"[115648993, 986625465]",Armii Krajowej,residential,False,False,31.483,"LINESTRING (15.5639778 51.2637529, 15.564272 51.2636335, 15.564359 51.2636004)",,,,,
"[37403819, 37403820]","['Karpecka', 'Braci Śniadeckich']",residential,True,False,172.35400000000004,"LINESTRING (15.5627606 51.2624123, 15.5628019 51.2624578, 15.5631403 51.26283, 15.5633765 51.2630899, 15.5634658 51.2631262, 15.5635616 51.2632434, 15.5636093 51.2633018, 15.5639778 51.2637529)",,,,,
37403821,1 Maja,residential,False,False,89.174,"LINESTRING (15.5627606 51.2624123, 15.5631111 51.2622691, 15.5633771 51.2621658, 15.5636913 51.2620415, 15.5638474 51.2619877)",,,,,
"[233501590, 306676710]",Plac Zamkowy,residential,False,True,55.884,"LINESTRING (15.5627606 51.2624123, 15.5626294 51.2624606, 15.5625539 51.2624885, 15.5621445 51.262659, 15.5620933 51.2626902)",,,,,
304774396,Zacisze,residential,False,True,41.218,"LINESTRING (15.5656858 51.2615753, 15.5657438 51.2619442)",,,,,
206175171,Fryderyka Chopina,residential,False,False,72.523,"LINESTRING (15.5656858 51.2615753, 15.5657231 51.2615696, 15.5658584 51.2615467, 15.5660209 51.2615188, 15.5660891 51.2615109, 15.5661342 51.2615057, 15.5662322 51.2615226, 15.5663227 51.2615619, 15.5663459 51.2616001, 15.5663683 51.261665, 15.5663726 51.2617881)",,,,,
206175171,Fryderyka Chopina,residential,False,True,89.119,"LINESTRING (15.5656858 51.2615753, 15.5655098 51.2615931, 15.5652464 51.2616258, 15.5649103 51.2616812, 15.5645861 51.2617461, 15.5644977 51.2617649, 15.5644515 51.2617807)",,,,,
195587232,Ignacego Łukasiewicza,residential,True,False,143.471,"LINESTRING (15.5699253 51.2611164, 15.5697753 51.2611598, 15.5696324 51.2611996, 15.5688025 51.2614335, 15.5686923 51.2614655, 15.5685413 51.2614832, 15.5684573 51.2614868, 15.568279 51.2614996, 15.5681863 51.2615035, 15.5681191 51.2615063, 15.5679893 51.2615173)",1,,,,
205554205,Karola Miarki,tertiary,False,False,136.775,"LINESTRING (15.5699253 51.2611164, 15.5700045 51.2612067, 15.5701831 51.2613929, 15.5703583 51.2615788, 15.5707659 51.2620113, 15.5707841 51.2620306, 15.5707996 51.2620468, 15.5708151 51.2620631, 15.5708221 51.262071, 15.5708294 51.2620789, 15.5709207 51.262177)",2,,,,
"[205554203, 1175933815]",Karola Miarki,tertiary,False,True,112.77699999999999,"LINESTRING (15.5699253 51.2611164, 15.5698436 51.2610193, 15.5696688 51.2608445, 15.5695651 51.2607393, 15.56929 51.2604477, 15.5691079 51.2602585, 15.5690948 51.2602457)","['2', '3']",,,,
"[205554203, 1175933815]",Karola Miarki,tertiary,False,False,112.777,"LINESTRING (15.5690948 51.2602457, 15.5691079 51.2602585, 15.56929 51.2604477, 15.5695651 51.2607393, 15.5696688 51.2608445, 15.5698436 51.2610193, 15.5699253 51.2611164)","['2', '3']",,,,
205554204,Karola Miarki,tertiary,True,False,37.295,"LINESTRING (15.5690948 51.2602457, 15.5688712 51.2601276, 15.5687154 51.2600106)",1,,circular,,
195184480,Warszawska,residential,False,False,62.657,"LINESTRING (15.5606731 51.2599311, 15.5605972 51.2599175, 15.560561 51.2599104, 15.5604885 51.2599008, 15.5602802 51.259884, 15.560234 51.2598838, 15.5601407 51.2598912, 15.5600494 51.2599087, 15.5599675 51.2599414, 15.5598532 51.2600172)",,,,,
436604421,Garncarska,tertiary,False,True,27.4,"LINESTRING (15.5606731 51.2599311, 15.5606211 51.2600129, 15.5606126 51.2600262, 15.5605269 51.2601599)",2,50,,,
436604421,Garncarska,tertiary,False,False,60.406000000000006,"LINESTRING (15.5600936 51.2609158, 15.5601498 51.2608047, 15.5602159 51.2606741, 15.5603053 51.2605176, 15.5603188 51.2604939, 15.5603479 51.2604429, 15.5603739 51.2604018)",2,50,,,
"[436604426, 436604421, 399902247]",Garncarska,tertiary,False,True,110.966,"LINESTRING (15.5600936 51.2609158, 15.5600535 51.2610051, 15.5600455 51.2610239, 15.5600064 51.2611156, 15.5599972 51.2611388, 15.5599715 51.2612118, 15.5599118 51.2613713, 15.5598722 51.2614616, 15.5597381 51.2618373, 15.5597297 51.2618607, 15.5597218 51.261886)","['2', '3']",50,,,
38532250,Bolesława Kubika,unclassified,False,False,73.917,"LINESTRING (15.5610176 51.2619302, 15.560904 51.2619479, 15.5607631 51.261958, 15.5602315 51.261996, 15.5600343 51.2620121, 15.5599923 51.2620155, 15.5599654 51.2620177)",2,,,,
