osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,bridge,junction
1134254476,False,Plac Tadeusza Kościuszki,residential,50,False,14.961,"LINESTRING (20.473292 51.4496872, 20.4734826 51.4497504)",,,,
154913958,False,Szkolna,residential,,True,21.145,"LINESTRING (20.473292 51.4496872, 20.4732384 51.4497474, 20.4730626 51.4497995)",,,,
54165847,False,Mostowa,secondary,50,True,45.939,"LINESTRING (20.4771519 51.4506458, 20.4772026 51.4505078, 20.4773196 51.4502462)",728,,,
119227278,False,Plac Wolności,secondary,50,True,57.014,"LINESTRING (20.4771519 51.4506458, 20.4771044 51.4507623, 20.4769541 51.4511435)",728,,,
119227279,True,Plac Wolności,secondary,,False,186.691,"LINESTRING (20.4771519 51.4506458, 20.4773624 51.4506849, 20.4789369 51.4509771, 20.4794897 51.4510797, 20.4796978 51.4511714)",728,,,
"[1134254477, 187825455]",False,"['Plac Gabriela Narutowicza', 'Plac Wolności']",residential,50,True,146.71499999999997,"LINESTRING (20.4771519 51.4506458, 20.476961 51.4506006, 20.4768665 51.4505782, 20.4766495 51.4505268, 20.4763863 51.4504724, 20.4758273 51.450373, 20.4757573 51.4503599, 20.4751363 51.4502444)",,,,
54166061,False,Jana Kilińskiego,tertiary,,False,58.718,"LINESTRING (20.4768399 51.4514529, 20.4766705 51.4519703)",,,,
54166061,False,Jana Kilińskiego,tertiary,,True,35.316,"LINESTRING (20.4768399 51.4514529, 20.4768983 51.4512755, 20.4769541 51.4511435)",,,,
119227283,False,Adama Mickiewicza,residential,,False,128.99,"LINESTRING (20.4768399 51.4514529, 20.4766891 51.4514549, 20.4758559 51.4513821, 20.4752587 51.4512761, 20.4750252 51.4512234)",,,,
119227283,False,Adama Mickiewicza,residential,,True,102.53100000000002,"LINESTRING (20.4768399 51.4514529, 20.4768997 51.4514524, 20.477698 51.4515028, 20.4778297 51.4514919, 20.4780546 51.451452, 20.4781319 51.4514266, 20.4781979 51.4513846, 20.4782267 51.4513455)",,,,
361091863,False,Stefana Żeromskiego,tertiary,,True,52.152,"LINESTRING (20.4750037 51.4524193, 20.4744824 51.4527576)",,,,
361091863,False,Stefana Żeromskiego,tertiary,,False,129.45100000000002,"LINESTRING (20.4750037 51.4524193, 20.475073 51.4523769, 20.4751768 51.4523134, 20.4752802 51.452263, 20.475398 51.4522179, 20.4758631 51.4520694, 20.4760646 51.4520194, 20.4762547 51.4519831, 20.4763664 51.4519705, 20.4764734 51.4519676, 20.476559 51.4519688, 20.4766705 51.4519703)",,,,
54166061,False,Jana Kilińskiego,tertiary,,False,319.812,"LINESTRING (20.4766705 51.4519703, 20.4758605 51.4548018)",,,,
54166061,False,Jana Kilińskiego,tertiary,,True,58.718,"LINESTRING (20.4766705 51.4519703, 20.4768399 51.4514529)",,,,
