osmid,lanes,highway,width,oneway,reversed,length,geometry,name,maxspeed,bridge,ref
61489504,1,tertiary,6.1,False,False,84.989,"LINESTRING (17.6616656 44.2264329, 17.6616646 44.226543, 17.661664 44.2265933, 17.6616635 44.2266427, 17.661658 44.2270047, 17.661665 44.2270519, 17.6616698 44.2270684, 17.6616788 44.2270992, 17.6616987 44.2271273, 17.661734 44.2271772, 17.6617432 44.2271837)",,,,
658131197,,residential,,False,False,170.978,"LINESTRING (17.6616656 44.2264329, 17.6618091 44.2264318, 17.6618871 44.2264347, 17.6619607 44.2264376, 17.6620541 44.2264375, 17.6624766 44.226437, 17.6626804 44.226421, 17.6628391 44.2264028, 17.6629356 44.2263894, 17.6633938 44.2262718, 17.6637593 44.2261878)",Bosanska,50,,
1089725757,2,tertiary,,False,True,37.813,"LINESTRING (17.6616656 44.2264329, 17.6614155 44.2264348, 17.6611911 44.2264379)",Bosanska,50,,
169734524,,residential,5.8,False,False,11.326,"LINESTRING (17.6641157 44.2254094, 17.6640973 44.2253084)",Lukačka,,,
170927970,,residential,,False,False,74.636,"LINESTRING (17.6641157 44.2254094, 17.6641164 44.2254168, 17.6641184 44.2254496, 17.6641949 44.2256676, 17.6642239 44.2257252, 17.6642875 44.2258514, 17.6643283 44.2259325, 17.664353 44.2259684, 17.6643872 44.2260493)",Lukačka,,,
61489509,,living_street,,False,False,104.31999999999998,"LINESTRING (17.6621374 44.228229, 17.6619231 44.2281282, 17.6618953 44.2281096, 17.6618676 44.2280874, 17.6618396 44.2280439, 17.6618206 44.2280014, 17.6618086 44.2279584, 17.661815 44.2279184, 17.6618354 44.2278556, 17.6618995 44.227741, 17.6620014 44.2275644, 17.662076 44.2274331)",,,,
61489493,,residential,,False,False,139.259,"LINESTRING (17.6700029 44.2296725, 17.6697335 44.2296443, 17.6696768 44.2296414, 17.6696262 44.2296472, 17.6694649 44.2296872, 17.6694133 44.2296952, 17.6693648 44.2296908, 17.6692742 44.2296701, 17.6692085 44.2296413, 17.6691472 44.2296126, 17.6690723 44.2295584, 17.6688288 44.2293666, 17.6687686 44.229328, 17.6685445 44.2291844)",Tabić mahala,,,
"[170892386, 199269636]",,residential,,False,"[False, True]",338.606,"LINESTRING (17.6700029 44.2296725, 17.6700403 44.2296254, 17.6701096 44.2294703, 17.670205 44.229188, 17.670334 44.2288396, 17.6703662 44.228731, 17.6703755 44.2286686, 17.6703671 44.2285487, 17.6703605 44.2283727, 17.6703578 44.2282303, 17.6703484 44.2280503, 17.6703202 44.2279276, 17.6702677 44.2278083, 17.6702309 44.22773, 17.670064 44.2273556, 17.6699907 44.2272294, 17.6698719 44.2272175, 17.6697087 44.2272068, 17.6696206 44.2272079, 17.6694478 44.2272116, 17.6693583 44.2272238, 17.6692715 44.2272494)","['Poturmahala', 'Varoš']",,,
78008351,,living_street,,False,False,113.24500000000002,"LINESTRING (17.6634223 44.2246108, 17.6633549 44.2245152, 17.6633434 44.2244509, 17.6633406 44.224373, 17.6633379 44.2242442, 17.663364 44.2240518, 17.6633505 44.2239668, 17.6633351 44.2238478, 17.6633148 44.2237689, 17.6632879 44.2237036, 17.6632232 44.2236229)",Gaj,,,
170958200,,residential,,False,True,139.44500000000002,"LINESTRING (17.6634223 44.2246108, 17.6635074 44.2245749, 17.6637075 44.2245192, 17.6638757 44.2244963, 17.6641227 44.2244933, 17.664228 44.224462, 17.6643473 44.2243896, 17.6644931 44.2243003, 17.6646889 44.2241584, 17.6648028 44.2239769)",,,,
