osmid,oneway,highway,reversed,length,geometry,lanes,ref,maxspeed,name,junction,bridge
754108636,True,residential,False,32.483,"LINESTRING (18.0939627 42.949824, 18.0938294 42.949816, 18.0936973 42.9497996, 18.0935702 42.9497753)",,,,,,
1008737763,False,primary,False,48.949,"LINESTRING (18.0939627 42.949824, 18.0938987 42.9499074, 18.0938175 42.9499939, 18.0937174 42.9500857, 18.0936135 42.9501813)",3,M-I 118,,,,
1008737764,False,primary,True,11.666,"LINESTRING (18.0939627 42.949824, 18.0939885 42.9497799, 18.0940173 42.949727)",3,M-I 118,,,,
130176416,False,residential,True,42.16,"LINESTRING (18.0931522 42.9504647, 18.0935121 42.9507374)",,,,,,
754646931,False,residential,True,204.776,"LINESTRING (18.0931522 42.9504647, 18.0929885 42.9503109, 18.0926561 42.9500564, 18.0923966 42.9498687, 18.0923068 42.9497929, 18.0920994 42.9496242, 18.0917119 42.9492985, 18.0914781 42.9490918)",,,,,,
1210850945,False,primary,False,96.739,"LINESTRING (18.0931522 42.9504647, 18.0929384 42.9505877, 18.0923707 42.9509229, 18.0922285 42.9510121)",2,M-I 118,40,,,
"[1210850945, 1008737763]",False,primary,True,49.050000000000004,"LINESTRING (18.0931522 42.9504647, 18.0933955 42.9503151, 18.0935467 42.9502291, 18.0936135 42.9501813)","['2', '3']",M-I 118,40,,,
130172687,False,residential,False,211.69899999999998,"LINESTRING (18.0935611 42.9475601, 18.0933787 42.9475342, 18.0932111 42.9475234, 18.0930997 42.9475519, 18.0930568 42.9475823, 18.0929643 42.947652, 18.0927591 42.947815, 18.0925874 42.9479701, 18.0921596 42.948351, 18.091919 42.9486142, 18.0917774 42.9487691)",,,40,,,
996969499,False,primary,False,211.98700000000002,"LINESTRING (18.0935611 42.9475601, 18.0936439 42.9478186, 18.0937214 42.9480197, 18.0938033 42.9482062, 18.0939503 42.9485236, 18.0940574 42.9487353, 18.0941254 42.9488953, 18.0941446 42.9489892, 18.0941639 42.9490832, 18.0941566 42.9492523, 18.0941408 42.9494003)",2,M-I 118,,,,
130172489,True,primary_link,False,46.63,"LINESTRING (18.0936135 42.9501813, 18.0936378 42.9500828, 18.0936505 42.9500145, 18.0936513 42.9499687, 18.0936444 42.9499174, 18.0936256 42.9498594, 18.0935702 42.9497753)",1,,,,,
"[1210850945, 1008737763]",False,primary,False,49.05,"LINESTRING (18.0936135 42.9501813, 18.0935467 42.9502291, 18.0933955 42.9503151, 18.0931522 42.9504647)","['2', '3']",M-I 118,40,,,
