osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,maxspeed,bridge,junction
30348517,residential,False,True,59.638,,"LINESTRING (18.6464312 44.4558929, 18.6460425 44.4554339)",,,,,
"[30675001, 30675002]",residential,False,False,493.3649999999999,Zlatni ljiljani,"LINESTRING (18.6464312 44.4558929, 18.6453861 44.4562865, 18.6444491 44.456585, 18.6441571 44.4566629, 18.6438706 44.4567328, 18.6438097 44.4567298, 18.6437515 44.4567146, 18.6436835 44.4566802, 18.6436325 44.4566336, 18.6436013 44.4565487, 18.6435954 44.4564762, 18.6436112 44.4564353, 18.6436561 44.4563888, 18.6437399 44.4563298, 18.6439753 44.4562386, 18.6453041 44.4557501, 18.6460425 44.4554339)",,,,,
30675001,residential,False,True,141.802,Zlatni ljiljani,"LINESTRING (18.6464312 44.4558929, 18.6468943 44.4557003, 18.6472544 44.4555494, 18.6479207 44.4551925)",,,,,
30348517,residential,False,False,59.638,,"LINESTRING (18.6460425 44.4554339, 18.6464312 44.4558929)",,,,,
"[30675001, 30675002]",residential,False,True,493.365,Zlatni ljiljani,"LINESTRING (18.6460425 44.4554339, 18.6453041 44.4557501, 18.6439753 44.4562386, 18.6437399 44.4563298, 18.6436561 44.4563888, 18.6436112 44.4564353, 18.6435954 44.4564762, 18.6436013 44.4565487, 18.6436325 44.4566336, 18.6436835 44.4566802, 18.6437515 44.4567146, 18.6438097 44.4567298, 18.6438706 44.4567328, 18.6441571 44.4566629, 18.6444491 44.456585, 18.6453861 44.4562865, 18.6464312 44.4558929)",,,,,
30348517,residential,False,True,57.453,,"LINESTRING (18.6460425 44.4554339, 18.6456521 44.4549988)",,,,,
30754709,residential,False,False,137.639,,"LINESTRING (18.6460425 44.4554339, 18.6474961 44.4547589)",,,,,
30348517,residential,False,False,57.453,,"LINESTRING (18.6456521 44.4549988, 18.6460425 44.4554339)",,,,,
30732660,residential,True,False,142.76100000000002,II. ulica,"LINESTRING (18.6456521 44.4549988, 18.6456358 44.4550065, 18.64561 44.4550205, 18.6443644 44.4556049, 18.6441242 44.4556684)",,,,,
30675865,residential,False,True,35.157,,"LINESTRING (18.6482459 44.4557274, 18.6486371 44.4555791)",,,,,
