osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
101274947,False,13. ulica,residential,False,61.544,"LINESTRING (18.6962756 45.0335872, 18.6966689 45.0336129, 18.6970555 45.0336379)",,,,
101274947,False,13. ulica,residential,False,115.112,"LINESTRING (18.6929119 45.0338788, 18.6943658 45.0337522)",,,,
48686610,False,8. ulica,tertiary,False,93.636,"LINESTRING (18.6929119 45.0338788, 18.6926937 45.0331427, 18.6926756 45.0330536)",,,,
48686610,False,8. ulica,tertiary,True,85.896,"LINESTRING (18.6929119 45.0338788, 18.6930369 45.0343634, 18.6930975 45.03464)",,,,
48686610,False,8. ulica,tertiary,True,34.146,"LINESTRING (18.6925341 45.0302449, 18.6925154 45.0305517)",,,,
100874216,True,7. ulica,residential,False,153.39600000000002,"LINESTRING (18.6884561 45.0370446, 18.6891173 45.0368827, 18.689763 45.036705, 18.6902979 45.0365891)",,,,
267732253,False,2. ulica,primary,False,43.632000000000005,"LINESTRING (18.6884561 45.0370446, 18.6884706 45.0371105, 18.6884974 45.0372508, 18.6885162 45.0373569, 18.6885298 45.0374335)",2,M-14.2,30,
267732253,False,2. ulica,primary,True,117.052,"LINESTRING (18.6884561 45.0370446, 18.6884411 45.0369797, 18.6884169 45.0368679, 18.6883982 45.0367826, 18.688374 45.0366594, 18.6883606 45.0365817, 18.6883365 45.0364661, 18.6882913 45.0359992)",2,M-14.2,30,
267732253,False,2. ulica,primary,False,17.692999999999998,"LINESTRING (18.6882882 45.0358401, 18.6882892 45.035894, 18.6882913 45.0359992)",2,M-14.2,30,
267732253,False,2. ulica,primary,True,62.023999999999994,"LINESTRING (18.6882882 45.0358401, 18.688281 45.0355396, 18.6882522 45.0354033, 18.6882237 45.0353389, 18.6882018 45.0352893)",2,M-14.2,30,
139994803,False,,residential,False,100.564,"LINESTRING (18.6986229 45.031189, 18.6981694 45.0320347)",,,,
139994803,False,,residential,True,29.09,"LINESTRING (18.6986229 45.031189, 18.6982717 45.0311063)",,,,
292189045,False,,residential,False,50.04,"LINESTRING (18.6986229 45.031189, 18.6988882 45.0307799)",,,,
292189047,False,,residential,False,132.472,"LINESTRING (18.6986229 45.031189, 18.6993769 45.0313474, 18.6994435 45.0313419, 18.6995007 45.0313124, 18.6996726 45.0307883)",,,,
139994803,False,,residential,False,29.09,"LINESTRING (18.6982717 45.0311063, 18.6986229 45.031189)",,,,
139994803,False,,residential,True,30.175,"LINESTRING (18.6982717 45.0311063, 18.6979178 45.031001)",,,,
292189044,False,,residential,True,99.609,"LINESTRING (18.6982717 45.0311063, 18.6977825 45.0319327)",,,,
139994803,False,,residential,False,33.145,"LINESTRING (18.6977825 45.0319327, 18.6974044 45.0318006)",,,,
139994803,False,,residential,True,32.45,"LINESTRING (18.6977825 45.0319327, 18.6981694 45.0320347)",,,,
292189044,False,,residential,False,99.609,"LINESTRING (18.6977825 45.0319327, 18.6982717 45.0311063)",,,,
292189046,False,,residential,True,108.654,"LINESTRING (18.6977031 45.0329546, 18.6981694 45.0320347)",,,,
100874201,False,19. ulica,residential,False,55.323,"LINESTRING (18.6977031 45.0329546, 18.6973604 45.0329187, 18.6970072 45.0328793)",,,,
100874201,False,19. ulica,residential,True,135.834,"LINESTRING (18.6977031 45.0329546, 18.6979374 45.0329914, 18.6981472 45.0330251, 18.6984593 45.0330739, 18.6988114 45.0331421, 18.6991195 45.0332147, 18.6993583 45.0332941)",,,,
