osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,tunnel,junction,bridge,maxspeed
192488862,True,2,M-5,primary,False,51.589,"LINESTRING (17.2682522 44.3362856, 17.2681299 44.3365511, 17.2680248 44.3367195)",,,,,
192488918,True,1,,primary_link,False,68.456,"LINESTRING (17.2682522 44.3362856, 17.2682464 44.3364493, 17.2682753 44.3365545, 17.2683492 44.3367256, 17.2683916 44.3368059, 17.2684448 44.336876)",,,,,
192488852,False,,,unclassified,False,37.712,"LINESTRING (17.2680248 44.3367195, 17.2681286 44.3367513, 17.2682831 44.3368078, 17.2684448 44.336876)",II zasjedanja AVNOJ-a,,,,
1006737113,True,2,M-5,primary,False,51.325,"LINESTRING (17.2680248 44.3367195, 17.2679425 44.3368417, 17.2676866 44.3371114)",,,,,
192488852,False,,,unclassified,False,413.084,"LINESTRING (17.2684448 44.336876, 17.268585 44.3369048, 17.2688206 44.3369269, 17.2692627 44.336985, 17.2695291 44.3370378, 17.2697018 44.3371096, 17.2697877 44.3371437, 17.2698596 44.3371881, 17.2699093 44.3372384, 17.2699312 44.3372852, 17.2699362 44.3373096, 17.2699455 44.3373422, 17.269925 44.3374429, 17.2698943 44.3375193, 17.2698643 44.3375833, 17.2698005 44.3376596, 17.2697368 44.3377276, 17.2696178 44.3378083, 17.2694331 44.3378998, 17.2691748 44.3380202, 17.2689682 44.3380909, 17.2687391 44.3381022, 17.2686611 44.3381111, 17.2684627 44.3381601, 17.2681342 44.3382742, 17.2678769 44.3383636, 17.267215 44.3385884, 17.2671988 44.3385619)",II zasjedanja AVNOJ-a,,,,
192488852,False,,,unclassified,True,37.712,"LINESTRING (17.2684448 44.336876, 17.2682831 44.3368078, 17.2681286 44.3367513, 17.2680248 44.3367195)",II zasjedanja AVNOJ-a,,,,
192488852,False,,,unclassified,True,413.0840000000001,"LINESTRING (17.2671988 44.3385619, 17.267215 44.3385884, 17.2678769 44.3383636, 17.2681342 44.3382742, 17.2684627 44.3381601, 17.2686611 44.3381111, 17.2687391 44.3381022, 17.2689682 44.3380909, 17.2691748 44.3380202, 17.2694331 44.3378998, 17.2696178 44.3378083, 17.2697368 44.3377276, 17.2698005 44.3376596, 17.2698643 44.3375833, 17.2698943 44.3375193, 17.269925 44.3374429, 17.2699455 44.3373422, 17.2699362 44.3373096, 17.2699312 44.3372852, 17.2699093 44.3372384, 17.2698596 44.3371881, 17.2697877 44.3371437, 17.2697018 44.3371096, 17.2695291 44.3370378, 17.2692627 44.336985, 17.2688206 44.3369269, 17.268585 44.3369048, 17.2684448 44.336876)",II zasjedanja AVNOJ-a,,,,
192488869,False,,,living_street,False,119.515,"LINESTRING (17.2683254 44.3394272, 17.2684739 44.3394441, 17.268579 44.3394618, 17.2686495 44.3394737, 17.268903 44.3395143, 17.2689837 44.3395211, 17.2690543 44.339527, 17.2693775 44.3395358, 17.2696215 44.3395634, 17.2698098 44.3395783)",Sv. Luke,,,,
192488869,False,,,living_street,True,31.386000000000003,"LINESTRING (17.2711898 44.3396063, 17.2711373 44.339606, 17.2710568 44.3396146, 17.270937 44.3396547, 17.2708186 44.3396904)",Sv. Luke,,,,
902746087,True,,,tertiary,False,103.463,"LINESTRING (17.2711898 44.3396063, 17.2712954 44.3396875, 17.2715603 44.3398851, 17.2719584 44.3401712, 17.2720912 44.340277)",Hrvoja Vukčića Hrvatinića,,,,
192488869,False,,,living_street,False,30.349,"LINESTRING (17.2698098 44.3395783, 17.2699354 44.3395743, 17.2700095 44.3395763, 17.2700946 44.3395862, 17.2701157 44.3395876, 17.270155 44.3395903, 17.2701893 44.3395947)",Sv. Luke,,,,
"[197976407, 429903927]",False,,,living_street,False,92.21699999999998,"LINESTRING (17.2698098 44.3395783, 17.2698913 44.3393146, 17.2699199 44.3392452, 17.2699996 44.3392123, 17.2700302 44.3392123, 17.2700592 44.3392895, 17.2700891 44.3393731, 17.2701372 44.3394721, 17.2701627 44.3395374, 17.2701893 44.3395947)",,,,,
192488869,False,,,living_street,True,119.515,"LINESTRING (17.2698098 44.3395783, 17.2696215 44.3395634, 17.2693775 44.3395358, 17.2690543 44.339527, 17.2689837 44.3395211, 17.268903 44.3395143, 17.2686495 44.3394737, 17.268579 44.3394618, 17.2684739 44.3394441, 17.2683254 44.3394272)",Sv. Luke,,,,
192508355,False,,,tertiary,True,84.553,"LINESTRING (17.2713133 44.3411472, 17.2722451 44.340781)",ZAVNOBiH-a,,,,
192488907,False,,,tertiary,False,45.07000000000001,"LINESTRING (17.2713133 44.3411472, 17.2714472 44.3412119, 17.2715033 44.3412623, 17.2715301 44.3413004, 17.2715944 44.3414718, 17.2715951 44.341477)",Maršala Tita,,,,
"[192488907, 192488909, 192488910]",False,,,tertiary,True,306.05300000000005,"LINESTRING (17.2713133 44.3411472, 17.2711945 44.3410811, 17.2681206 44.3406543, 17.2675646 44.3405761)",Maršala Tita,yes,,,
197976430,False,,,residential,True,75.62100000000001,"LINESTRING (17.2713133 44.3411472, 17.2711663 44.3413436, 17.2710605 44.3414349, 17.2706307 44.3415772)",,,,,
417620289,False,,,residential,True,32.957,"LINESTRING (17.2670928 44.3411198, 17.2669904 44.341407)",Kulina Bana,,,,
192488856,False,,,residential,False,31.467,"LINESTRING (17.2670928 44.3411198, 17.2669687 44.3411799, 17.2667442 44.3412515)",Bosanska,,,,
417620289,False,,,residential,False,34.928,"LINESTRING (17.2670928 44.3411198, 17.2671836 44.3409969, 17.2672862 44.3408379)",Kulina Bana,,,,
192488856,False,,,residential,True,31.467,"LINESTRING (17.2667442 44.3412515, 17.2669687 44.3411799, 17.2670928 44.3411198)",Bosanska,,,,
738057437,False,,,residential,False,26.157,"LINESTRING (17.2667442 44.3412515, 17.2668797 44.3413289, 17.2669904 44.341407)",Bosanska,,,,
417620289,False,,,residential,False,32.957,"LINESTRING (17.2669904 44.341407, 17.2670928 44.3411198)",Kulina Bana,,,,
