osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,bridge,width
14161884,502. viteške brigade,tertiary,False,False,91.25,"LINESTRING (15.8685773 44.8117645, 15.8693454 44.8115772, 15.8694625 44.8115487, 15.8695211 44.8115342, 15.8696701 44.8114955)",,,,,
88408997,Mehmedalije Maka Dizdara,residential,False,False,160.976,"LINESTRING (15.8685773 44.8117645, 15.8680278 44.8118951, 15.8673683 44.8120548, 15.8672811 44.8120754, 15.8670836 44.8121222, 15.8668604 44.812176, 15.8666441 44.8122281)",,,,,
247691312,5. korpusa,tertiary,False,False,132.112,"LINESTRING (15.8685773 44.8117645, 15.8686061 44.8118718, 15.8686088 44.8120645, 15.8686077 44.8120836, 15.8686015 44.8122396, 15.8685887 44.8126444, 15.8685841 44.8127323, 15.8685803 44.8128021, 15.8685733 44.8129503)",R 164,,,,
247691312,5. korpusa,tertiary,False,True,118.75500000000001,"LINESTRING (15.8685773 44.8117645, 15.86837 44.8113764, 15.8681874 44.8110811, 15.8681477 44.8110225, 15.8681386 44.81101, 15.8681046 44.8109632, 15.8680174 44.8108845, 15.8679315 44.8108069)",R 164,,,,
1001518484,Dr. Irfana Ljubijankića,secondary,False,True,21.93,"LINESTRING (15.8683532 44.8170694, 15.8686277 44.8170381)",,2,40,,
247691306,,secondary_link,True,False,34.160000000000004,"LINESTRING (15.8683532 44.8170694, 15.8684344 44.8170251, 15.868505 44.8169686, 15.8685313 44.8169316, 15.8685584 44.8168891, 15.868572 44.8168188)",,1,,,
247691307,Dr. Irfana Ljubijankića,secondary,False,False,21.253999999999998,"LINESTRING (15.8683532 44.8170694, 15.8682675 44.8170793, 15.8680897 44.8171089)",,,40,,
246628632,Murat-bega Ibrahimpašića,residential,False,True,67.155,"LINESTRING (15.8661189 44.8178625, 15.8656956 44.8173385)",,,,,
247691302,Dr. Irfana Ljubijankića,secondary,False,False,244.171,"LINESTRING (15.8661189 44.8178625, 15.8657625 44.8180158, 15.8634573 44.8189838)",,2,50,,
"[247691307, 247691303, 1007140247]",Dr. Irfana Ljubijankića,secondary,False,True,176.988,"LINESTRING (15.8661189 44.8178625, 15.8667186 44.817616, 15.8667703 44.8175948, 15.8669278 44.8175265, 15.8675367 44.8172731, 15.8678251 44.8171743, 15.8680897 44.8171089)",,"['2', '3']","['40', '50']",yes,
83019189,Sarajevska,residential,False,True,81.555,"LINESTRING (15.8640938 44.8135285, 15.8640442 44.8127959)",,,,,
83019189,Sarajevska,residential,False,False,123.756,"LINESTRING (15.8640938 44.8135285, 15.8640595 44.8136699, 15.8639666 44.8138761, 15.8637571 44.814256, 15.8637052 44.8144395, 15.863709 44.8145974)",,,,,
221471345,Harmanska,residential,False,False,64.16199999999999,"LINESTRING (15.8640938 44.8135285, 15.863999 44.8135154, 15.863918 44.8134937, 15.8635622 44.8133338, 15.8633763 44.813266)",,,,,
221471345,Harmanska,residential,False,True,208.343,"LINESTRING (15.8640938 44.8135285, 15.8643087 44.8135204, 15.8644193 44.8135207, 15.8650562 44.8135043, 15.865324 44.813504, 15.8654983 44.8135151, 15.8655715 44.8135228, 15.8657514 44.8135674, 15.8659637 44.8136295, 15.8661192 44.8136717, 15.8662335 44.8136916, 15.866301 44.8136989, 15.8663872 44.8137007, 15.8664904 44.8136931, 15.8666565 44.813686, 15.8666887 44.8136865)",,,,,
83019189,Sarajevska,residential,False,False,81.555,"LINESTRING (15.8640442 44.8127959, 15.8640938 44.8135285)",,,,,
83019189,Sarajevska,residential,False,True,73.96900000000001,"LINESTRING (15.8640442 44.8127959, 15.8639341 44.8125596, 15.8639013 44.8124666, 15.86386 44.812325, 15.8638384 44.8121498)",,,,,
88409671,Vazduhoplovne grupe,residential,False,True,215.20999999999998,"LINESTRING (15.8640442 44.8127959, 15.8642211 44.8127863, 15.8644062 44.8127621, 15.8647532 44.8127017, 15.8648262 44.8126834, 15.8666441 44.8122281)",,,,,
62123610,Plandište,residential,False,True,339.59400000000005,"LINESTRING (15.8746961 44.818112, 15.874677 44.8180334, 15.8746472 44.8179397, 15.8745695 44.8177283, 15.8744907 44.8175026, 15.8744737 44.8174127, 15.8744764 44.8173257, 15.874506 44.8171238, 15.8745626 44.8168894, 15.8745981 44.8166784, 15.87462 44.8165813, 15.8746302 44.8164555, 15.8746118 44.8162992, 15.8745443 44.8161308, 15.8744987 44.8159176, 15.874501 44.8157761, 15.8745273 44.8156685, 15.8746115 44.8154866, 15.874795 44.8151273)",,,,,
62124418,Meše Selimovića,residential,False,True,94.92699999999999,"LINESTRING (15.8746961 44.818112, 15.8745389 44.8186458, 15.8744777 44.8188308, 15.8744339 44.818945)",,,,,
62123612,Husrefa Redžića,residential,False,False,41.137,"LINESTRING (15.8752702 44.8149749, 15.874795 44.8151273)",,,,,
314187891,Safvet-bega Bašagića,residential,False,False,108.678,"LINESTRING (15.8752702 44.8149749, 15.8752466 44.8149082, 15.8751327 44.8145262, 15.8750388 44.8141786, 15.8750316 44.8141272, 15.875033 44.8140718, 15.8750442 44.8140152)",,,,,
1001518494,Bihaćkih branilaca,secondary,False,True,39.454,"LINESTRING (15.8750442 44.8140152, 15.8745503 44.8139592)",,3,40,,
314187891,Safvet-bega Bašagića,residential,False,True,108.678,"LINESTRING (15.8750442 44.8140152, 15.875033 44.8140718, 15.8750316 44.8141272, 15.8750388 44.8141786, 15.8751327 44.8145262, 15.8752466 44.8149082, 15.8752702 44.8149749)",,,,,
62123612,Husrefa Redžića,residential,False,True,41.137,"LINESTRING (15.874795 44.8151273, 15.8752702 44.8149749)",,,,,
62123610,Plandište,residential,False,False,339.59399999999994,"LINESTRING (15.874795 44.8151273, 15.8746115 44.8154866, 15.8745273 44.8156685, 15.874501 44.8157761, 15.8744987 44.8159176, 15.8745443 44.8161308, 15.8746118 44.8162992, 15.8746302 44.8164555, 15.87462 44.8165813, 15.8745981 44.8166784, 15.8745626 44.8168894, 15.874506 44.8171238, 15.8744764 44.8173257, 15.8744737 44.8174127, 15.8744907 44.8175026, 15.8745695 44.8177283, 15.8746472 44.8179397, 15.874677 44.8180334, 15.8746961 44.818112)",,,,,
314187892,Husrefa Redžića,residential,True,False,254.84999999999997,"LINESTRING (15.874795 44.8151273, 15.8744928 44.8151989, 15.8743427 44.815223, 15.8741963 44.8152322, 15.8740649 44.8152237, 15.8739313 44.8152049, 15.8737062 44.815143, 15.8734261 44.8150478, 15.8733218 44.8149913, 15.8732794 44.8149481, 15.8732503 44.8148988, 15.8732381 44.8148349, 15.8732186 44.8147388, 15.8732123 44.8146756, 15.8731755 44.8142887, 15.8731502 44.8141419, 15.8731352 44.8139998, 15.8731402 44.8138919, 15.873158 44.8138328)",,,,,
