osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge
128047643,2,R-448,secondary,40,False,True,18.178,,"LINESTRING (18.9794716 43.6695724, 18.9795869 43.6694318)",
971677745,3,M 118;M-20,primary,40,False,True,17.323,Muhidina Mašića Munje,"LINESTRING (18.9794716 43.6695724, 18.9796606 43.6696471)",
971677754,2,M 118;M-20,primary,40,False,True,22.227,Maršala Tita,"LINESTRING (18.9794716 43.6695724, 18.9792309 43.6694742)",
"[374642781, 26627589, 374639991]",,,"['residential', 'tertiary']",40,False,"[False, True]",285.70699999999994,Zaima Imamovića,"LINESTRING (18.9750868 43.6640351, 18.9750101 43.6641302, 18.9749977 43.6641462, 18.9747718 43.6644384, 18.9747301 43.6644924, 18.9745844 43.664681, 18.9744944 43.6647973, 18.9742311 43.664684, 18.9738191 43.6645327, 18.9737685 43.6645152, 18.9733047 43.6643181, 18.973268 43.6642977, 18.9732329 43.6642706, 18.9731722 43.6641997, 18.9731395 43.6641389, 18.9731185 43.6640899, 18.9731325 43.6640342, 18.9731607 43.6639726, 18.9731904 43.663905, 18.9732031 43.6638414, 18.9731841 43.6636597)",
60847279,,,residential,40,False,False,96.893,Zaima Imamovića,"LINESTRING (18.9750868 43.6640351, 18.9749589 43.6639894, 18.9749303 43.6639774, 18.9743921 43.6637511, 18.9741805 43.6636621, 18.9740408 43.6636034)",
338144614,2,R-448,secondary,40,False,True,62.312,Zaima Imamovića,"LINESTRING (18.9750868 43.6640351, 18.9751574 43.6639242, 18.9751676 43.663909, 18.9753191 43.6637114, 18.9753493 43.6636678, 18.9754402 43.6635367)",
374615241,2,R-448,secondary,40,False,False,111.88300000000001,Ferida Dizdarevića,"LINESTRING (18.9750868 43.6640351, 18.9752793 43.6640972, 18.9753598 43.6641285, 18.9760392 43.6643476, 18.9760809 43.6643668, 18.9762287 43.6644084, 18.9763538 43.6644486)",
60847279,,,residential,40,False,True,96.89299999999999,Zaima Imamovića,"LINESTRING (18.9740408 43.6636034, 18.9741805 43.6636621, 18.9743921 43.6637511, 18.9749303 43.6639774, 18.9749589 43.6639894, 18.9750868 43.6640351)",
374626702,,,residential,40,True,False,71.684,Zaima Imamovića,"LINESTRING (18.9740408 43.6636034, 18.9733351 43.6637145, 18.9731841 43.6636597)",
110582965,,,residential,,False,False,91.943,43. drinske brigade,"LINESTRING (18.9791235 43.6639475, 18.9801527 43.6643072)",
110579971,,,residential,40,False,False,50.201,43. drinske brigade,"LINESTRING (18.9791235 43.6639475, 18.9790509 43.6640403, 18.9788476 43.6643522)",
110582966,,,residential,40,False,False,93.166,43. drinske brigade,"LINESTRING (18.9791235 43.6639475, 18.9791682 43.6639083, 18.9793596 43.6636913, 18.9794429 43.6636709, 18.9795701 43.6636745, 18.9800516 43.6638105)",
110579971,,,residential,40,False,True,94.383,43. drinske brigade,"LINESTRING (18.9783667 43.6651263, 18.9784092 43.6650654, 18.9787936 43.6644335, 18.9788476 43.6643522)",
374615241,2,R-448,secondary,40,False,False,142.421,Ferida Dizdarevića,"LINESTRING (18.9783667 43.6651263, 18.9785223 43.665173, 18.9798818 43.6656582, 18.9799598 43.6656847)",
374615241,2,R-448,secondary,40,False,True,114.52400000000002,Ferida Dizdarevića,"LINESTRING (18.9783667 43.6651263, 18.9782146 43.6650731, 18.9776009 43.6648769, 18.977508 43.6648428, 18.9774104 43.6648127, 18.9771617 43.6647321, 18.9770709 43.6647)",
"[110581601, 1117393021, 1117393022]",,,residential,,False,True,194.74,,"LINESTRING (18.9783667 43.6651263, 18.9783276 43.665189, 18.9782839 43.6652558, 18.9779608 43.6657798, 18.9778149 43.6657319, 18.9771854 43.6655254, 18.9769686 43.6654566, 18.9766566 43.6653545)",
