osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry
759863841,True,1,M-6,Ante Starčevića,primary,False,13.622,,"LINESTRING (17.7041818 43.1092838, 17.704032 43.109339)"
35581216,True,1,M-6,,primary,False,10.309000000000001,roundabout,"LINESTRING (17.6992146 43.1098737, 17.6991989 43.1099024, 17.6991737 43.1099272, 17.6991407 43.1099466)"
39364248,False,,,Žrtava srebreničkog genocida,tertiary,False,9.141,,"LINESTRING (17.7064954 43.1140759, 17.7064058 43.1141257)"
67239845,True,,,Kralja Zvonimira,tertiary,False,114.37100000000001,,"LINESTRING (17.7064954 43.1140759, 17.7066816 43.1142237, 17.7068558 43.114366, 17.7071179 43.1145801, 17.707264 43.1147204, 17.7074078 43.1148586)"
730151635,False,,,Gojka Šuška,residential,True,272.225,,"LINESTRING (17.7064954 43.1140759, 17.706971 43.1138057, 17.7070211 43.1137587, 17.7070479 43.1137195, 17.7070372 43.1136869, 17.7069782 43.1136294, 17.7066992 43.1133618, 17.7063135 43.1129821, 17.7060376 43.1127105, 17.7058895 43.1125588, 17.705519 43.1121792)"
440001514,False,,,Kralja Zvonimira,tertiary,True,7.997,,"LINESTRING (17.7074794 43.114908, 17.7074078 43.1148586)"
1225995160,False,,,Tina Ujevića,tertiary,False,17.758,,"LINESTRING (17.7074794 43.114908, 17.7075829 43.1150487)"
180972656,True,,,Žrtava srebreničkog genocida,tertiary,False,25.634,,"LINESTRING (17.7061547 43.1142655, 17.7064058 43.1141257)"
"[180972713, 47900357]",False,,,,residential,"[False, True]",133.608,,"LINESTRING (17.7061547 43.1142655, 17.7052196 43.1135939, 17.7054339 43.1134067)"
153253671,False,,,Zrinjsko-Frankopanska,tertiary,False,9.224,,"LINESTRING (17.7037075 43.114589, 17.7035991 43.1146139)"
180972656,True,,,Žrtava srebreničkog genocida,tertiary,False,104.16799999999999,,"LINESTRING (17.7037075 43.114589, 17.7043793 43.114452, 17.7047436 43.1143897, 17.7049516 43.1143612)"
35581164,False,2,M-6,Mate Bobana,primary,False,35.711,,"LINESTRING (17.7019341 43.1151453, 17.7019798 43.1151005, 17.7020015 43.1150672, 17.7020131 43.115019, 17.7020158 43.1149656, 17.701998 43.1149029, 17.7019655 43.1148456)"
153253671,False,,,Zrinjsko-Frankopanska,tertiary,True,33.566,,"LINESTRING (17.7019341 43.1151453, 17.7020516 43.1151104, 17.7021864 43.1150553, 17.7023056 43.1150136)"
"[35581217, 1008217906]",False,"['2', '3']",M-6,Hrvatskih branitelja,primary,False,126.03399999999999,,"LINESTRING (17.7019341 43.1151453, 17.7018093 43.1152127, 17.7014101 43.1154143, 17.7011621 43.1155401, 17.7009058 43.1156822, 17.7006755 43.1158087)"
180972688,False,,,,residential,True,58.333,,"LINESTRING (17.7005705 43.1133903, 17.6998985 43.1135762)"
