osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,ref,maxspeed,access
707112766,True,Gavrila Principa,tertiary,False,107.717,"LINESTRING (18.3002974 44.9576574, 18.3016244 44.9574194)",,,,,
746759081,False,,residential,False,9.636,"LINESTRING (18.3002974 44.9576574, 18.3003326 44.9577404)",,,,,
293711247,False,Jovana Dučića,residential,False,208.251,"LINESTRING (18.3002974 44.9576574, 18.3002665 44.9575626, 18.3002162 44.957408, 18.300058 44.9569217, 18.3000229 44.9568614, 18.2999412 44.9567909, 18.2999032 44.9567619, 18.2997929 44.9566778, 18.2996178 44.9565443, 18.2991135 44.956147, 18.2990344 44.9560752)",,,,,
450579945,True,Gavrila Principa,tertiary,False,149.519,"LINESTRING (18.2984585 44.957996, 18.2990026 44.9579022, 18.3002974 44.9576574)",,,,,
746759080,True,,tertiary,False,9.002,"LINESTRING (18.2984585 44.957996, 18.29848 44.9580183, 18.2984925 44.9580438, 18.2984953 44.9580707)",roundabout,,,,
450579950,False,Dositeja Obradovića,tertiary,False,107.681,"LINESTRING (18.2982393 44.9577182, 18.2979795 44.9569869, 18.2979271 44.9568707, 18.2978662 44.956789)",,,,,
746759078,True,Dositeja Obradovića,tertiary,False,30.357,"LINESTRING (18.2982393 44.9577182, 18.2982792 44.9577951, 18.2983046 44.9578458, 18.2983206 44.9578776, 18.2983954 44.9579666)",,,,,
46885039,False,Cara Lazara,primary,False,36.472,"LINESTRING (18.2978662 44.956789, 18.2975468 44.9570267)",,2,M-II 500,50,
132220921,False,Cara Lazara,primary,False,121.52799999999998,"LINESTRING (18.2978662 44.956789, 18.2980044 44.9566872, 18.2980442 44.9566639, 18.2984374 44.9564336, 18.2987774 44.9562279, 18.2988876 44.9561612, 18.2990344 44.9560752)",,,M-II 500,50,
450579950,False,Dositeja Obradovića,tertiary,True,107.681,"LINESTRING (18.2978662 44.956789, 18.2979271 44.9568707, 18.2979795 44.9569869, 18.2982393 44.9577182)",,,,,
132220921,False,Cara Lazara,primary,True,121.52799999999999,"LINESTRING (18.2990344 44.9560752, 18.2988876 44.9561612, 18.2987774 44.9562279, 18.2984374 44.9564336, 18.2980442 44.9566639, 18.2980044 44.9566872, 18.2978662 44.956789)",,,M-II 500,50,
293711247,False,Jovana Dučića,residential,False,150.019,"LINESTRING (18.2990344 44.9560752, 18.2989922 44.9560314, 18.2988912 44.9559533, 18.2987293 44.9558435, 18.298602 44.9557803, 18.2984471 44.9557346, 18.2982519 44.9556981, 18.2980537 44.9556747, 18.2977985 44.9556464, 18.2973294 44.9556908)",,,,,
293711247,False,Jovana Dučića,residential,True,208.251,"LINESTRING (18.2990344 44.9560752, 18.2991135 44.956147, 18.2996178 44.9565443, 18.2997929 44.9566778, 18.2999032 44.9567619, 18.2999412 44.9567909, 18.3000229 44.9568614, 18.300058 44.9569217, 18.3002162 44.957408, 18.3002665 44.9575626, 18.3002974 44.9576574)",,,,,
293711768,False,Cara Lazara,primary,False,141.476,"LINESTRING (18.2990344 44.9560752, 18.2994177 44.9558577, 18.2997505 44.9556689, 18.3000311 44.9555033, 18.3003837 44.9552952, 18.3004264 44.95527)",,,M-II 500,50,
