osmid,oneway,lanes,ref,name,highway,reversed,length,bridge,geometry
260257542,False,2,PY13,Ruta Nacional 13,primary,True,108.27,,"LINESTRING (-56.0002084 -25.7122609, -56.0000016 -25.7132166)"
260257551,False,2,,,residential,False,15.047,,"LINESTRING (-56.0002084 -25.7122609, -56.0002367 -25.712128)"
"[705252565, 705252566, 232937871]",False,2,PY13,Ruta Nacional 13,primary,False,359.58899999999994,yes,"LINESTRING (-56.0002084 -25.7122609, -55.9991887 -25.7123255, -55.9976821 -25.7125183, -55.9973109 -25.7125658, -55.997072 -25.7125408, -55.9966495 -25.7124693)"
260257542,False,2,PY13,Ruta Nacional 13,primary,False,90.222,,"LINESTRING (-55.9998095 -25.7141045, -55.9999818 -25.7133081)"
260265694,False,2,,,residential,False,86.54,,"LINESTRING (-55.9998095 -25.7141045, -56.0006374 -25.7143266)"
260257542,False,2,PY13,Ruta Nacional 13,primary,True,180.06599999999997,,"LINESTRING (-55.9998095 -25.7141045, -55.9996545 -25.7148466, -55.9995094 -25.7157009)"
260265699,False,2,,,residential,False,133.679,,"LINESTRING (-55.9995094 -25.7157009, -56.0007791 -25.7160706)"
260257542,False,2,PY13,Ruta Nacional 13,primary,False,180.06599999999997,,"LINESTRING (-55.9995094 -25.7157009, -55.9996545 -25.7148466, -55.9998095 -25.7141045)"
260257542,False,2,PY13,Ruta Nacional 13,primary,True,99.392,,"LINESTRING (-55.9995094 -25.7157009, -55.9994635 -25.716125, -55.999415 -25.7165907)"
260265707,False,2,PY10,Ruta Nacional Las Residentas,trunk,False,114.662,,"LINESTRING (-55.999415 -25.7165907, -56.0005156 -25.7168737)"
260257542,False,2,PY13,Ruta Nacional 13,primary,False,99.392,,"LINESTRING (-55.999415 -25.7165907, -55.9994635 -25.716125, -55.9995094 -25.7157009)"
260257550,False,2,,,residential,False,79.242,,"LINESTRING (-56.0033425 -25.7119974, -56.0041069 -25.7121805)"
260257550,False,2,,,residential,True,88.615,,"LINESTRING (-56.0033425 -25.7119974, -56.0024877 -25.7117926)"
260257552,False,2,,,residential,False,96.486,,"LINESTRING (-56.0033425 -25.7119974, -56.0030566 -25.712826)"
260257552,False,2,,,residential,True,93.938,,"LINESTRING (-56.0033425 -25.7119974, -56.0036177 -25.7111898)"
260257552,False,2,,,residential,True,96.486,,"LINESTRING (-56.0030566 -25.712826, -56.0033425 -25.7119974)"
260257555,False,2,,,residential,True,88.427,,"LINESTRING (-56.0030566 -25.712826, -56.0022055 -25.7126153)"
260265715,False,2,,,residential,True,123.904,,"LINESTRING (-56.0030566 -25.712826, -56.002695 -25.7138916)"
"[260257544, 260257555]",False,2,,,residential,False,177.696,,"LINESTRING (-56.0030566 -25.712826, -56.0038323 -25.713018, -56.0041069 -25.7121805)"
260257547,False,2,,,residential,False,94.126,,"LINESTRING (-56.0027755 -25.7109868, -56.0024877 -25.7117926)"
