osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access
203925199,2,SR205,Via Orvieto,primary,50,False,True,59.495000000000005,"LINESTRING (12.4157029 42.5535302, 12.4160441 42.5534441, 12.4162094 42.5534226, 12.4164072 42.5534209)",,
361445265,,,Via Federico Zeri,residential,,False,False,112.47999999999999,"LINESTRING (12.4157029 42.5535302, 12.4156509 42.5533833, 12.415646 42.5532655, 12.415684 42.5531761, 12.4157403 42.5530645, 12.4157792 42.553025, 12.4158774 42.5529582, 12.4163716 42.5528429)",,
203925199,2,SR205,Via Orvieto,primary,50,False,False,1.516,"LINESTRING (12.4164257 42.5534207, 12.4164072 42.5534209)",,
"[832947941, 316206966]",2,SR205,Piazza XXI Settembre,primary,50,True,False,31.378,"LINESTRING (12.4164257 42.5534207, 12.4164698 42.553408, 12.4165808 42.5534139, 12.4168002 42.5534487)",,
81988397,2,,Piazza Ventuno Settembre,primary,,False,False,6.889,"LINESTRING (12.4167549 42.5535009, 12.4168002 42.5534487)",,
503085468,2,SR205,Piazza XXI Settembre,primary,50,True,False,7.243,"LINESTRING (12.4167549 42.5535009, 12.4166707 42.553481)",,
"[220952867, 241104613]",,,Via della Repubblica,residential,,False,False,24.232,"LINESTRING (12.4167549 42.5535009, 12.4167175 42.5535418, 12.4166977 42.5535664, 12.4166704 42.5536404, 12.4166523 42.5536813, 12.4166437 42.5537006)",,
208979934,,,Via San Crispino,unclassified,,False,False,110.113,"LINESTRING (12.4202557 42.5541523, 12.4203259 42.5544854, 12.4203921 42.5549836, 12.4203642 42.5550206, 12.4202166 42.555039)",,
990466905,2,SR205,Via Roma,primary,50,False,False,189.257,"LINESTRING (12.4202557 42.5541523, 12.4198461 42.554212, 12.4196732 42.5542341, 12.4193723 42.5542519, 12.4190687 42.5542428, 12.4187796 42.5542108, 12.418515 42.554151, 12.4183157 42.554064, 12.4181782 42.5539845, 12.418074 42.5539199)",,
"[990466905, 350322620]",2,SR205,Via Roma,primary,50,False,True,121.18200000000002,"LINESTRING (12.4202557 42.5541523, 12.4205887 42.5540655, 12.4208212 42.5540061, 12.4210433 42.5539575, 12.4215315 42.5538608, 12.4216702 42.5538355)",,
499674529,2,SR205,Piazza XXI Settembre,primary,50,True,False,10.574,"LINESTRING (12.4173701 42.5535723, 12.4174755 42.5536272)",,
219123955,2,SR205,Piazza XXI Settembre,primary,50,True,False,38.977,"LINESTRING (12.4174755 42.5536272, 12.4170107 42.5535521)",,
"[316206961, 316206963, 499640918]","['2', '3']",SR205,Piazza XXI Settembre,primary,50,False,True,46.357,"LINESTRING (12.4174755 42.5536272, 12.4175341 42.5536429, 12.4176389 42.5536794, 12.4178103 42.5537615, 12.4178335 42.5537747, 12.4179526 42.5538465)",,
78808626,,SP8,Via Rimembranze,secondary,,False,True,33.900000000000006,"LINESTRING (12.4199524 42.551834, 12.4200944 42.5517463, 12.4201413 42.5516987, 12.4201788 42.5516524, 12.4202049 42.5516002)",,
203152615,,,Viale Caduti sul Lavoro,residential,,False,False,63.67,"LINESTRING (12.4199524 42.551834, 12.4199058 42.5517871, 12.419491 42.5513732)",,
"[203904608, 203379874]",,SP8,Via Rimembranze,secondary,,True,False,186.116,"LINESTRING (12.4199524 42.551834, 12.4193965 42.5521418, 12.4193718 42.5521546, 12.4192695 42.5522075, 12.4191688 42.5522633, 12.4187759 42.5524756, 12.4183121 42.5527217, 12.4181791 42.5527945, 12.4181215 42.552825)",,
244677627,2,,Via della Pineta,unclassified,,False,False,124.822,"LINESTRING (12.416593 42.5567853, 12.4166237 42.5567472, 12.4170059 42.5564106, 12.4170826 42.5563507, 12.4172794 42.5562587, 12.4173872 42.556172, 12.4175534 42.556053, 12.4176586 42.5559945)",,
210449115,,,Via Cavour,residential,,False,False,23.494,"LINESTRING (12.4151338 42.5564565, 12.4152038 42.5566614)",,
120442497,,,Via Vincenzo Assettati,residential,,True,False,87.499,"LINESTRING (12.4147563 42.5558097, 12.4148857 42.5557894, 12.4150761 42.5557948, 12.4153884 42.5558069, 12.4154662 42.5558219, 12.4157667 42.5559573)",,
205799941,,,Via della Repubblica,residential,,True,False,96.878,"LINESTRING (12.4147563 42.5558097, 12.4146876 42.5558272, 12.4145969 42.5558499, 12.4144435 42.555877, 12.4143371 42.5558924, 12.4142201 42.5558891, 12.4141177 42.5558684, 12.4139733 42.5558558, 12.4138705 42.5558539, 12.413755 42.5558662, 12.4137092 42.5558839, 12.4136043 42.5559033)",,
