osmid,name,highway,oneway,reversed,length,geometry,junction,access,lanes
197178794,Via Noicattaro,residential,False,True,72.81,"LINESTRING (16.9246169 40.9614854, 16.9242055 40.960909)",,,
28839914,Via Conversano,residential,False,True,156.914,"LINESTRING (16.9261187 40.9540555, 16.9253136 40.9543756, 16.9251201 40.9544546, 16.924646 40.9545851, 16.9245705 40.9546059, 16.924433 40.9546578)",,,
29504159,Via Bari,residential,False,False,9.424,"LINESTRING (16.9170543 40.9602782, 16.9170415 40.9603624)",,,
29504159,Via Bari,residential,False,True,41.599,"LINESTRING (16.9170543 40.9602782, 16.9171127 40.9599067)",,,
201254545,Via Salvatore Quasimodo,residential,True,False,66.925,"LINESTRING (16.9170543 40.9602782, 16.9162621 40.9602122)",,,
29504159,Via Bari,residential,False,False,54.949,"LINESTRING (16.917189 40.9594159, 16.9171127 40.9599067)",,,
29504159,Via Bari,residential,False,True,49.735,"LINESTRING (16.917189 40.9594159, 16.9172627 40.9589721)",,,
197250627,Via Alessandro Manzoni,residential,True,False,60.658,"LINESTRING (16.917189 40.9594159, 16.9179101 40.9594482)",,,
197178805,Viale Angelo Pende,residential,False,False,56.722,"LINESTRING (16.9220985 40.9587147, 16.9223326 40.9591932)",,,
1101950254,Viale della Libertà,residential,False,True,86.145,"LINESTRING (16.9220985 40.9587147, 16.9210744 40.9586692)",,,
197178805,Viale Angelo Pende,residential,False,True,63.243,"LINESTRING (16.9220985 40.9587147, 16.92192 40.9583112, 16.9219033 40.9582691, 16.9218914 40.9582146, 16.9218822 40.958171)",,,
201040018,Via Franco Basaglia,residential,False,False,81.12,"LINESTRING (16.9220985 40.9587147, 16.9223543 40.9587183, 16.9230222 40.958536)",,,
43039089,Corso Vittorio Emanuele,residential,False,False,53.61,"LINESTRING (16.9173412 40.9584998, 16.9173997 40.9580197)",,,
29504152,Viale della Libertà,residential,False,False,111.439,"LINESTRING (16.9173412 40.9584998, 16.9178196 40.9585224, 16.9186657 40.9585623)",,,
29504159,Via Bari,residential,False,False,52.929,"LINESTRING (16.9173412 40.9584998, 16.917316 40.9586563, 16.9172627 40.9589721)",,,
197178794,Via Noicattaro,residential,False,False,12.767,"LINESTRING (16.9234824 40.9600853, 16.9235778 40.9601747)",,,
197178794,Via Noicattaro,residential,False,True,34.033,"LINESTRING (16.9234824 40.9600853, 16.9232141 40.959927, 16.9231613 40.9598986)",,,
150508201,Via Cellamare,residential,True,False,8.824,"LINESTRING (16.9225925 40.9595885, 16.9225256 40.9596497)",,,
197178794,Via Noicattaro,residential,False,False,58.909,"LINESTRING (16.9225925 40.9595885, 16.9231613 40.9598986)",,,
197178805,Viale Angelo Pende,residential,False,True,49.653,"LINESTRING (16.9225925 40.9595885, 16.9225241 40.9595377, 16.9224736 40.9594667, 16.9223326 40.9591932)",,,
