osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction,tunnel
24366089,Via Belvedere,residential,50,False,True,109.082,"LINESTRING (9.8673643 45.400122, 9.8675585 45.399594, 9.8676453 45.3993236, 9.8676494 45.399311, 9.8676527 45.3992755, 9.8676527 45.3992159, 9.8676527 45.3991655)",,,,
458475882,Via Venticinque Aprile,secondary,50,False,False,205.713,"LINESTRING (9.8673643 45.400122, 9.8674878 45.4001569, 9.8677518 45.4002325, 9.8683243 45.4003965, 9.8691708 45.400639, 9.8697385 45.4008086, 9.8698011 45.4008255)",2,,,
67610754,Via Bergamo,secondary,50,False,False,18.436,"LINESTRING (9.8701383 45.4038207, 9.8702453 45.4036729)",2,,,
95929794,Via Cascine Rosa,residential,50,True,False,37.866,"LINESTRING (9.8701383 45.4038207, 9.869703 45.4036705)",,,,
168993899,Via Fabio Filzi,unclassified,50,False,True,61.043000000000006,"LINESTRING (9.878361 45.3997355, 9.8783258 45.3996777, 9.8783004 45.399555, 9.878262 45.3994029, 9.8781775 45.3992039)",,,,
393500364,Via Brescia,secondary,,False,False,33.064,"LINESTRING (9.878361 45.3997355, 9.8785431 45.3996475, 9.8787124 45.3995696)",,,,
393500364,Via Brescia,secondary,,False,True,14.298,"LINESTRING (9.878361 45.3997355, 9.8782969 45.3997806, 9.8782354 45.399829)",,,,
393500364,Via Brescia,secondary,,False,False,16.183,"LINESTRING (9.8796365 45.3991703, 9.8798213 45.3991044)",,,,
393500364,Via Brescia,secondary,,False,True,84.721,"LINESTRING (9.8796365 45.3991703, 9.879144 45.3993848, 9.878832 45.3995207, 9.8787124 45.3995696)",,,,
335566480,,residential,,False,True,21.946,"LINESTRING (9.8779773 45.400142, 9.8777359 45.4000409)",,,,
50309287,Via Borgo Mattina,secondary,,False,False,36.939,"LINESTRING (9.8779773 45.400142, 9.8782721 45.4002571, 9.8783371 45.4002853, 9.8783694 45.4003203)",,,,
