osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,width,tunnel,lanes
52443249,Via Rimembranze,tertiary,40,False,True,25.852,"LINESTRING (10.4204973 45.5107112, 10.4202273 45.5108463)",,,,,
52443079,Via Venti Settembre,tertiary,40,True,False,47.799,"LINESTRING (10.4204973 45.5107112, 10.4207468 45.5106749, 10.4210345 45.5106547, 10.4211039 45.5106529)",,,,,
169894152,Viale Libertà,tertiary,50,False,False,112.565,"LINESTRING (10.4204973 45.5107112, 10.4203649 45.510517, 10.4202546 45.5103761, 10.4198883 45.5100178, 10.4197379 45.509853)",,,,,
169893713,Via Valpiana,unclassified,,False,True,75.56,"LINESTRING (10.4187164 45.5087458, 10.4177951 45.5089577)",,,,,
169894152,Viale Libertà,tertiary,50,False,False,54.248000000000005,"LINESTRING (10.4187164 45.5087458, 10.4186922 45.5086853, 10.4185847 45.508267)",,,,,
169894152,Viale Libertà,tertiary,50,False,True,146.72,"LINESTRING (10.4187164 45.5087458, 10.4187794 45.5088328, 10.4191267 45.5092304, 10.4192127 45.5093167, 10.4193364 45.5094383, 10.4197379 45.509853)",,,,,
52443249,Via Rimembranze,tertiary,40,False,False,266.66900000000004,"LINESTRING (10.4166421 45.5116385, 10.41688 45.51163, 10.4170738 45.5115931, 10.4172206 45.511549, 10.4174945 45.5114246, 10.4177349 45.5112843, 10.4183169 45.5108372, 10.4184876 45.5107467, 10.418688 45.5106966, 10.4188568 45.5106786, 10.4195747 45.5107391)",,,,,
455468954,Via Desio,residential,30,True,False,28.174,"LINESTRING (10.4226208 45.5150631, 10.4225861 45.5149577, 10.4225599 45.5148945, 10.4224978 45.5148281)",,,,,
923975178,,secondary,,True,False,26.458000000000002,"LINESTRING (10.4226208 45.5150631, 10.4226863 45.5150253, 10.422765 45.515003, 10.4228496 45.514998, 10.4229325 45.5150109)",SP4,,,,
258955305,,secondary,,True,False,5.669,"LINESTRING (10.4229325 45.5150109, 10.4229963 45.5150354)",SP4,,,,
52021820,Via Desio,residential,40,False,False,93.288,"LINESTRING (10.4224978 45.5148281, 10.4213868 45.5145154)",,,,,
95520414,Via Desio,residential,30,True,False,22.794999999999998,"LINESTRING (10.4224978 45.5148281, 10.4226457 45.5148638, 10.4227195 45.5148704, 10.4227809 45.5148749)",,,,,
