osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,junction,access
119951015,True,Via di Sotto,unclassified,False,38.623,"LINESTRING (11.2899754 44.8350951, 11.2898486 44.8354306)",,,,
84659087,False,Via Rotta,secondary,True,33.885000000000005,"LINESTRING (11.2899754 44.8350951, 11.2900975 44.8348663, 11.2901217 44.8348087)",,,,
"[181614028, 84659157]",False,"['Via per Modena', 'Via Rotta']",secondary,False,33.598,"LINESTRING (11.2899754 44.8350951, 11.2898968 44.8352196, 11.2897914 44.8353268, 11.2897503 44.8353463)",,,,
54107523,False,Piazza Salvo D'Acquisto,residential,False,141.903,"LINESTRING (11.2912121 44.8322151, 11.2926808 44.8329525)",,,,
84659151,False,Via Rotta,secondary,False,98.262,"LINESTRING (11.2912121 44.8322151, 11.290837 44.8330578)",,,,
84659124,False,Via Rotta,secondary,True,58.653999999999996,"LINESTRING (11.2912121 44.8322151, 11.2913387 44.8319472, 11.2914797 44.8317236)",2,,,
"[84659153, 84659182, 84659126]",False,Viale Stazione,unclassified,True,116.533,"LINESTRING (11.2912121 44.8322151, 11.2908332 44.8321914, 11.2906904 44.8321824, 11.2906133 44.8321776, 11.290369 44.832149, 11.2899722 44.8321025, 11.2898043 44.8319943)",2,,,
54107523,False,Piazza Salvo D'Acquisto,residential,True,141.903,"LINESTRING (11.2926808 44.8329525, 11.2912121 44.8322151)",,,,
84659234,False,Via Monte Grappa,residential,True,103.06800000000001,"LINESTRING (11.2926808 44.8329525, 11.2924322 44.8333268, 11.2923594 44.83347, 11.2923319 44.8336242, 11.2923504 44.8338293)",,,,
184601277,True,Via Monte Grappa,residential,False,80.773,"LINESTRING (11.2926808 44.8329525, 11.2929945 44.8324196, 11.2931121 44.8322962)",,,,
119950973,True,,secondary,False,17.761,"LINESTRING (11.2990624 44.8315535, 11.2989833 44.8316275, 11.2989066 44.8316664)",,SP10,,
157092697,True,Via Po,secondary,False,25.511,"LINESTRING (11.2990624 44.8315535, 11.299059 44.8317005, 11.2990752 44.8317821)",,SP10,,
157092689,False,Via Frassoni,secondary,False,18.501,"LINESTRING (11.2990752 44.8317821, 11.2989066 44.8316664)",,SP10,,
54107532,True,Via Giovanni Zuffi,tertiary,False,4.514,"LINESTRING (11.2966845 44.8302857, 11.2967275 44.8303125)",,,,
"[84659122, 200283565]",True,Corso Giuseppe Mazzini,residential,False,118.797,"LINESTRING (11.2973827 44.8308114, 11.2966945 44.831524, 11.296533 44.8316936)",,,,
