osmid,name,highway,oneway,reversed,length,access,geometry,tunnel,ref,junction,maxspeed,width,lanes,bridge
1016568608,Piazza XXIX Marzo,tertiary,False,True,67.185,,"LINESTRING (12.1121403 42.7206237, 12.112961 42.7206628)",,,,,,,
35268205,Vicolo degli Orti,residential,False,False,66.994,destination,"LINESTRING (12.1121403 42.7206237, 12.1121376 42.7205692, 12.112138 42.7202028, 12.1121785 42.7200237)",,,,,,,
"[117618484, 1162464598]","['Piazza XXIX Marzo', 'Via Arnolfo di Cambio']",tertiary,False,False,31.613,,"LINESTRING (12.1121403 42.7206237, 12.1120798 42.7206119, 12.1119332 42.7205697, 12.1117913 42.7205051)",,,,,,,
"[23207900, 30627111]",Via Filippeschi,tertiary,True,False,135.627,,"LINESTRING (12.108058 42.7184866, 12.1078617 42.7184938, 12.1077177 42.7185105, 12.1074909 42.718529, 12.106779 42.7186092, 12.1065713 42.7186448, 12.1064214 42.7186769)",,,,,,,
"[117820387, 1189430350]","['Vicolo Ascanio Vitozzi', 'Piazza Ascanio Vitozzi']",tertiary,True,False,96.03099999999999,,"LINESTRING (12.108058 42.7184866, 12.1080628 42.718515, 12.1081245 42.7187414, 12.1081744 42.7188917, 12.1082008 42.7189777, 12.1082254 42.7190576, 12.1086007 42.7190129)",,,,,,,
1127559789,Strada delle Conce,secondary,False,True,19.226999999999997,,"LINESTRING (12.1035595 42.7183021, 12.103585 42.7182874, 12.1036078 42.7182727, 12.1036306 42.718256, 12.1036507 42.7182393, 12.1036698 42.7182199, 12.1036862 42.7181996, 12.1037062 42.7181697)",,,,,,,
30627132,Via del Popolo,tertiary,True,False,11.499,,"LINESTRING (12.1104244 42.7203593, 12.1104221 42.7202559)",,,,,,,
"[35683793, 23207906, 35683781]",Via della Cava,tertiary,True,False,48.865,,"LINESTRING (12.104254 42.7181104, 12.1040425 42.7180056, 12.1039805 42.7179764, 12.1038263 42.7179441, 12.1037175 42.7179387)",building_passage,,,,,,
35683797,Via della Pace,tertiary,False,False,35.805,,"LINESTRING (12.1117913 42.7205051, 12.1114344 42.7203182)",,,,,,,
24928162,Via di Loreto,residential,True,False,86.575,,"LINESTRING (12.1117913 42.7205051, 12.1115427 42.720993, 12.1112076 42.7209171)",,,,,,,
"[117618484, 1162464598]","['Piazza XXIX Marzo', 'Via Arnolfo di Cambio']",tertiary,False,True,31.613000000000003,,"LINESTRING (12.1117913 42.7205051, 12.1119332 42.7205697, 12.1120798 42.7206119, 12.1121403 42.7206237)",,,,,,,
593345874,Via di Piazza del Popolo,living_street,False,True,51.975,,"LINESTRING (12.1095005 42.7188682, 12.1095337 42.7188368, 12.1095471 42.7187461, 12.1095686 42.7186555, 12.10959 42.7185136, 12.1095959 42.718412)",,,,,,,
1162464601,Via Ascanio Vitozzi,tertiary,True,False,38.324,,"LINESTRING (12.1095005 42.7188682, 12.1091374 42.7189236, 12.1090399 42.7189326)",,,,,,,
"[1162464600, 23359751]","['Vicolo Corsica', 'Piazza Corsica']",tertiary,True,False,54.56099999999999,,"LINESTRING (12.1110198 42.7201768, 12.1108215 42.7202753, 12.1107714 42.7203063, 12.110694 42.7203436, 12.1104244 42.7203593)",,,,,,,
1162464602,Piazza Corsica,tertiary,False,True,21.214,,"LINESTRING (12.1110198 42.7201768, 12.1111698 42.7201434, 12.1112443 42.7201956)",,,,,,,
23207905,Via della Commenda,residential,True,False,47.826,,"LINESTRING (12.1064214 42.7186769, 12.1064703 42.7185829, 12.1065564 42.7184604, 12.106733 42.7183194)",,,,,,,
23207906,Via della Cava,tertiary,True,False,89.12800000000001,,"LINESTRING (12.1064214 42.7186769, 12.106249 42.7186278, 12.1060735 42.7185914, 12.1057516 42.7185153, 12.105441 42.7184362, 12.1053926 42.7184143)",,,,,,,
24928180,Via Malabranca,residential,True,False,36.617,,"LINESTRING (12.1064214 42.7186769, 12.1062768 42.7186832, 12.1062123 42.718708, 12.105985 42.7187364)",,,,,,,
1016568608,Piazza XXIX Marzo,tertiary,False,False,67.185,,"LINESTRING (12.112961 42.7206628, 12.1121403 42.7206237)",,,,,,,
35268202,Via Felice Cavallotti,residential,True,False,57.665,destination,"LINESTRING (12.112961 42.7206628, 12.1129646 42.7206228, 12.1130444 42.7201479)",,,,,,,
"[1016568608, 117618473]",Piazza XXIX Marzo,tertiary,False,True,36.327,,"LINESTRING (12.112961 42.7206628, 12.1133403 42.7206894, 12.1134033 42.7206961)",,,,,,,
