osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,access,tunnel,bridge,ref,width
55714666,secondary,roundabout,True,False,17.576,"LINESTRING (15.650811 40.9947969, 15.6508406 40.9948001, 15.6508676 40.9948099, 15.6508893 40.9948255, 15.6509037 40.9948453, 15.6509094 40.9948674, 15.6509059 40.9948899, 15.6508936 40.9949104)",,,,,,,,
61638503,secondary,,False,False,114.242,"LINESTRING (15.650811 40.9947969, 15.6508103 40.9946978, 15.6508083 40.9946472, 15.6508049 40.9946017, 15.6507998 40.9945597, 15.6507889 40.9944974, 15.6507781 40.9944478, 15.6507661 40.9944033, 15.6507472 40.9943416, 15.6507161 40.9942543, 15.6506936 40.9941896, 15.650672 40.9941214, 15.6506401 40.9940178, 15.6506173 40.9939569, 15.6505839 40.9938779, 15.6505452 40.9937948)",2,,,,,,,
249881550,secondary,,True,False,14.419,"LINESTRING (15.6505785 40.994854, 15.6507437 40.9948184)",,Via Foggia,,,,,,
55714666,secondary,roundabout,True,False,6.27,"LINESTRING (15.6507437 40.9948184, 15.6507634 40.9948069, 15.6507864 40.9947996, 15.650811 40.9947969)",,,,,,,,
55714665,secondary,,True,False,15.636,"LINESTRING (15.6507423 40.994921, 15.6505785 40.994854)",,Via Foggia,,,,,,
55714666,secondary,roundabout,True,False,12.588,"LINESTRING (15.6507423 40.994921, 15.6507251 40.9949024, 15.6507162 40.9948808, 15.6507166 40.9948581, 15.650726 40.9948366, 15.6507437 40.9948184)",,,,,,,,
260777729,unclassified,,False,True,103.22399999999999,"LINESTRING (15.6507423 40.994921, 15.6507046 40.9949455, 15.6506893 40.994959, 15.6506762 40.9949777, 15.6506671 40.9949974, 15.6506625 40.9950165, 15.6506579 40.9950497, 15.650656 40.9950819, 15.6506576 40.9951153, 15.6506619 40.9951477, 15.6506663 40.9951665, 15.6506901 40.995252, 15.6506954 40.9952796, 15.6506999 40.9953096, 15.6507017 40.9953395, 15.6507 40.9953675, 15.6506956 40.9953955, 15.6506897 40.9954245, 15.6506807 40.9954567, 15.6506698 40.9954847, 15.6506554 40.9955141, 15.6506335 40.9955479, 15.6506082 40.9955833, 15.6504517 40.9957791)",,Via dell'Artigianato,,,,,,
158082439,residential,,True,False,26.195,"LINESTRING (15.6538169 40.9952532, 15.6537872 40.9952554, 15.6537578 40.9952558, 15.6537258 40.9952553, 15.6536878 40.9952526, 15.6536471 40.995249, 15.6535071 40.9952324)",,Via Bagno,,,,,,
668036214,residential,,False,True,20.131,"LINESTRING (15.6538169 40.9952532, 15.6538331 40.9952105, 15.6538793 40.9950784)",,,,,,,,
1123900513,residential,,True,False,39.956,"LINESTRING (15.6582808 40.9972111, 15.6578559 40.997049)",,Via Vittorio Emauele,,,,,,
