osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,ref,junction,tunnel
27702755,True,Via Conversano,secondary,False,23.69,"LINESTRING (17.1646647 40.8852773, 17.1647779 40.8850822)",,,,,,
225105576,False,Via Conversano - Strada Provinciale delle Grotte Orientali,secondary,True,24.338,"LINESTRING (17.1646647 40.8852773, 17.1645595 40.8853994, 17.1645354 40.88543, 17.1645135 40.8854637)",,,,,,
27771932,True,Via Vincenzo Longo,residential,False,64.768,"LINESTRING (17.1656706 40.8851534, 17.165989 40.884623)",,,,,,
28490487,True,Via Volturno,secondary,False,25.587,"LINESTRING (17.1656706 40.8851534, 17.1659435 40.8852553)",,,,,,
307308117,True,Via Vincenzo Longo,residential,False,23.53,"LINESTRING (17.1656706 40.8851534, 17.1655416 40.8853412)",,,,,,
27810846,True,Via Fratelli Bandiera,tertiary,False,27.746,"LINESTRING (17.1679948 40.8856708, 17.1682989 40.8857678)",,,,,,
137549545,False,Via Monopoli,secondary,False,123.564,"LINESTRING (17.1679948 40.8856708, 17.1689324 40.8865266)",2,50,yes,,,
225790814,False,Via Volturno,secondary,True,37.916,"LINESTRING (17.1679948 40.8856708, 17.1675587 40.8855838)",,,,SP237,,
107757468,True,Via Mater Domini,secondary,False,93.57,"LINESTRING (17.1679948 40.8856708, 17.1679545 40.8857171, 17.1679009 40.8860183, 17.1678978 40.8861367, 17.1678919 40.8863073, 17.1678676 40.8864995)",,,,,,
137547885,False,Via Trento,residential,False,24.771,"LINESTRING (17.1679948 40.8856708, 17.1680179 40.8855754, 17.1681271 40.8854805)",,,,,,
307309395,False,Piazza Giuseppe Garibaldi,residential,True,92.02199999999999,"LINESTRING (17.1679948 40.8856708, 17.1673711 40.8851142, 17.1672524 40.8850746)",,,,,,
"[307309394, 1233985911]",False,Piazza Giuseppe Garibaldi,unclassified,True,137.429,"LINESTRING (17.1679948 40.8856708, 17.1679394 40.8855532, 17.1678962 40.8854989, 17.1678137 40.8853098, 17.167585 40.8847068, 17.1675464 40.8846705, 17.1674845 40.8846591, 17.1673205 40.8846337)",,,,,,
27245791,False,Via dell'olmo,secondary,True,21.916,"LINESTRING (17.1691141 40.8866983, 17.1693111 40.8865692)",,,,,,
137549545,False,Via Monopoli,secondary,False,44.95,"LINESTRING (17.1691141 40.8866983, 17.1694694 40.8870004)",2,50,yes,,,
137549545,False,Via Monopoli,secondary,True,24.45,"LINESTRING (17.1691141 40.8866983, 17.1689324 40.8865266)",2,50,yes,,,
27245791,False,Via dell'olmo,secondary,False,23.325,"LINESTRING (17.1704685 40.8856431, 17.1702755 40.8857938)",,,,,,
28203419,False,,secondary,False,9.476,"LINESTRING (17.1704685 40.8856431, 17.1704783 40.8855582)",,,,,,
