osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,width
509665854,False,2,SS2,Via Cassia,primary,50,True,322.53200000000004,"LINESTRING (11.6041812 43.0615506, 11.6042735 43.0615436, 11.604374 43.0615328, 11.6045025 43.0615159, 11.6046092 43.0614992, 11.6047133 43.0614798, 11.6048066 43.0614605, 11.6049091 43.061436, 11.6050151 43.0614063, 11.6051643 43.0613578, 11.6053421 43.0612906, 11.6054897 43.0612243, 11.6056106 43.0611615, 11.6057317 43.0610929, 11.605975 43.0609432, 11.6063506 43.0607054, 11.6074599 43.0600155)",,,
953376714,False,2,SS2,Via Cassia,primary,50,False,67.42800000000001,"LINESTRING (11.6041812 43.0615506, 11.603918 43.0615615, 11.6037677 43.0615634, 11.603664 43.0615634, 11.6035534 43.0615623, 11.6034536 43.0615599, 11.6033519 43.0615556)",,,
37000964,True,1,SS146,Svincolo di San Quirico d'Orcia,primary,40,False,101.54799999999999,"LINESTRING (11.6033519 43.0615556, 11.6027499 43.0615773, 11.602604 43.0615855, 11.6025677 43.0615903, 11.602534 43.0615959, 11.6025024 43.0616034, 11.6024738 43.0616124, 11.6024403 43.0616304, 11.6023931 43.061662, 11.602353 43.0616936, 11.6022923 43.0617373, 11.6022518 43.0617659, 11.6022043 43.0617914)",,,
529025840,False,2,SS2,Via Cassia,primary,50,False,141.661,"LINESTRING (11.6033519 43.0615556, 11.603203 43.0615466, 11.6030643 43.061537, 11.6028885 43.0615214, 11.6027343 43.0615054, 11.6025847 43.0614861, 11.6023958 43.0614589, 11.6022421 43.0614324, 11.6020938 43.0614011, 11.6019525 43.0613675, 11.6018309 43.0613338, 11.6016586 43.0612812)",,,
953376714,False,2,SS2,Via Cassia,primary,50,True,67.428,"LINESTRING (11.6033519 43.0615556, 11.6034536 43.0615599, 11.6035534 43.0615623, 11.603664 43.0615634, 11.6037677 43.0615634, 11.603918 43.0615615, 11.6041812 43.0615506)",,,
1208337443,False,2,SS146,Strada delle Carbonaie,primary,,False,8.659,"LINESTRING (11.6023451 43.0608572, 11.6024492 43.0608739)",,,
94747471,False,2,SS146,Strada delle Carbonaie,primary,,True,32.035999999999994,"LINESTRING (11.6023451 43.0608572, 11.6022834 43.0608451, 11.6022258 43.0608316, 11.6021696 43.060816, 11.6021129 43.0607969, 11.6020595 43.060775, 11.6019868 43.0607412)",,,
1208337446,False,2,SS146,Strada delle Carbonaie,primary,,True,13.986,"LINESTRING (11.6019868 43.0607412, 11.6018534 43.0606617)",,,
94747471,False,2,SS146,Strada delle Carbonaie,primary,,False,32.035999999999994,"LINESTRING (11.6019868 43.0607412, 11.6020595 43.060775, 11.6021129 43.0607969, 11.6021696 43.060816, 11.6022258 43.0608316, 11.6022834 43.0608451, 11.6023451 43.0608572)",,,
24987990,False,2,SP137,Strada Provinciale di Celamonti,secondary,,False,53.093999999999994,"LINESTRING (11.5995529 43.0615569, 11.5989756 43.0616198, 11.5989063 43.0616262)",,,
