osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,width
142578893,2,SR602;SP43,Via Attilio Forlani,tertiary,False,False,71.57499999999999,"LINESTRING (14.0717874 42.3639705, 14.0718305 42.3639107, 14.0718589 42.3638843, 14.0719005 42.3638585, 14.07226 42.363689, 14.0724727 42.3635877)",,,
195112307,1,,Via Guglielmo Marconi,residential,True,False,130.422,"LINESTRING (14.0717874 42.3639705, 14.0717335 42.3639446, 14.0713966 42.363592, 14.0710694 42.3631878, 14.0710408 42.3631791, 14.0709986 42.3631945, 14.0708792 42.3632478, 14.0708095 42.3632825)",,,
1073623219,2,SR602;SP43,Via Roma,tertiary,False,True,44.19,"LINESTRING (14.0717874 42.3639705, 14.0717698 42.3640373, 14.0717453 42.3642824, 14.0717373 42.3643317, 14.0717318 42.3643654)",,,
6059448,2,SS81,Via Piave,primary,False,False,128.923,"LINESTRING (14.0724988 42.3656605, 14.0724322 42.3656965, 14.0723799 42.3657491, 14.0723115 42.3658422, 14.0721589 42.3660559, 14.0717256 42.3666622)",,,
6059482,2,SR602,Via Roma,primary,False,False,98.66199999999999,"LINESTRING (14.0724988 42.3656605, 14.0723832 42.3654609, 14.0720631 42.3649227, 14.0720114 42.3648498)",,,
23950415,2,SS81,Via Dante Alighieri,primary,False,True,87.263,"LINESTRING (14.0724988 42.3656605, 14.0726796 42.3658535, 14.0730193 42.3662194, 14.0731074 42.3663035)",,,
814496517,2,SR602,Via Roma,primary,False,True,29.307,"LINESTRING (14.0718457 42.3646164, 14.0720114 42.3648498)",,,
142578892,1,SR602,Via Roma,primary,True,False,18.158,"LINESTRING (14.0718457 42.3646164, 14.0717701 42.3645585, 14.0717045 42.3645238, 14.0716789 42.3645103)",,,
142578887,2,,Via Duca degli Abruzzi,primary,False,False,6.3759999999999994,"LINESTRING (14.071602 42.3644629, 14.0715705 42.3644558, 14.0715278 42.3644461)",,,
819374358,1,SR602,,primary,True,False,18.978,"LINESTRING (14.071602 42.3644629, 14.0715955 42.364439, 14.0715997 42.3644148, 14.0716141 42.3643929, 14.0716372 42.3643755, 14.0716667 42.3643645, 14.0716993 42.364361, 14.0717318 42.3643654)",roundabout,,
814496516,2,,Via Duca degli Abruzzi,primary,False,True,154.002,"LINESTRING (14.0676844 42.3617871, 14.0677666 42.3618781, 14.0683713 42.3623123, 14.0690047 42.362767)",,,
1073754478,2,,Via Duca degli Abruzzi,primary,False,False,57.583,"LINESTRING (14.0676844 42.3617871, 14.0676376 42.3616839, 14.0676055 42.3614079, 14.0675825 42.361277)",,,
"[843445763, 1073754478]",2,,"['Via Val di Nora', 'Via Duca degli Abruzzi']",primary,False,False,126.10499999999998,"LINESTRING (14.0675825 42.361277, 14.0675613 42.3612175, 14.0675278 42.361174, 14.0674392 42.3611028, 14.0670904 42.3609305, 14.0667838 42.360779, 14.0666412 42.3607012, 14.0665898 42.3606471, 14.0665632 42.3605903, 14.0665544 42.3605045)",,,
1073754478,2,,Via Duca degli Abruzzi,primary,False,True,57.583,"LINESTRING (14.0675825 42.361277, 14.0676055 42.3614079, 14.0676376 42.3616839, 14.0676844 42.3617871)",,,
814496520,,SR602,Via Unesco,tertiary,True,False,31.84,"LINESTRING (14.0665426 42.3600362, 14.0668085 42.3602445)",,50,
33383186,2,SR602,Via Val di Nora,primary,False,True,25.852,"LINESTRING (14.0665426 42.3600362, 14.0665816 42.360147, 14.0665839 42.360265)",,,
33383186,2,SR602,Via Val di Nora,primary,False,False,25.852,"LINESTRING (14.0665839 42.360265, 14.0665816 42.360147, 14.0665426 42.3600362)",,,
142578886,,SR602,Via Unesco,tertiary,True,False,19.294,"LINESTRING (14.0665839 42.360265, 14.06665 42.3602392, 14.0667252 42.3602339, 14.0668085 42.3602445)",,50,
814496518,2,,Via Val di Nora,primary,False,True,26.744,"LINESTRING (14.0665839 42.360265, 14.0665673 42.360382, 14.0665544 42.3605045)",,,
268473133,,SR602,Via Unesco,tertiary,True,False,23.881999999999998,"LINESTRING (14.0670297 42.3603926, 14.0669096 42.3603693, 14.0667433 42.3603634)",,50,
1073754476,2,SR602,Via Unesco,tertiary,False,False,99.57300000000002,"LINESTRING (14.0670297 42.3603926, 14.0672557 42.3605432, 14.0673763 42.3606076, 14.0674758 42.3606573, 14.0675802 42.3606913, 14.0676858 42.3607066, 14.0678293 42.3607075, 14.0679582 42.3606941, 14.0680875 42.3606485)",,50,
142578890,2,SR602,Via Ventignano,tertiary,False,False,12.358,"LINESTRING (14.0680875 42.3606485, 14.0681937 42.3605698)",,30,
195116231,1,,Via Unesco,unclassified,True,False,82.34100000000001,"LINESTRING (14.0680875 42.3606485, 14.0680887 42.3606925, 14.0680749 42.3607261, 14.0680476 42.3607676, 14.0679717 42.3608546, 14.0677247 42.361099, 14.0676179 42.3612327, 14.0675825 42.361277)",,,
1073754476,2,SR602,Via Unesco,tertiary,False,True,99.573,"LINESTRING (14.0680875 42.3606485, 14.0679582 42.3606941, 14.0678293 42.3607075, 14.0676858 42.3607066, 14.0675802 42.3606913, 14.0674758 42.3606573, 14.0673763 42.3606076, 14.0672557 42.3605432, 14.0670297 42.3603926)",,50,
195094051,,,Via Ventignano,unclassified,False,True,74.198,"LINESTRING (14.0734536 42.3617782, 14.0738838 42.3611915)",,40,
195111632,,,Via Alfonso Della Valle,residential,False,True,93.24,"LINESTRING (14.0734536 42.3617782, 14.0727783 42.3624521)",,,
142578890,2,SR602,Via Ventignano,tertiary,False,False,61.66,"LINESTRING (14.0734536 42.3617782, 14.0737342 42.3619831, 14.0739785 42.3621744)",,30,
142578890,2,SR602,Via Ventignano,tertiary,False,True,498.5240000000001,"LINESTRING (14.0734536 42.3617782, 14.073024 42.3614876, 14.0729932 42.3614668, 14.0728898 42.3613969, 14.0726821 42.3612563, 14.072548 42.3611657, 14.0720484 42.3608277, 14.071903 42.3607521, 14.0718272 42.3607127, 14.071647 42.360643, 14.0713971 42.3605674, 14.0712708 42.3605417, 14.0706507 42.3604156, 14.0699166 42.3602591, 14.0695526 42.3601933, 14.0693227 42.3601859, 14.0691162 42.3602021, 14.0689003 42.3602331, 14.0687579 42.3602748, 14.0685315 42.3603635, 14.0683536 42.360467, 14.0682681 42.360522, 14.0681937 42.3605698)",,30,
195111836,,,Via Salvo D'Acquisto,residential,False,False,95.557,"LINESTRING (14.0739785 42.3621744, 14.0731339 42.3627652)",,,
"[142578890, 915936870]","['2', '3']",SR602,Via Ventignano,tertiary,False,False,68.173,"LINESTRING (14.0739785 42.3621744, 14.0742174 42.3624461, 14.0744034 42.3626701, 14.0744185 42.3626939)",,30,
142578890,2,SR602,Via Ventignano,tertiary,False,True,61.66,"LINESTRING (14.0739785 42.3621744, 14.0737342 42.3619831, 14.0734536 42.3617782)",,30,
142578893,2,SR602;SP43,Via Attilio Forlani,tertiary,False,True,59.105,"LINESTRING (14.0744185 42.3626939, 14.0743361 42.3627313, 14.0738037 42.3629699)",,,
915936869,2,SP43,Via Attilio Forlani,tertiary,False,False,66.534,"LINESTRING (14.0744185 42.3626939, 14.0745825 42.3626282, 14.0749526 42.3624973, 14.0751459 42.3624313)",,,
"[142578890, 915936870]","['2', '3']",SR602,Via Ventignano,tertiary,False,True,68.173,"LINESTRING (14.0744185 42.3626939, 14.0744034 42.3626701, 14.0742174 42.3624461, 14.0739785 42.3621744)",,30,
814496520,,SR602,Via Unesco,tertiary,True,False,24.526,"LINESTRING (14.0668085 42.3602445, 14.0670297 42.3603926)",,50,
814496516,2,,Via Duca degli Abruzzi,primary,False,False,26.2,"LINESTRING (14.0692322 42.3629321, 14.0690668 42.3628115, 14.0690047 42.362767)",,,
814496516,2,,Via Duca degli Abruzzi,primary,False,True,60.135999999999996,"LINESTRING (14.0692322 42.3629321, 14.0696958 42.3632699, 14.0697534 42.3633118)",,,
819374358,1,SR602,,primary,True,False,10.989999999999998,"LINESTRING (14.0717318 42.3643654, 14.071761 42.3643775, 14.0717833 42.3643959, 14.0717963 42.3644187, 14.0717987 42.3644433)",roundabout,,
1073623219,2,SR602;SP43,Via Roma,tertiary,False,False,44.19,"LINESTRING (14.0717318 42.3643654, 14.0717373 42.3643317, 14.0717453 42.3642824, 14.0717698 42.3640373, 14.0717874 42.3639705)",,,
819374358,1,SR602,,primary,True,False,8.556000000000001,"LINESTRING (14.0716789 42.3645103, 14.0716463 42.3645014, 14.0716197 42.364485, 14.071602 42.3644629)",roundabout,,
142578889,1,SR602,Via Roma,primary,True,False,19.642,"LINESTRING (14.0717987 42.3644433, 14.071818 42.3645293, 14.0718457 42.3646164)",,,
819374358,1,SR602,,primary,True,False,13.814999999999998,"LINESTRING (14.0717987 42.3644433, 14.0717901 42.3644673, 14.0717713 42.3644879, 14.0717445 42.3645029, 14.0717125 42.3645107, 14.0716789 42.3645103)",roundabout,,
814496518,2,,Via Val di Nora,primary,False,False,26.744,"LINESTRING (14.0665544 42.3605045, 14.0665673 42.360382, 14.0665839 42.360265)",,,
"[843445763, 1073754478]",2,,"['Via Val di Nora', 'Via Duca degli Abruzzi']",primary,False,True,126.10499999999999,"LINESTRING (14.0665544 42.3605045, 14.0665632 42.3605903, 14.0665898 42.3606471, 14.0666412 42.3607012, 14.0667838 42.360779, 14.0670904 42.3609305, 14.0674392 42.3611028, 14.0675278 42.361174, 14.0675613 42.3612175, 14.0675825 42.361277)",,,
268473133,,SR602,Via Unesco,tertiary,True,False,22.261,"LINESTRING (14.0667433 42.3603634, 14.0666361 42.3604248, 14.0666129 42.3604474, 14.0665544 42.3605045)",,50,
814496519,,SR602,Via Unesco,tertiary,True,False,18.502,"LINESTRING (14.0667433 42.3603634, 14.0666575 42.3603475, 14.0666143 42.360318, 14.0665839 42.360265)",,50,
195099448,1,,Via Emilio Casella,residential,True,False,106.771,"LINESTRING (14.0731074 42.3663035, 14.0740349 42.3656309)",,,
