osmid,oneway,ref,name,highway,reversed,length,geometry,junction,lanes,maxspeed,bridge
38316592,True,SP10,Viale Italia,secondary,False,24.203,"LINESTRING (7.7088999 45.1813404, 7.7091088 45.1811801)",,,,
38316565,False,SP10,Viale Italia,secondary,True,108.73,"LINESTRING (7.7088999 45.1813404, 7.7085056 45.1814827, 7.707877 45.1817095, 7.7076705 45.1817931)",,,,
38316575,True,SP10,Corso Italia,secondary,False,9.697,"LINESTRING (7.7091088 45.1811801, 7.7091283 45.1811547, 7.7091454 45.1811424, 7.7091981 45.1811248)",roundabout,,,
38316575,True,SP10,Corso Italia,secondary,False,6.5809999999999995,"LINESTRING (7.7091981 45.1811248, 7.7092391 45.1811243, 7.7092796 45.1811344)",roundabout,,,
38316599,True,SP10,Viale Italia,secondary,False,23.536,"LINESTRING (7.7092796 45.1811344, 7.7095774 45.1811072)",,,,
38316575,True,SP10,Corso Italia,secondary,False,10.518,"LINESTRING (7.7092796 45.1811344, 7.7093111 45.1811529, 7.7093256 45.1811683, 7.7093378 45.1811959, 7.7093382 45.1812142)",roundabout,,,
38316575,True,SP10,Corso Italia,secondary,False,5.457,"LINESTRING (7.7093382 45.1812142, 7.7093273 45.1812421, 7.709312 45.1812591)",roundabout,,,
38317306,True,,Via Papa Giovanni XXIII,unclassified,False,17.547,"LINESTRING (7.709312 45.1812591, 7.7092856 45.1814158)",,,,
38316575,True,SP10,Corso Italia,secondary,False,8.572,"LINESTRING (7.709312 45.1812591, 7.7092642 45.1812837, 7.7092147 45.1812895)",roundabout,,,
38316585,True,SP10,Viale Italia,secondary,False,20.589,"LINESTRING (7.7091418 45.1812682, 7.7088999 45.1813404)",,,,
38316575,True,SP10,Corso Italia,secondary,False,10.655,"LINESTRING (7.7091418 45.1812682, 7.7091104 45.181236, 7.7091027 45.1812076, 7.7091088 45.1811801)",roundabout,,,
38316597,True,SP10,Viale Italia,secondary,False,22.205,"LINESTRING (7.7095774 45.1811072, 7.7093382 45.1812142)",,,,
675472708,False,SP10,Viale Italia,secondary,True,110.973,"LINESTRING (7.7095774 45.1811072, 7.7108737 45.1807058)",,2,,
38316739,False,,Via Carlo Alberto,unclassified,False,67.008,"LINESTRING (7.7151109 45.18021, 7.7152808 45.1808006)",,,,
38316739,False,,Via Carlo Alberto,unclassified,True,67.008,"LINESTRING (7.7152808 45.1808006, 7.7151109 45.18021)",,,,
376254795,False,,Vicolo Mussa,residential,True,95.922,"LINESTRING (7.7152808 45.1808006, 7.7140598 45.1808593)",,,,
38316739,False,,Via Carlo Alberto,unclassified,False,122.354,"LINESTRING (7.7152808 45.1808006, 7.7155243 45.1815442, 7.7155403 45.1816027, 7.7155772 45.1818791)",,,,
38317273,True,,Via G. Cottin,residential,False,45.183,"LINESTRING (7.7156274 45.1821214, 7.716192 45.1820393)",,,,
675472714,False,,Via Carlo Alberto,unclassified,False,73.804,"LINESTRING (7.7156274 45.1821214, 7.7157744 45.182777)",,,,
675472714,False,,Via Carlo Alberto,unclassified,True,27.228,"LINESTRING (7.7156274 45.1821214, 7.7155772 45.1818791)",,,,
38316888,False,,Via Cavour,residential,False,51.944,"LINESTRING (7.7157744 45.182777, 7.7164254 45.1826894)",,,,
38316888,False,,Via Cavour,residential,True,63.137,"LINESTRING (7.7157744 45.182777, 7.7149874 45.1828982)",,,,
675472714,False,,Via Carlo Alberto,unclassified,True,73.804,"LINESTRING (7.7157744 45.182777, 7.7156274 45.1821214)",,,,
675472714,False,,Via Carlo Alberto,unclassified,False,75.45,"LINESTRING (7.7157744 45.182777, 7.7158516 45.1830674, 7.7158833 45.1832731, 7.7159361 45.1834453)",,,,
38319148,True,,Via Carlo Alberto,unclassified,False,50.994,"LINESTRING (7.7159361 45.1834453, 7.7160748 45.1834546, 7.7162734 45.183466, 7.7164575 45.1834894, 7.7165817 45.1834993)",,,,
675472714,False,,Via Carlo Alberto,unclassified,True,75.45,"LINESTRING (7.7159361 45.1834453, 7.7158833 45.1832731, 7.7158516 45.1830674, 7.7157744 45.182777)",,,,
"[745213729, 745213730, 903812409]",False,,Via Don Sasso,residential,"[False, True]",104.428,"LINESTRING (7.7159361 45.1834453, 7.7158672 45.1835106, 7.715841 45.1835681, 7.7158301 45.1836603, 7.7158168 45.1837038, 7.7158087 45.1838002, 7.7156639 45.1838187, 7.7157041 45.1839359, 7.7159388 45.1839047, 7.7161816 45.1839047)",,,,
38319148,True,,Via Carlo Alberto,unclassified,False,11.317,"LINESTRING (7.7165817 45.1834993, 7.7167261 45.1834997)",,,,
38316996,True,,Piazza Ferrero,residential,False,94.043,"LINESTRING (7.7167261 45.1834997, 7.7167912 45.1843442)",,,,
376386462,True,,Via Vittorio Ferrero,residential,False,93.133,"LINESTRING (7.7167261 45.1834997, 7.7164254 45.1826894)",,,,
38319148,True,,Via Carlo Alberto,unclassified,False,56.852999999999994,"LINESTRING (7.7167261 45.1834997, 7.7169605 45.1834709, 7.7171713 45.1834471, 7.7174405 45.1834112)",,,,
38316749,True,,Via Carlo Alberto,unclassified,False,26.166000000000004,"LINESTRING (7.7174405 45.1834112, 7.7174759 45.1834864, 7.7175414 45.1836355)",,,,
38316951,True,,Via Ricciolio Luigi,residential,False,108.74300000000001,"LINESTRING (7.7174405 45.1834112, 7.7176327 45.1833584, 7.7176802 45.1833192, 7.7176299 45.1832014, 7.7173761 45.1825682)",,,,
38317040,False,,Via Carlo Gremo,residential,False,104.291,"LINESTRING (7.7175414 45.1836355, 7.7187901 45.1833114)",,,,
38316749,True,,Via Carlo Alberto,unclassified,False,70.387,"LINESTRING (7.7175414 45.1836355, 7.717598 45.1837926, 7.7176375 45.1839449, 7.7177022 45.1841542, 7.717713 45.1842558)",,,,
48932632,True,,Via Carlo Alberto,unclassified,False,65.38499999999999,"LINESTRING (7.717713 45.1842558, 7.7176924 45.1843527, 7.7176369 45.1845056, 7.7176205 45.1846146, 7.7176266 45.184687, 7.7176636 45.1848348)",,,,
48932632,True,,Via Carlo Alberto,unclassified,False,17.159,"LINESTRING (7.7176636 45.1848348, 7.7176604 45.1848928, 7.7176689 45.1849457, 7.7176801 45.184988)",,,,
1257604894,True,,,residential,False,14.257,"LINESTRING (7.7176636 45.1848348, 7.7177145 45.1848785, 7.7177448 45.1849057, 7.7177555 45.1849225, 7.7177592 45.184941)",,,,
"[288790634, 38317159]",True,,Via Giacomo Matteotti,residential,False,152.59099999999998,"LINESTRING (7.7176801 45.184988, 7.7176101 45.184994, 7.717157 45.1850114, 7.7167892 45.1850269, 7.7164552 45.1850561, 7.7159248 45.1851579, 7.7158355 45.1851666, 7.715758 45.1851718)",,,,
1257604895,False,,Via Volpiano,residential,False,4.037,"LINESTRING (7.7176801 45.184988, 7.7177009 45.1849812, 7.7177252 45.1849706)",,,,
38316756,True,,Via Urio Reami,residential,False,110.85,"LINESTRING (7.7191642 45.1879686, 7.7177536 45.1878949)",,,,
