osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,tunnel
1121166946,Via Alcide De Gasperi,residential,50,5,False,False,33.233,,"LINESTRING (16.9179296 41.060937, 16.9183245 41.0609628)",
27207696,Via Petrarca,residential,50,4,True,False,41.562,,"LINESTRING (16.9250607 41.0649856, 16.9253223 41.0646681)",
103422464,Piazza Vittorio Veneto,residential,50,4,True,False,57.473,3,"LINESTRING (16.9250607 41.0649856, 16.9247672 41.0654527)",
1121166944,Via Virgilio,tertiary,50,5,False,False,11.531,,"LINESTRING (16.9270901 41.0626289, 16.927208 41.0626823)",
1121166944,Via Virgilio,tertiary,50,5,False,True,57.227,,"LINESTRING (16.9270901 41.0626289, 16.9265109 41.0623566)",
103424044,Via Virgilio,tertiary,50,5,False,True,108.841,,"LINESTRING (16.9261403 41.0621478, 16.9250488 41.0616179)",
1121166943,Via Cesare Battisti,tertiary,,,True,False,23.73,,"LINESTRING (16.9261403 41.0621478, 16.9263627 41.0620158)",
1121166944,Via Virgilio,tertiary,50,5,False,False,38.788,,"LINESTRING (16.9261403 41.0621478, 16.9265109 41.0623566)",
104368939,Via Sebastiano,residential,,3,False,False,92.083,,"LINESTRING (16.9273108 41.06153, 16.9264145 41.0610514)",
1121166943,Via Cesare Battisti,tertiary,,,True,False,12.081,,"LINESTRING (16.9273108 41.06153, 16.9274346 41.0614744)",
27207667,Corso Vittorio Emanuele II,tertiary,50,6,False,False,58.585,,"LINESTRING (16.9191059 41.0645992, 16.9197451 41.0648121)",
27207667,Corso Vittorio Emanuele II,tertiary,50,6,False,True,50.703,,"LINESTRING (16.9191059 41.0645992, 16.9185481 41.064423)",
29190655,Via Duca degli Abruzzi,residential,,,True,False,22.603,,"LINESTRING (16.9191059 41.0645992, 16.9191996 41.0644086)",
29190655,Via Duca degli Abruzzi,residential,,,True,False,72.089,,"LINESTRING (16.9179216 41.0666875, 16.9182553 41.06609)",
297208653,Via Rocco Dicillo,residential,,4,False,True,59.023,,"LINESTRING (16.9179216 41.0666875, 16.918565 41.066903)",
27376162,Via Belfante,residential,,,True,False,35.355,,"LINESTRING (16.9182569 41.0649634, 16.9180947 41.0652569)",
27376164,Via Enrico Millo,unclassified,,,False,False,49.257,,"LINESTRING (16.9182569 41.0649634, 16.9187922 41.065146)",
27376164,Via Enrico Millo,unclassified,,,False,False,60.091,,"LINESTRING (16.9187922 41.065146, 16.9194502 41.0653603)",
27376164,Via Enrico Millo,unclassified,,,False,True,49.257,,"LINESTRING (16.9187922 41.065146, 16.9182569 41.0649634)",
29190655,Via Duca degli Abruzzi,residential,,,True,False,24.133,,"LINESTRING (16.9187922 41.065146, 16.9189095 41.0649478)",
27207667,Corso Vittorio Emanuele II,tertiary,50,6,False,False,21.091,,"LINESTRING (16.9197451 41.0648121, 16.9199803 41.0648794)",
27207667,Corso Vittorio Emanuele II,tertiary,50,6,False,True,58.585,,"LINESTRING (16.9197451 41.0648121, 16.9191059 41.0645992)",
27523134,Via Vomero,residential,,,True,False,39.796,,"LINESTRING (16.9197451 41.0648121, 16.9195685 41.0651443)",
29314458,Via Rocco Dicillo,residential,,4,False,True,74.443,,"LINESTRING (16.918565 41.066903, 16.9193789 41.0671707)",
297208653,Via Rocco Dicillo,residential,,4,False,False,59.023,,"LINESTRING (16.918565 41.066903, 16.9179216 41.0666875)",
297208654,Via Vomero,residential,,,False,False,61.846,,"LINESTRING (16.918565 41.066903, 16.9182667 41.0674117)",
29190655,Via Duca degli Abruzzi,residential,,,True,False,41.08,,"LINESTRING (16.9182553 41.06609, 16.9184513 41.0657514)",
103293069,Via Armando Diaz,residential,,,True,False,47.924,,"LINESTRING (16.9182553 41.06609, 16.9177291 41.0659216)",
