osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,tunnel,maxspeed,bridge,junction
24385113,False,Estramurale Flavio Gioia,unclassified,False,20.069,"LINESTRING (16.5447287 41.1276936, 16.5448979 41.1278214)",,,,,,
24824410,False,Via Giuseppe Mazzini,unclassified,True,25.186,"LINESTRING (16.5447287 41.1276936, 16.5445279 41.1278622)",,,,,,
24825479,True,Via Giuseppe Mazzini,unclassified,False,34.216,"LINESTRING (16.5447287 41.1276936, 16.5448266 41.1276181, 16.5450103 41.1274707)",,,,,,
24383840,False,Strada Provinciale Terlizzi - Molfetta,secondary,False,26.936,"LINESTRING (16.5435026 41.1340152, 16.5436337 41.1342364)",SP112,,,,,
147095846,False,Via Armando Diaz,tertiary,False,15.619,"LINESTRING (16.5435026 41.1340152, 16.5434336 41.1338847)",,,,,,
24409711,True,Viale Italia,secondary,False,95.669,"LINESTRING (16.5435026 41.1340152, 16.543422 41.1340557, 16.5424861 41.1341144, 16.5423801 41.1341204)",,,,,,
693304735,False,Viale Pacecco,secondary,True,142.565,"LINESTRING (16.5435026 41.1340152, 16.5436071 41.1340062, 16.5444057 41.1339669, 16.5452023 41.1339535)",,2,,,,
147095846,False,Via Armando Diaz,tertiary,True,38.017,"LINESTRING (16.5424805 41.1321932, 16.5426607 41.132507)",,,,,,
147095846,False,Via Armando Diaz,tertiary,False,43.45,"LINESTRING (16.5424805 41.1321932, 16.5423928 41.1320222, 16.542354 41.1319464, 16.5422589 41.1318425)",,,,,,
147095846,False,Via Armando Diaz,tertiary,False,11.286,"LINESTRING (16.5422589 41.1318425, 16.5422673 41.1317412)",,,,,,
147095846,False,Via Armando Diaz,tertiary,True,43.45,"LINESTRING (16.5422589 41.1318425, 16.542354 41.1319464, 16.5423928 41.1320222, 16.5424805 41.1321932)",,,,,,
24397794,False,Corso Giuseppe Garibaldi,tertiary,True,25.164,"LINESTRING (16.5420817 41.1310153, 16.5419614 41.1309857, 16.5417947 41.1309484)",,,,,,
24616170,False,Piazza IV Novembre,unclassified,True,63.687000000000005,"LINESTRING (16.5420817 41.1310153, 16.5421474 41.1309333, 16.5421852 41.130886, 16.5424543 41.1305492, 16.5424732 41.1305243)",,,,,,
"[1052464138, 1052464139]",False,"['Corso Giuseppe Garibaldi', 'Via Armando Diaz']",tertiary,True,28.580000000000002,"LINESTRING (16.5420817 41.1310153, 16.5423543 41.1310828, 16.5423393 41.1311221)",,,,,,
24397794,False,Corso Giuseppe Garibaldi,tertiary,False,33.434,"LINESTRING (16.540481 41.1306067, 16.5408589 41.1307036)",,,,,,
27265181,False,Vico V Garibaldi,residential,False,39.95,"LINESTRING (16.540481 41.1306067, 16.5403016 41.1309396)",,,,,,
24397794,False,Corso Giuseppe Garibaldi,tertiary,True,43.694,"LINESTRING (16.540481 41.1306067, 16.5404688 41.130491, 16.5403507 41.1302288)",,,,,,
27861612,False,Via Giovanni Bovio,tertiary,False,24.707,"LINESTRING (16.540481 41.1306067, 16.5403478 41.1305707, 16.5402037 41.1305309)",,,,,,
24397790,False,Corso Dante,tertiary,True,36.488,"LINESTRING (16.5406416 41.1288875, 16.5408734 41.1288115, 16.5410368 41.1287497)",,,,,,
