osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access,width,ref,junction
168649412,2,Viale Santa Chiara,secondary,False,False,259.441,"LINESTRING (9.6535762 39.9296783, 9.6541654 39.930016, 9.6544071 39.9301201, 9.6547679 39.9302191, 9.6560358 39.9302318, 9.656414 39.9302175)",,,,,
27588139,2,Via Giuseppe Garibaldi,tertiary,False,True,71.176,"LINESTRING (9.6555938 39.9245638, 9.655614 39.9246491, 9.6556739 39.9249203, 9.6557291 39.9251954)",50,yes,,,
119431321,2,Via Foddeddu,tertiary,False,True,53.537,"LINESTRING (9.6555938 39.9245638, 9.6558526 39.9245334, 9.6562177 39.9245136)",50,yes,6,,
826148793,2,Via della Lavandaia,secondary,False,True,100.10999999999999,"LINESTRING (9.6555938 39.9245638, 9.6555018 39.9245711, 9.6552587 39.9245597, 9.654435 39.9244418)",,,,,
826148799,2,Viale Virgilio Pirastu,primary,False,True,19.735,"LINESTRING (9.6552463 39.9266033, 9.6550283 39.9265437)",50,,,SS125dir,
64400320,,Via Lanusei,residential,False,True,100.60900000000001,"LINESTRING (9.6552463 39.9266033, 9.6552656 39.9265134, 9.655065 39.9261523, 9.6548157 39.925777)",50,yes,,,
64656725,,Piazza Fra Locci,residential,False,True,29.73,"LINESTRING (9.6552463 39.9266033, 9.6553548 39.9267529, 9.6554166 39.9268366)",50,,,,
"[64656739, 64656733]",2,Corso Umberto,primary,False,False,72.148,"LINESTRING (9.6552463 39.9266033, 9.6554055 39.9265996, 9.655455 39.9265985, 9.6560338 39.9265852, 9.656092 39.9265866)",50,,,SS125dir,
60799088,2,Corso Umberto,primary,False,False,10.345,"LINESTRING (9.6574842 39.9264803, 9.6576001 39.9264528)",,,,SS125dir,
27588599,2,Via Vittorio Emanuele II,tertiary,True,False,87.103,"LINESTRING (9.6574842 39.9264803, 9.6578351 39.9268477, 9.6579818 39.9270672, 9.658035 39.9271375)",50,yes,,,
64656739,2,Corso Umberto,primary,False,True,32.41,"LINESTRING (9.6574842 39.9264803, 9.65737 39.9265026, 9.6572731 39.9265175, 9.6571129 39.9265422)",50,,,SS125dir,
