osmid,oneway,lanes,highway,reversed,length,name,geometry,junction,bridge,maxspeed
126209735,False,3,tertiary,True,40.955,,"LINESTRING (11.2161413 45.1894575, 11.2156848 45.1892782)",,,
351440030,False,2,primary,False,9.493,Via Vittorio Veneto,"LINESTRING (11.2161413 45.1894575, 11.2162492 45.1894187)",,,
126447023,False,2,primary,True,81.628,Via Vittorio Veneto,"LINESTRING (11.2161413 45.1894575, 11.2159523 45.1895741, 11.2153869 45.1899634)",,,
4993878,True,1,unclassified,False,5.805,Via Gandhi,"LINESTRING (11.2115142 45.1892823, 11.211456 45.18925)",roundabout,,
222987428,False,2,unclassified,True,167.351,Via Menago,"LINESTRING (11.2115142 45.1892823, 11.2115263 45.1893461, 11.2115277 45.1894154, 11.2115055 45.1895797, 11.2114725 45.1898249, 11.2113256 45.1902423, 11.2112126 45.1904322, 11.2110451 45.1906168, 11.2109934 45.1906754, 11.2109665 45.1907059)",,,
4993878,True,1,unclassified,False,10.559000000000001,Via Gandhi,"LINESTRING (11.2115376 45.1891584, 11.2115704 45.1891684, 11.2115946 45.1891829, 11.2116192 45.189227)",roundabout,,
4993878,True,1,unclassified,False,10.928,Via Gandhi,"LINESTRING (11.2116192 45.189227, 11.2115899 45.1892611, 11.2115549 45.1892767, 11.2115142 45.1892823)",roundabout,,
"[241978896, 126071129, 241978895]",False,,residential,False,48.799,Via Gandhi,"LINESTRING (11.2116192 45.189227, 11.2116673 45.1892351, 11.2118292 45.1892776, 11.2119359 45.1893057, 11.2122031 45.1893787)",,yes,
106971084,True,,secondary,False,66.32900000000001,Via Paride,"LINESTRING (11.2114453 45.1935688, 11.2113829 45.1936829, 11.2112901 45.193756, 11.210931 45.1940343)",,,30
"[126447000, 306229473, 126447022]",False,2,primary,"[False, True]",109.545,"['Via Venticinque Aprile', 'Via Roma']","LINESTRING (11.2114453 45.1935688, 11.2113517 45.1935595, 11.2112869 45.1935494, 11.2111849 45.1935308, 11.2111417 45.1935172, 11.2108956 45.193414, 11.2102281 45.1931058)",,,
"[306229474, 306229475]",False,2,primary,False,27.494999999999997,Via Venticinque Aprile,"LINESTRING (11.2114453 45.1935688, 11.2114993 45.1935671, 11.2116026 45.1935409, 11.2116626 45.1935248, 11.2117094 45.1935045, 11.211767 45.1934792)",,,
