osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,maxspeed,bridge
524700616,2,SS78,Via Antonio Migliorati,primary,False,True,9.345,"LINESTRING (13.3559054 42.9798578, 13.3559251 42.9799406)",,,
1239037828,2,SS78,Via Antonio Migliorati,primary,False,False,28.489,"LINESTRING (13.3559054 42.9798578, 13.355851 42.9796047)",,,
524700614,,,,residential,False,False,53.88999999999999,"LINESTRING (13.3559054 42.9798578, 13.3560075 42.9798635, 13.356096 42.9798498, 13.3561403 42.9798223, 13.3561738 42.9797654, 13.3561684 42.9796909, 13.3561349 42.9796291, 13.3561161 42.9795937, 13.3561255 42.9795515, 13.3561426 42.9795396)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,False,93.242,"LINESTRING (13.3529433 42.9780826, 13.352055 42.9775527)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,True,255.464,"LINESTRING (13.3529433 42.9780826, 13.3529688 42.9780979, 13.3535305 42.978434, 13.3538051 42.9785901, 13.3541838 42.9786308, 13.3552336 42.9787452, 13.3555663 42.9788327, 13.3556539 42.9789016, 13.3557009 42.9789724)",,,
230571964,,,,residential,False,False,312.593,"LINESTRING (13.3529433 42.9780826, 13.3527239 42.9780527, 13.3524278 42.9779969, 13.3523512 42.9780034, 13.3520463 42.9778411, 13.3517739 42.9776901, 13.3514103 42.9774734, 13.3512227 42.977334, 13.3510819 42.9771667, 13.350821 42.9767248, 13.350604 42.9764609, 13.3505629 42.9763815, 13.3505935 42.9763351, 13.3506588 42.9762919, 13.3507304 42.9762987, 13.3508164 42.9763086)",,,
435148410,2,SS78,Via Cesare Battisti,primary,False,False,10.575,"LINESTRING (13.3509399 42.9761835, 13.3509671 42.9760905)",,,
190337651,,,Via Pignotto,residential,False,True,156.821,"LINESTRING (13.3509399 42.9761835, 13.3510847 42.976219, 13.3523614 42.9769496, 13.3524986 42.9770009)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,True,182.847,"LINESTRING (13.3509399 42.9761835, 13.3512401 42.976847, 13.3513917 42.9771184, 13.3516104 42.9772853, 13.352055 42.9775527)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,False,44.465999999999994,"LINESTRING (13.3515841 42.9783254, 13.3516932 42.9785272, 13.351773 42.9786146, 13.3518518 42.9786668)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,True,118.70500000000001,"LINESTRING (13.3515841 42.9783254, 13.3514436 42.9781902, 13.3512658 42.9781262, 13.3508403 42.9780004, 13.3507155 42.9779356, 13.3506187 42.9778618, 13.350505 42.9777552, 13.3504614 42.9776957)",,,
610319717,,,,residential,False,False,68.89699999999999,"LINESTRING (13.3515841 42.9783254, 13.3514383 42.9783849, 13.3513793 42.9783908, 13.3513217 42.9783849, 13.3508456 42.9781661)",,,
1162756867,,,,residential,False,True,18.059,"LINESTRING (13.3557009 42.9789724, 13.3559228 42.9789769)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,False,255.464,"LINESTRING (13.3557009 42.9789724, 13.3556539 42.9789016, 13.3555663 42.9788327, 13.3552336 42.9787452, 13.3541838 42.9786308, 13.3538051 42.9785901, 13.3535305 42.978434, 13.3529688 42.9780979, 13.3529433 42.9780826)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,True,71.392,"LINESTRING (13.3557009 42.9789724, 13.355733 42.9790819, 13.3557906 42.9792964, 13.355851 42.9796047)",,,
29469996,,,Piazzale Garibaldi,tertiary,False,True,37.45,"LINESTRING (13.3560177 42.9808018, 13.3560544 42.9808782, 13.3560719 42.9809506, 13.3560902 42.9811324)",,,
"[1162756859, 1162756860, 524700621]","['1', '2']",SS78,"['Piazza Risorgimento', 'Strada Statale 78 Picena', 'Piazzale Garibaldi']",primary,False,False,32.696,"LINESTRING (13.3560177 42.9808018, 13.3560518 42.9807432, 13.356072 42.9806802, 13.3560832 42.9806343, 13.3560573 42.9805168)",building_passage,,
"[1162756859, 609338327]",2,SS78,"['Via Guglielmo Marconi', 'Piazzale Garibaldi']",primary,False,True,83.049,"LINESTRING (13.3560177 42.9808018, 13.355916 42.9808489, 13.3558061 42.9808584, 13.3557117 42.980835, 13.3556434 42.9807742, 13.3556142 42.9807121, 13.3554793 42.9803653)",,,
29469996,,,Piazzale Garibaldi,tertiary,False,False,51.482,"LINESTRING (13.3561746 42.9815885, 13.3561295 42.9814814, 13.3561009 42.98136, 13.3560902 42.9811324)",,,
112597689,,,,residential,False,True,297.11000000000007,"LINESTRING (13.3561746 42.9815885, 13.3563067 42.9817989, 13.3564658 42.981935, 13.3566088 42.9820147, 13.3567598 42.9820371, 13.3568939 42.9820365, 13.358215 42.981642, 13.3589122 42.9814589, 13.3591937 42.9814458, 13.3593513 42.9814987)",,,
"[1162756861, 112597726]",,SP196,"['Strada Provinciale 196 Callugo', 'Via Bora']",tertiary,False,True,409.894,"LINESTRING (13.3561746 42.9815885, 13.3561268 42.9816837, 13.3561389 42.9817591, 13.3562065 42.9818495, 13.3564712 42.9821035, 13.3565895 42.9821653, 13.3567454 42.9821957, 13.3570479 42.9822133, 13.3573794 42.982181, 13.3575808 42.9821887, 13.3578099 42.982229, 13.3581204 42.9823119, 13.3583826 42.9823538, 13.3586704 42.9823581, 13.3590816 42.9823477, 13.3592838 42.9823684, 13.3599137 42.9825471, 13.3601193 42.9825822, 13.3602498 42.9825932, 13.3604465 42.9825793, 13.3605654 42.9825832)",,,
524700621,2,SS78,Piazza Risorgimento,primary,False,False,19.783,"LINESTRING (13.3560573 42.9805168, 13.356015 42.9803416)",,,
29470074,,,Piazza Risorgimento,residential,False,False,104.52900000000001,"LINESTRING (13.3560573 42.9805168, 13.3564518 42.9802996, 13.3565419 42.9801743, 13.35649 42.9801592, 13.356124 42.980325, 13.356015 42.9803416)",,,
"[1162756859, 1162756860, 524700621]","['1', '2']",SS78,"['Piazza Risorgimento', 'Strada Statale 78 Picena', 'Piazzale Garibaldi']",primary,False,True,32.696,"LINESTRING (13.3560573 42.9805168, 13.3560832 42.9806343, 13.356072 42.9806802, 13.3560518 42.9807432, 13.3560177 42.9808018)",building_passage,,
524700621,2,SS78,Piazza Risorgimento,primary,False,True,19.783,"LINESTRING (13.356015 42.9803416, 13.3560573 42.9805168)",,,
29470074,,,Piazza Risorgimento,residential,False,True,104.529,"LINESTRING (13.356015 42.9803416, 13.356124 42.980325, 13.35649 42.9801592, 13.3565419 42.9801743, 13.3564518 42.9802996, 13.3560573 42.9805168)",,,
913319329,,,,residential,False,True,14.745000000000001,"LINESTRING (13.356015 42.9803416, 13.3559219 42.9803575, 13.3558385 42.9803718)",,,
"[524700616, 1238238065]",2,SS78,Via Antonio Migliorati,primary,False,False,45.185,"LINESTRING (13.356015 42.9803416, 13.355947 42.9800405, 13.3559251 42.9799406)",,,
230571969,,,Via Damiano Chiesa,residential,True,False,60.385999999999996,"LINESTRING (13.3553976 42.9793252, 13.3555128 42.9793601, 13.3555659 42.9793882, 13.3556099 42.9795547, 13.3556276 42.979612, 13.3556429 42.9796294, 13.3556769 42.9796306, 13.355851 42.9796047)",,20,
"[609338328, 1162756862]",2,SS78,Via Guglielmo Marconi,primary,False,False,116.71999999999998,"LINESTRING (13.3553976 42.9793252, 13.3554295 42.9794407, 13.3554299 42.9795459, 13.3554155 42.9796997, 13.3553946 42.9799234, 13.3553986 42.9800797, 13.3554161 42.9801716, 13.355444 42.9802545, 13.3554605 42.9803064, 13.3554793 42.9803653)",,,
