osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,lanes,tunnel,junction
26814687,Via Roma,unclassified,False,False,2.462,,,"LINESTRING (11.2244778 44.4914032, 11.2244475 44.4913984)",,,,
79982521,Via Risorgimento,secondary,False,True,102.648,SP569R,50,"LINESTRING (11.2217583 44.4905836, 11.2219253 44.490517, 11.2219852 44.490494, 11.2220599 44.4904653, 11.2223826 44.4902774, 11.2223918 44.4902721, 11.2225291 44.4901921, 11.2226107 44.4901453, 11.2228019 44.4900424)",,,,
"[107202425, 1122798874, 35028723]",Via Risorgimento,secondary,False,False,119.12699999999998,SP569R,50,"LINESTRING (11.2217583 44.4905836, 11.2215714 44.4906228, 11.2213505 44.4906601, 11.2208561 44.4907239, 11.220696 44.4907445, 11.2202844 44.4907816)",yes,2,,
35028723,Via Risorgimento,secondary,False,False,82.85499999999999,SP569R,50,"LINESTRING (11.213428 44.4928029, 11.2129426 44.4929564, 11.2124769 44.4931109)",,,,
35028723,Via Risorgimento,secondary,False,True,86.802,SP569R,50,"LINESTRING (11.213428 44.4928029, 11.2136222 44.4927523, 11.2139001 44.4926798, 11.2143499 44.4925692, 11.2144606 44.4925447)",,,,
79982521,Via Risorgimento,secondary,False,False,15.184,SP569R,50,"LINESTRING (11.2241526 44.4892566, 11.2240038 44.4893425)",,,,
107190625,Via Predosa,unclassified,True,False,12.692,,,"LINESTRING (11.217829 44.4900944, 11.2177472 44.4899963)",,,,
681279991,Viale della Pace,unclassified,True,False,60.429,,,"LINESTRING (11.2168806 44.4871896, 11.2176344 44.4871112)",,,,
129289490,Via Predosa,unclassified,False,False,94.97599999999998,,,"LINESTRING (11.2168806 44.4871896, 11.216818 44.486976, 11.2167573 44.4868583, 11.2167051 44.4867537, 11.2166384 44.4866713, 11.2165559 44.4865917, 11.2164685 44.4865155, 11.2163568 44.4864443)",,,,
129289490,Via Predosa,unclassified,False,True,153.583,,,"LINESTRING (11.2148259 44.4855988, 11.2163568 44.4864443)",,,,
129289490,Via Predosa,unclassified,False,False,153.583,,,"LINESTRING (11.2163568 44.4864443, 11.2148259 44.4855988)",,,,
107190906,Via Primo Cassola,residential,False,False,182.09699999999998,,,"LINESTRING (11.2163568 44.4864443, 11.2172088 44.4858254, 11.2176019 44.4855484, 11.2177973 44.4854099, 11.2179725 44.4852811)",,,,
129289490,Via Predosa,unclassified,False,True,94.97600000000001,,,"LINESTRING (11.2163568 44.4864443, 11.2164685 44.4865155, 11.2165559 44.4865917, 11.2166384 44.4866713, 11.2167051 44.4867537, 11.2167573 44.4868583, 11.216818 44.486976, 11.2168806 44.4871896)",,,,
107530087,Via Alba Maldini,residential,False,False,103.096,,,"LINESTRING (11.2179725 44.4852811, 11.2191086 44.4857313)",,,,
107190906,Via Primo Cassola,residential,False,True,182.097,,,"LINESTRING (11.2179725 44.4852811, 11.2177973 44.4854099, 11.2176019 44.4855484, 11.2172088 44.4858254, 11.2163568 44.4864443)",,,,
107190625,Via Predosa,unclassified,True,False,74.978,,,"LINESTRING (11.2186756 44.4911347, 11.2182107 44.4905476)",,,,
35028723,Via Risorgimento,secondary,False,False,87.649,SP569R,50,"LINESTRING (11.2186756 44.4911347, 11.2185384 44.4911803, 11.2184326 44.4912295, 11.2180963 44.4913967, 11.2178681 44.4915101, 11.2177538 44.4915669)",,,,
35028723,Via Risorgimento,secondary,False,True,80.272,SP569R,50,"LINESTRING (11.2186756 44.4911347, 11.2188854 44.4910789, 11.2190313 44.4910401, 11.2190739 44.4910287, 11.2196237 44.4908823)",,,,
129289058,Via del Rinascimento,residential,True,False,151.997,,,"LINESTRING (11.2174731 44.4896412, 11.2155909 44.4898974)",,,,
107190625,Via Predosa,unclassified,True,False,71.67099999999999,,,"LINESTRING (11.2174731 44.4896412, 11.2173878 44.4894201, 11.2172697 44.4890135)",,,,
35028723,Via Risorgimento,secondary,False,True,17.142,SP569R,50,"LINESTRING (11.2196237 44.4908823, 11.2198327 44.4908431)",,,,
35028723,Via Risorgimento,secondary,False,False,80.272,SP569R,50,"LINESTRING (11.2196237 44.4908823, 11.2190739 44.4910287, 11.2190313 44.4910401, 11.2188854 44.4910789, 11.2186756 44.4911347)",,,,
35028723,Via Risorgimento,secondary,False,False,9.182,SP569R,50,"LINESTRING (11.2124769 44.4931109, 11.212373 44.4931473)",,,,
35028723,Via Risorgimento,secondary,False,True,82.85499999999999,SP569R,50,"LINESTRING (11.2124769 44.4931109, 11.2129426 44.4929564, 11.213428 44.4928029)",,,,
36774782,Via A. Masini,unclassified,True,False,97.772,,30,"LINESTRING (11.2124769 44.4931109, 11.212548 44.4931963, 11.2129994 44.4937577, 11.2130378 44.4938055, 11.213097 44.4938707)",,,,
107530087,Via Alba Maldini,residential,False,True,103.096,,,"LINESTRING (11.2191086 44.4857313, 11.2179725 44.4852811)",,,,
"[129289913, 129289911]","['Via Colle Verde', 'Via Dante']",residential,False,False,201.364,,,"LINESTRING (11.2191086 44.4857313, 11.2191267 44.4858585, 11.2191295 44.485931, 11.2191184 44.4860041, 11.2190944 44.486047, 11.2190693 44.4860752, 11.2190349 44.4861067, 11.2189921 44.4861413, 11.2188108 44.4862653, 11.2181935 44.4866877, 11.2179401 44.4868706, 11.2179035 44.486897, 11.2176344 44.4871112)",,,,
