osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,maxspeed,tunnel
58680130,2,Via Sant'Ambrogio,unclassified,False,False,29.278,"LINESTRING (8.9492926 45.5591959, 8.9490884 45.5589748)",,,
58680130,2,Via Sant'Ambrogio,unclassified,False,True,51.528,"LINESTRING (8.9492926 45.5591959, 8.949656 45.5595832)",,,
58708104,2,Via Cardinale Andrea Carlo Ferrari,residential,False,False,136.361,"LINESTRING (8.9492926 45.5591959, 8.9505105 45.5583146)",,,
58680130,2,Via Sant'Ambrogio,unclassified,False,True,29.278,"LINESTRING (8.9490884 45.5589748, 8.9492926 45.5591959)",,,
541518850,1,Via Sant'Ambrogio,unclassified,True,False,26.3,"LINESTRING (8.9490884 45.5589748, 8.9489927 45.5588987, 8.9488683 45.5587954)",,,
24343189,,Viale Guglielmo Marconi,unclassified,False,False,82.687,"LINESTRING (8.9516911 45.5610144, 8.9524264 45.561551)",,,
24343189,,Viale Guglielmo Marconi,unclassified,False,True,78.14,"LINESTRING (8.9516911 45.5610144, 8.9516646 45.5609949, 8.9509991 45.5605054)",,,
24394572,,Via Amerigo Vespucci,residential,False,True,97.161,"LINESTRING (8.9516911 45.5610144, 8.952403 45.5604929, 8.9524681 45.5604286, 8.9525005 45.5603586)",,,
58708108,,Via Don Giovanni Spagliardi,unclassified,True,False,83.005,"LINESTRING (8.951263 45.5598939, 8.9502078 45.5597872)",,,
58708100,,Via Don Giovanni Spagliardi,unclassified,False,False,41.043,"LINESTRING (8.951263 45.5598939, 8.9512973 45.5599487, 8.9513446 45.5602562)",,,
58708100,,Via Don Giovanni Spagliardi,unclassified,False,True,169.28199999999998,"LINESTRING (8.951263 45.5598939, 8.9515588 45.5589793, 8.9516367 45.5587384, 8.9516888 45.5585775, 8.9517275 45.5584578, 8.9517432 45.5584091)",,,
58695174,,Via del Monastero,unclassified,False,False,148.856,"LINESTRING (8.9521643 45.5570618, 8.9540483 45.5572896)",,,
58695175,,Piazza della Vittoria,unclassified,True,False,11.947,"LINESTRING (8.9521643 45.5570618, 8.9521417 45.5570291, 8.9521093 45.557001, 8.9520768 45.5569744)",,,
58708100,,Via Don Giovanni Spagliardi,unclassified,False,False,72.575,"LINESTRING (8.9521643 45.5570618, 8.9521376 45.5571896, 8.9521153 45.5572586, 8.9520183 45.5575585, 8.9519825 45.5576693, 8.9519725 45.5577002)",,,
58708124,2,Via San Michele,unclassified,False,False,73.277,"LINESTRING (8.9464605 45.5594261, 8.9463454 45.5595197, 8.9459 45.559902, 8.9458619 45.5599346)",,,
"[603979736, 58641908]",,"['Via Brisa', 'Largo San Crispino']",residential,True,False,76.14800000000001,"LINESTRING (8.9464605 45.5594261, 8.9464028 45.55939, 8.9463115 45.5593227, 8.9462608 45.559252, 8.9461957 45.5591297, 8.9461533 45.559037, 8.9461036 45.5589122, 8.9460687 45.5588139)",,,
58641942,1,Via Torre,residential,True,False,71.626,"LINESTRING (8.9458619 45.5599346, 8.9451702 45.5595099)",,,
