osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,maxspeed,bridge
14496443,True,2,SS342,Strada Statale 342 Briantea,primary,False,23.904,,"LINESTRING (8.8719793 45.8015527, 8.8722873 45.8015422)",,
1077718517,True,,,,primary,False,14.93,roundabout,"LINESTRING (8.8719793 45.8015527, 8.8720125 45.801591, 8.8720296 45.8016341, 8.8720293 45.8016789)",,
1064132776,True,,,,primary,False,23.514,roundabout,"LINESTRING (8.8720293 45.8016789, 8.8720066 45.8017293, 8.871962 45.8017721, 8.8719001 45.8018027, 8.8718275 45.8018179)",,
285808520,True,2,SS342,Strada Statale 342 Briantea,primary,False,25.121,,"LINESTRING (8.8722873 45.8015422, 8.8720293 45.8016789)",,
"[140949448, 140949449]",False,2,,Via Varese,primary,True,44.617,,"LINESTRING (8.8722873 45.8015422, 8.8726491 45.8014697, 8.8728377 45.8014252)",50,yes
236021856,False,2,SS342,Via Varese,primary,False,45.498999999999995,,"LINESTRING (8.878115 45.7999681, 8.8779477 45.7996196, 8.8779309 45.7995796)",50,
236021856,False,2,SS342,Via Varese,primary,True,5.319,,"LINESTRING (8.878115 45.7999681, 8.8781201 45.7999804, 8.8781528 45.800007)",50,
343249252,True,,,Via Dante Alighieri,residential,False,73.555,,"LINESTRING (8.878115 45.7999681, 8.8780233 45.8000115, 8.8777001 45.8000655, 8.8775113 45.8000181, 8.8772113 45.8000564)",,
207110100,False,,,,unclassified,True,90.818,,"LINESTRING (8.8835346 45.8041986, 8.8835958 45.8039585, 8.8835529 45.8033864)",,
342972880,False,,SP17,Via Primo Maggio,tertiary,False,141.503,,"LINESTRING (8.8835346 45.8041986, 8.8823653 45.8034698, 8.8821814 45.8033447)",50,
64987933,False,,SP17,Via Primo Maggio,tertiary,False,8.013,,"LINESTRING (8.8821814 45.8033447, 8.8821383 45.8032792)",50,
342972880,False,,SP17,Via Primo Maggio,tertiary,True,141.503,,"LINESTRING (8.8821814 45.8033447, 8.8823653 45.8034698, 8.8835346 45.8041986)",50,
342972888,False,,,,unclassified,True,216.78199999999998,,"LINESTRING (8.8821814 45.8033447, 8.8822467 45.8036471, 8.8822166 45.8036954, 8.8820544 45.803746, 8.8817006 45.8037755, 8.8816537 45.8037597, 8.8813787 45.803667, 8.8813841 45.8033814, 8.881303 45.8032951, 8.881332 45.8032555, 8.8821007 45.8032343)",,
64987933,False,,SP17,Via Primo Maggio,tertiary,True,5.781,,"LINESTRING (8.8821007 45.8032343, 8.8821383 45.8032792)",50,
