osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,access,lanes,width
98959604,Viella Dietro Croce,residential,False,True,74.275,,,"LINESTRING (14.2304294 40.9835246, 14.2313136 40.983499)",,,
99632073,,residential,False,False,35.95,,,"LINESTRING (14.2304294 40.9835246, 14.230428 40.9832013)",,,
132622926,Via Ambrogio Fogar,residential,False,False,66.925,,,"LINESTRING (14.2304294 40.9835246, 14.2296342 40.9835681)",,,
132622926,Via Ambrogio Fogar,residential,False,False,34.261,,,"LINESTRING (14.2296342 40.9835681, 14.2292271 40.9835903)",,,
132622926,Via Ambrogio Fogar,residential,False,True,66.925,,,"LINESTRING (14.2296342 40.9835681, 14.2304294 40.9835246)",,,
132622926,Via Ambrogio Fogar,residential,False,False,4.949,,,"LINESTRING (14.2292271 40.9835903, 14.2291683 40.9835935)",,,
132622926,Via Ambrogio Fogar,residential,False,True,34.261,,,"LINESTRING (14.2292271 40.9835903, 14.2296342 40.9835681)",,,
132622926,Via Ambrogio Fogar,residential,False,False,29.136,,,"LINESTRING (14.2284426 40.9836331, 14.2280964 40.983652)",,,
132622926,Via Ambrogio Fogar,residential,False,True,19.433,,,"LINESTRING (14.2284426 40.9836331, 14.2286735 40.9836205)",,,
125964141,Via Campotonico,residential,True,False,18.632,,,"LINESTRING (14.2288453 40.9778557, 14.2288392 40.9780232)",,,
99631892,Via Cicerone,residential,False,False,92.53,,,"LINESTRING (14.2277615 40.9773374, 14.2288629 40.9773694)",,,
99631906,Via Guglielmo Marconi,residential,False,True,32.468,,,"LINESTRING (14.2277615 40.9773374, 14.2277755 40.9770456)",,,
99631892,Via Cicerone,residential,False,True,92.53,,,"LINESTRING (14.2288629 40.9773694, 14.2277615 40.9773374)",,,
125964141,Via Campotonico,residential,True,False,54.094,,,"LINESTRING (14.2288629 40.9773694, 14.2288453 40.9778557)",,,
99631906,Via Guglielmo Marconi,residential,False,False,32.468,,,"LINESTRING (14.2277755 40.9770456, 14.2277615 40.9773374)",,,
99631906,Via Guglielmo Marconi,residential,False,True,60.374,,,"LINESTRING (14.2277755 40.9770456, 14.2278016 40.976503)",,,
99631894,Via Virgilio,residential,True,False,92.24,,,"LINESTRING (14.2288738 40.9770697, 14.2277755 40.9770456)",,,
125964141,Via Campotonico,residential,True,False,33.338,,,"LINESTRING (14.2288738 40.9770697, 14.2288629 40.9773694)",,,
99631896,Via Giulio Cesare,residential,True,False,90.006,,,"LINESTRING (14.2278016 40.976503, 14.2288729 40.976535)",,,
99631906,Via Guglielmo Marconi,residential,False,False,60.374,,,"LINESTRING (14.2278016 40.976503, 14.2277755 40.9770456)",,,
99631906,Via Guglielmo Marconi,residential,False,True,58.716,,,"LINESTRING (14.2278016 40.976503, 14.227827 40.9759753)",,,
125964141,Via Campotonico,residential,True,False,24.987,,,"LINESTRING (14.2288729 40.976535, 14.2288765 40.9767597)",,,
99631899,Via Diocleziano,residential,False,False,87.145,,,"LINESTRING (14.2288645 40.9760008, 14.227827 40.9759753)",,,
125964141,Via Campotonico,residential,True,False,59.405,,,"LINESTRING (14.2288645 40.9760008, 14.2288729 40.976535)",,,
132636244,Via Campotonico,residential,False,False,4.837,,,"LINESTRING (14.2288645 40.9760008, 14.2288638 40.9759573)",,,
99631899,Via Diocleziano,residential,False,True,87.145,,,"LINESTRING (14.227827 40.9759753, 14.2288645 40.9760008)",,,
99631906,Via Guglielmo Marconi,residential,False,False,58.716,,,"LINESTRING (14.227827 40.9759753, 14.2278016 40.976503)",,,
125964141,Via Campotonico,residential,True,False,8.925,,,"LINESTRING (14.2288469 40.9789166, 14.2288615 40.9789961)",,,
125959756,Via Orazio,residential,False,True,158.585,,,"LINESTRING (14.2288392 40.9783334, 14.2307283 40.9783336)",,,
