osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,bridge,junction,access
175269659,True,1,SP233,Via Bruno Passerini,primary,50,False,66.52499999999999,"LINESTRING (8.9000009 45.7121338, 8.8999426 45.71233, 8.8998783 45.7125138, 8.8998602 45.7125655, 8.8998545 45.7126592, 8.8998798 45.7127183)",,,,
301549996,False,2,SP233,Via Bruno Passerini,primary,50,True,89.6,"LINESTRING (8.9000009 45.7121338, 8.9003015 45.7114899, 8.9003586 45.7113677)",,,,
25575322,True,,,Via Goffredo Mameli,unclassified,,False,113.449,"LINESTRING (8.9084763 45.7146825, 8.9074869 45.7139317)",,,,
25575323,False,,,Via Zara,tertiary,,False,158.08999999999997,"LINESTRING (8.9084763 45.7146825, 8.9086871 45.7144072, 8.9089958 45.7137308, 8.9091621 45.7133484)",,,,
1028401924,False,,,Via Zara,tertiary,,True,31.871000000000002,"LINESTRING (8.9084763 45.7146825, 8.9083445 45.7148074, 8.9082329 45.7149133)",,,,
26353590,True,,,Via Crocefisso,unclassified,,False,31.033,"LINESTRING (8.9050178 45.7121998, 8.9052779 45.7119879)",,,,
33638182,False,,,Via Crocefisso,unclassified,,True,67.678,"LINESTRING (8.9050178 45.7121998, 8.9043992 45.7126286)",,,,
25575496,False,,,Via Gian Luigi Zucchi,unclassified,,False,175.06,"LINESTRING (8.9054625 45.7117581, 8.905555 45.7117632, 8.9055981 45.7117427, 8.905673 45.7116826, 8.9059516 45.711465, 8.9064062 45.7111071, 8.9068586 45.7107591, 8.9070039 45.7106443)",,,,
"[26353592, 23044875, 33466838]",False,,,Via Piave,unclassified,,"[False, True]",159.67899999999997,"LINESTRING (8.9054625 45.7117581, 8.9053542 45.7116911, 8.904633 45.7111532, 8.9044757 45.7110323, 8.9042518 45.7108683, 8.9042111 45.7108244, 8.9041892 45.710772, 8.9041815 45.710722, 8.9041845 45.710671)",yes,,,
310692603,False,,,Via Barbara Melzi,tertiary,,True,25.577,"LINESTRING (8.9061188 45.7171812, 8.9062729 45.7169779)",,,,
1028401920,False,,,Via Giosuè Carducci,tertiary,,False,55.552,"LINESTRING (8.9061188 45.7171812, 8.9057305 45.7174367, 8.9055832 45.7175113)",,,,
28450009,False,,,Via Giosuè Carducci,tertiary,,False,213.448,"LINESTRING (8.9055832 45.7175113, 8.9054219 45.7175621, 8.9044028 45.7178905, 8.9041185 45.7179651, 8.903819 45.7180266, 8.9035362 45.718074, 8.9032687 45.7181112, 8.9030005 45.7181358)",,,,
383525339,False,,,,unclassified,,True,48.738,"LINESTRING (8.9055832 45.7175113, 8.9055891 45.7175425, 8.905583 45.7175829, 8.9055462 45.7176363, 8.9052931 45.7178873)",,,,
1028401920,False,,,Via Giosuè Carducci,tertiary,,True,55.552,"LINESTRING (8.9055832 45.7175113, 8.9057305 45.7174367, 8.9061188 45.7171812)",,,,
170570088,False,,,Via Francesco Petrarca,residential,,False,211.47,"LINESTRING (8.9027959 45.718087, 8.9042234 45.7164673)",,,,
309479218,False,,,Corso Giacomo Matteotti,tertiary,,False,6.608,"LINESTRING (8.9012077 45.7166377, 8.901124 45.7166485)",,,,
