osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,width,tunnel
847078807,2,Strada Rivalta,tertiary,50,False,True,17.915,"LINESTRING (7.5312357 45.0096244, 7.5311075 45.0097576)",,,,
38663170,,Via Rivoli,tertiary,,True,False,72.095,"LINESTRING (7.5312357 45.0096244, 7.5314678 45.0094951, 7.5319661 45.0092324)",,,,
"[144814018, 38663172]",,Via Montegrappa,tertiary,,True,False,89.156,"LINESTRING (7.5312357 45.0096244, 7.5312044 45.0095916, 7.5309454 45.0093206, 7.5306427 45.0089417)",,,,
39431799,,Strada del Gerbido,unclassified,30,False,True,165.181,"LINESTRING (7.5312357 45.0096244, 7.5312968 45.0097761, 7.5317942 45.0110096, 7.5318004 45.0110249, 7.5318117 45.011053)",,,,
79715938,,Via Frejus,tertiary,50,False,True,136.661,"LINESTRING (7.5328201 45.0066203, 7.5311762 45.0070198)",SP183,,,
79715938,,Via Frejus,tertiary,50,False,False,38.30200000000001,"LINESTRING (7.5328201 45.0066203, 7.533198 45.0064933, 7.5332601 45.0064724)",SP183,,,
"[38716192, 154674313]",,Via della Bassa,residential,,False,False,101.216,"LINESTRING (7.5363192 45.0036043, 7.5364187 45.0035823, 7.5369031 45.0034752, 7.5375479 45.0033326)",,,,
144269999,,Strada Volvera,tertiary,50,False,True,54.679,"LINESTRING (7.5363192 45.0036043, 7.53642 45.0038777, 7.5364424 45.0039786, 7.5364605 45.0040849)",,,,
"[144640480, 144640481, 38716183]",,Via Cavour,unclassified,,True,False,125.056,"LINESTRING (7.5397837 45.010032, 7.5397047 45.0099627, 7.5394449 45.0097475, 7.539136 45.0094859, 7.5387983 45.0091502)",,,,
80718010,,Via Dante Di Nanni,tertiary,,True,False,6.7219999999999995,"LINESTRING (7.5397837 45.010032, 7.5398058 45.0100193, 7.5398319 45.0100111, 7.53986 45.0100079)",,roundabout,,
38663169,,Via Molini,tertiary,,True,False,48.699,"LINESTRING (7.5327915 45.009533, 7.5321729 45.0095563)",,,,
144394425,,Via Circonvallazione Interna,tertiary,,False,True,41.021,"LINESTRING (7.5327915 45.009533, 7.5330735 45.0098434)",,,,
"[144640491, 38838927]",,Via dei Mulini,unclassified,,True,False,98.73400000000001,"LINESTRING (7.5327915 45.009533, 7.5336669 45.0093611, 7.5340142 45.0093553)",,,,
139516257,,Via San Rocco,tertiary,,True,False,13.158,"LINESTRING (7.5411917 45.0057507, 7.5411926 45.0057807, 7.541176 45.0058011, 7.5411535 45.0058124, 7.541129 45.0058167, 7.5410911 45.0058109)",,roundabout,,
38625682,,Strada Volvera,tertiary,50,False,True,6.16,"LINESTRING (7.5364605 45.0040849, 7.5364671 45.0041401)",,,,
"[145419051, 145419054, 39254399]",,Via Parini,residential,,True,False,180.197,"LINESTRING (7.5364605 45.0040849, 7.5364098 45.0040931, 7.5356233 45.0045432, 7.53549 45.0046195, 7.5354067 45.0046723, 7.5347035 45.0051184)",,,,
144269999,,Strada Volvera,tertiary,50,False,False,54.679,"LINESTRING (7.5364605 45.0040849, 7.5364424 45.0039786, 7.53642 45.0038777, 7.5363192 45.0036043)",,,,
145419041,,Strada Piossasco,tertiary,50,False,False,7.157,"LINESTRING (7.5349415 45.0052873, 7.5348774 45.0052416)",,,,
38625684,,Strada Piossasco,tertiary,50,True,False,47.16,"LINESTRING (7.5349415 45.0052873, 7.53505 45.005341, 7.5351766 45.0054443, 7.5353337 45.0056031)",,,,
"[38625689, 38625683]",,"['Via Giovanni Giolitti', 'Via Vittorio Emanuele II']",tertiary,,False,False,128.797,"LINESTRING (7.5353933 45.0056804, 7.5355485 45.0057341, 7.5356645 45.0058011, 7.5357272 45.0058103, 7.5357631 45.0057946, 7.535817 45.0057542, 7.5359345 45.0056389, 7.5360041 45.0055754, 7.5363444 45.005265, 7.5365151 45.0051256)",,,,
80717982,2,,tertiary,,True,False,5.174,"LINESTRING (7.5353933 45.0056804, 7.5353902 45.005706, 7.535381 45.0057258)",,roundabout,,
"[38625689, 38625683]",,"['Via Giovanni Giolitti', 'Via Vittorio Emanuele II']",tertiary,,False,True,128.797,"LINESTRING (7.5365151 45.0051256, 7.5363444 45.005265, 7.5360041 45.0055754, 7.5359345 45.0056389, 7.535817 45.0057542, 7.5357631 45.0057946, 7.5357272 45.0058103, 7.5356645 45.0058011, 7.5355485 45.0057341, 7.5353933 45.0056804)",,,,
39431838,2,,tertiary,,True,False,15.872,"LINESTRING (7.5365151 45.0051256, 7.5364891 45.0051049, 7.5364801 45.0050872, 7.5364791 45.0050672, 7.536489 45.0050456, 7.5365134 45.0050256, 7.5365484 45.0050145)",,roundabout,,
38625685,,Via Castellazzo,tertiary,,False,True,10.545,"LINESTRING (7.5367625 45.0051476, 7.5366426 45.0051051)",,,,
38625685,,Via Castellazzo,tertiary,,False,False,58.434,"LINESTRING (7.5367625 45.0051476, 7.5368623 45.0052091, 7.53697 45.0052714, 7.5371366 45.0053633, 7.5373684 45.0054472)",,,,
38986375,,Via Dante Alighieri,residential,,False,False,150.59,"LINESTRING (7.5367625 45.0051476, 7.5368223 45.0051028, 7.5370076 45.0049638, 7.5380328 45.0041342)",,,,
38625685,,Via Castellazzo,tertiary,,False,True,58.434,"LINESTRING (7.5373684 45.0054472, 7.5371366 45.0053633, 7.53697 45.0052714, 7.5368623 45.0052091, 7.5367625 45.0051476)",,,,
38877245,,Via Fabio Filzi,residential,,True,False,126.499,"LINESTRING (7.5373684 45.0054472, 7.5368947 45.0056623, 7.5364531 45.0058544, 7.5362662 45.0059804, 7.5360808 45.0061185)",,,,
144270010,,Via Castellazzo,tertiary,,False,False,88.792,"LINESTRING (7.5373684 45.0054472, 7.5375117 45.0054817, 7.5376847 45.0055331, 7.537895 45.0056032, 7.5382354 45.0057101, 7.5384103 45.0057536)",,,,
38625687,,Via Trieste,tertiary,,True,False,74.35499999999999,"LINESTRING (7.5384103 45.0057536, 7.5384284 45.0057415, 7.5385206 45.0056802, 7.5386668 45.0056001, 7.5388632 45.0054998, 7.5391491 45.0053727, 7.539174 45.0053617)",,,,
144270010,,Via Castellazzo,tertiary,,False,True,88.792,"LINESTRING (7.5384103 45.0057536, 7.5382354 45.0057101, 7.537895 45.0056032, 7.5376847 45.0055331, 7.5375117 45.0054817, 7.5373684 45.0054472)",,,,
39431790,,Via Castellazzo,residential,30,True,False,22.281,"LINESTRING (7.5390324 45.0058158, 7.5388117 45.0059415)",,,,
144270012,,Via Castellazzo,tertiary,,True,False,22.353,"LINESTRING (7.5390324 45.0058158, 7.5387943 45.0058099, 7.5387485 45.0058064)",,,,
