osmid,oneway,highway,reversed,length,geometry,ref,junction,name,lanes,maxspeed,access
901386797,True,unclassified,False,18.562,"LINESTRING (14.2916954 42.1106485, 14.2916235 42.1106471, 14.2915579 42.1106492, 14.2915091 42.1106545, 14.2914717 42.11066)",,,,,,
901386775,True,primary,False,8.097,"LINESTRING (14.2959067 42.1176363, 14.2959151 42.1176495, 14.2959173 42.117664, 14.2959131 42.1176782, 14.2959029 42.1176906, 14.2958878 42.1176999)",SS84,roundabout,,,,
901386780,True,primary,False,26.634999999999998,"LINESTRING (14.2959067 42.1176363, 14.2959828 42.1176619, 14.2960485 42.1176881, 14.296102 42.1177133, 14.2961426 42.1177375, 14.2961781 42.1177629)",SS84,,Strada Statale 84 Frentana,,,
75920882,False,primary,False,35.284,"LINESTRING (14.2904696 42.1160372, 14.2904806 42.1160657, 14.2905017 42.1160893, 14.2906632 42.1162047, 14.2906964 42.1162315, 14.2907163 42.1162573, 14.2907261 42.1162832)",SS84,,Strada Statale 84 Frentana,,,
75920902,False,unclassified,True,117.22,"LINESTRING (14.2904696 42.1160372, 14.2904205 42.1160343, 14.2903614 42.1160214, 14.2902951 42.1159932, 14.2902428 42.115953, 14.2899774 42.1156807, 14.2897277 42.1153411, 14.2896662 42.1152124)",,,via San Nicola,,,
75920882,False,primary,False,303.73699999999997,"LINESTRING (14.2907261 42.1162832, 14.2907213 42.1163261, 14.290703 42.1163666, 14.2906773 42.1164176, 14.2906781 42.1164649, 14.2907301 42.1165583, 14.2907874 42.116663, 14.2907954 42.1167526, 14.2907839 42.1168504, 14.2907042 42.1170587, 14.2906545 42.1172878, 14.290592 42.1177792, 14.29053 42.1179329, 14.2902995 42.1181772, 14.2899916 42.1185119, 14.2899509 42.1187662, 14.2900152 42.1188304)",SS84,,Strada Statale 84 Frentana,,,
75920882,False,primary,True,35.284,"LINESTRING (14.2907261 42.1162832, 14.2907163 42.1162573, 14.2906964 42.1162315, 14.2906632 42.1162047, 14.2905017 42.1160893, 14.2904806 42.1160657, 14.2904696 42.1160372)",SS84,,Strada Statale 84 Frentana,,,
106639599,False,unclassified,False,37.931,"LINESTRING (14.2907261 42.1162832, 14.2907685 42.1162808, 14.2908108 42.1162833, 14.2908542 42.1162936, 14.29114 42.116415)",,,,,,
901386778,True,primary,False,19.153,"LINESTRING (14.2956654 42.1178078, 14.2957726 42.1176937, 14.2957982 42.1176665)",SS84,,Strada Statale 84 Frentana,,,
901386783,False,primary,True,66.237,"LINESTRING (14.2956654 42.1178078, 14.2956372 42.1178443, 14.2956199 42.1178793, 14.2956147 42.1179157, 14.2956177 42.1179534, 14.2956268 42.117993, 14.2956737 42.1180959, 14.2957043 42.1181934, 14.2957089 42.1182588, 14.2956999 42.1183216, 14.2956767 42.1183837)",SS84,,Strada Statale 84 Frentana,,,
901386774,False,primary,False,47.214999999999996,"LINESTRING (14.2961781 42.1177629, 14.2962107 42.1177939, 14.2962364 42.1178248, 14.2962555 42.1178777, 14.2962561 42.1179362, 14.2962403 42.1179861, 14.2961647 42.118101, 14.2961352 42.1181532)",SS84,,Strada Statale 84 Frentana,2,,
901386781,True,primary,False,25.266,"LINESTRING (14.2961781 42.1177629, 14.2961308 42.1177422, 14.2960766 42.1177243, 14.2960208 42.1177131, 14.2959633 42.1177057, 14.2959343 42.1177035, 14.2958878 42.1176999)",SS84,,Strada Statale 84 Frentana,,,
106639599,False,unclassified,True,37.931,"LINESTRING (14.29114 42.116415, 14.2908542 42.1162936, 14.2908108 42.1162833, 14.2907685 42.1162808, 14.2907261 42.1162832)",,,,,,
1197172673,False,unclassified,False,83.265,"LINESTRING (14.29114 42.116415, 14.2912328 42.117021, 14.291269 42.1171573)",,,,,,
1197172674,True,unclassified,False,236.04,"LINESTRING (14.29114 42.116415, 14.2911328 42.1160728, 14.2912308 42.1156263, 14.2913113 42.1150035, 14.29135 42.1147318, 14.2914776 42.1143131)",,,,,,
901386775,True,primary,False,3.2569999999999997,"LINESTRING (14.2957982 42.1176665, 14.2957993 42.1176519, 14.2958067 42.1176383)",SS84,roundabout,,,,
190106223,True,unclassified,False,5.227,"LINESTRING (14.2922268 42.1152828, 14.2922233 42.1152595, 14.2922302 42.1152365)",,roundabout,,,,
190106263,False,unclassified,False,7.712,"LINESTRING (14.2936689 42.1185908, 14.2936609 42.1185217)",,,Vico Monteniera,,30,
"[607915787, 607915892]",False,residential,True,63.355999999999995,"LINESTRING (14.2936689 42.1185908, 14.2936221 42.1185987, 14.2935295 42.1186033, 14.2934777 42.1185895, 14.2933888 42.1185694, 14.2932617 42.1185492, 14.2931605 42.1185319, 14.2931284 42.11853, 14.2930717 42.1185108, 14.2930013 42.1184778, 14.2929613 42.1184373)",,,via Borrelli,,,no
607916026,False,residential,False,43.985,"LINESTRING (14.2936689 42.1185908, 14.2936748 42.1186519, 14.2937315 42.1187086, 14.2938194 42.1187822, 14.2939016 42.1188516, 14.2939753 42.1189)",,,via Settentrione,,,
190106263,False,unclassified,True,7.712,"LINESTRING (14.2936609 42.1185217, 14.2936689 42.1185908)",,,Vico Monteniera,,30,
190106263,False,unclassified,False,106.921,"LINESTRING (14.2936609 42.1185217, 14.2936541 42.1184623, 14.293567 42.1183958, 14.2931727 42.1182107, 14.2930842 42.118155, 14.2929272 42.1178058, 14.2929217 42.1177979)",,,Vico Monteniera,,30,
1197172673,False,unclassified,True,112.91499999999999,"LINESTRING (14.2936609 42.1185217, 14.2935 42.1184594, 14.2930064 42.1182645, 14.2926175 42.1181312, 14.2924217 42.1181013)",,,,,,
190106223,True,unclassified,False,1.367,"LINESTRING (14.2923038 42.1153328, 14.2922875 42.1153306)",,roundabout,,,,
190106223,True,unclassified,False,10.930000000000001,"LINESTRING (14.2924097 42.115288, 14.2923958 42.1153067, 14.2923751 42.1153215, 14.2923477 42.1153315, 14.2923175 42.1153347, 14.2923038 42.1153328)",,roundabout,,,,
