osmid,oneway,lanes,name,highway,reversed,length,tunnel,geometry,ref,maxspeed,bridge,junction
"[29977232, 1177553394, 1177553395]",True,2,Via Pontina,tertiary,False,443.79399999999987,yes,"LINESTRING (12.505924 41.6712807, 12.5066099 41.6707812, 12.5072551 41.6702766, 12.5076948 41.6699228, 12.5077436 41.669881, 12.5077963 41.6698322, 12.5078511 41.6697767, 12.5079099 41.6697143, 12.5079464 41.6696721, 12.5079809 41.6696308, 12.5080128 41.6695894, 12.5080494 41.669534, 12.5080834 41.6694785, 12.5081013 41.669448, 12.5083465 41.6690088, 12.5083689 41.668976, 12.5083939 41.6689513, 12.5084286 41.668924, 12.5084468 41.6689128, 12.5084647 41.6689037, 12.5084874 41.6688931, 12.5085092 41.6688848, 12.5085549 41.6688749, 12.5086021 41.6688701, 12.5086281 41.6688691, 12.5086479 41.6688703, 12.5086769 41.6688743, 12.5087034 41.6688803, 12.5087291 41.6688877, 12.5087575 41.6688972, 12.5087789 41.6689052, 12.508803 41.6689152, 12.5088417 41.6689372, 12.5088837 41.6689626, 12.508955 41.6690139, 12.5089793 41.6690321, 12.5091724 41.6691764, 12.5091914 41.6691906, 12.5094155 41.6693689)",,,,
52906682,True,1,,trunk_link,False,92.982,,"LINESTRING (12.505924 41.6712807, 12.5062956 41.671112, 12.5063151 41.6711025, 12.5063542 41.6710825, 12.5063987 41.6710575, 12.5064353 41.6710352, 12.5064665 41.6710158, 12.5064897 41.6709994, 12.5065277 41.6709698, 12.5065494 41.6709547, 12.5065738 41.6709397, 12.5066065 41.6709204, 12.5066417 41.670901, 12.5068367 41.6708005)",,,,
"[24235834, 188038596, 188038607]",True,2,Strada regionale 148 Pontina,trunk,False,362.373,,"LINESTRING (12.5068367 41.6708005, 12.5072688 41.670448, 12.5078953 41.6699523, 12.5089321 41.6691507, 12.5091486 41.6689878, 12.5098722 41.6684606)",SR148,90,yes,
"[232015312, 176191355]",False,2,"['Via Virgilio', 'Via Roma']",tertiary,False,207.812,,"LINESTRING (12.5023313 41.6692907, 12.5022542 41.6694272, 12.5022504 41.669434, 12.502246 41.6694423, 12.5022244 41.6694858, 12.5021321 41.669657, 12.5019518 41.6700047, 12.5019183 41.6700712, 12.5019027 41.6701037, 12.5018531 41.6701932, 12.501755 41.6703773, 12.5016072 41.6706588, 12.5015624 41.670745, 12.5015529 41.6707624, 12.5014664 41.6709276, 12.5014132 41.6710291)",,50,,
176191355,False,2,Via Virgilio,tertiary,True,123.76,,"LINESTRING (12.5023313 41.6692907, 12.50236 41.6692245, 12.5028366 41.6683066, 12.5028651 41.6682517)",,50,,
232016296,True,,Via Filippo Re,residential,False,72.438,,"LINESTRING (12.5007423 41.670087, 12.5006994 41.6701676, 12.5004199 41.6706923)",,50,,
31538737,True,,Via Domenico Guerazzi,residential,False,61.962,,"LINESTRING (12.5030269 41.6694772, 12.5029926 41.6694776, 12.5029569 41.6694765, 12.5029252 41.6694739, 12.5028919 41.6694688, 12.5028503 41.6694601, 12.5027847 41.6694449, 12.5023313 41.6692907)",,,,
232016106,True,,Via Silvio Pellico,residential,False,172.964,,"LINESTRING (12.5036361 41.6684829, 12.5044076 41.6670381)",,,,
193232790,True,,,residential,False,23.168,,"LINESTRING (12.5036361 41.6684829, 12.5035786 41.668589, 12.5034615 41.6685549)",,,,
177524813,False,,Via Santorre di Santarosa,residential,False,9.479,,"LINESTRING (12.505931 41.6665621, 12.5058927 41.6666424)",,,,
24235917,True,2,Via Federico Fellini,tertiary,False,22.935999999999996,,"LINESTRING (12.505931 41.6665621, 12.5058343 41.6665345, 12.5058046 41.6665247, 12.5057803 41.6665149, 12.5057551 41.6665, 12.5057352 41.666485, 12.5057203 41.6664703, 12.5057094 41.6664515)",,,,
