osmid,oneway,ref,highway,reversed,length,name,geometry,lanes,bridge,maxspeed,tunnel,junction
"[302043642, 302043506]",True,ex SS 212,secondary,False,91.947,Via Roma,"LINESTRING (14.8338544 41.4839576, 14.8339565 41.4840237, 14.8341674 41.4841567, 14.8343671 41.4843852, 14.8344158 41.4845076, 14.834426 41.4846258)",,,,,
"[303270387, 4243940]",False,,residential,False,100.774,"['Via Calemme', 'Largo Calemme']","LINESTRING (14.8318767 41.4820278, 14.8327256 41.4825603, 14.8327781 41.4825837, 14.8328112 41.4826024)",,,,,
4243940,False,,residential,True,247.609,Via Calemme,"LINESTRING (14.8318767 41.4820278, 14.8315725 41.4818027, 14.8312222 41.4815857, 14.8305999 41.4813124, 14.8301453 41.4811566, 14.8296046 41.4810217, 14.8293461 41.480909)",,,,,
300978627,False,,residential,False,194.03499999999997,Traversa via Calemme,"LINESTRING (14.8318767 41.4820278, 14.831963 41.4819082, 14.8320104 41.4818496, 14.8320453 41.4818095, 14.8321976 41.4815751, 14.8323499 41.48135, 14.8324817 41.4811526, 14.832518 41.4810807, 14.8325846 41.4809491, 14.8326724 41.4808333, 14.832704 41.4807918, 14.8327795 41.4806913, 14.8328686 41.4805728, 14.8329026 41.4805388, 14.8329558 41.4804856)",,,,,
4243940,False,,residential,False,247.609,Via Calemme,"LINESTRING (14.8293461 41.480909, 14.8296046 41.4810217, 14.8301453 41.4811566, 14.8305999 41.4813124, 14.8312222 41.4815857, 14.8315725 41.4818027, 14.8318767 41.4820278)",,,,,
4243985,False,,primary_link,False,155.062,,"LINESTRING (14.8391682 41.481021, 14.8392805 41.4812617, 14.8396766 41.4823619)",,,,,
281717916,False,SS212,primary,False,205.779,Strada Statale 212 della Val Fortore,"LINESTRING (14.8391682 41.481021, 14.8398857 41.4820333, 14.8402975 41.4826666)",2,,,,
4243987,True,ex SS 212,secondary,False,127.85199999999999,Corso Carmine,"LINESTRING (14.8347245 41.4864863, 14.8348273 41.4864444, 14.8348345 41.4864394, 14.8349152 41.4864068, 14.8352339 41.4862749, 14.8353617 41.4862266, 14.8356831 41.4860939, 14.8360963 41.4859761)",,,,,
302043391,False,ex SS 212,secondary,False,98.195,Corso Carmine,"LINESTRING (14.8347245 41.4864863, 14.8346526 41.4865143, 14.834591 41.4865434, 14.8345255 41.4865639, 14.8341241 41.4868755, 14.8340122 41.487002, 14.8339337 41.4871178)",2,,,,
4243938,True,,residential,False,37.305,Largo Giuseppe Garibaldi,"LINESTRING (14.8336256 41.4842446, 14.8337954 41.4840527, 14.8338251 41.4840154, 14.8338544 41.4839576)",,,,,
257687077,True,SP93,tertiary,False,533.7109999999999,Via Feudo,"LINESTRING (14.8336256 41.4842446, 14.8334834 41.4841165, 14.8333895 41.4840179, 14.8333402 41.4839661, 14.8332757 41.4838985, 14.8331238 41.4837389, 14.8331025 41.4837166, 14.8329778 41.4835929, 14.832829 41.4834454, 14.8328105 41.4834364, 14.8327333 41.4833906, 14.8326385 41.4833529, 14.8326164 41.4833321, 14.8324493 41.4833132, 14.8324222 41.4833096, 14.8320436 41.4832653, 14.8317266 41.483156, 14.8310587 41.4828144, 14.8308388 41.4826577, 14.8304498 41.4822176, 14.8304181 41.4821802, 14.8303971 41.4821555, 14.8298705 41.4815344, 14.8293461 41.480909)",2,,,,
302043430,True,ex SS 212,residential,False,75.134,Salita Airella,"LINESTRING (14.8343326 41.483252, 14.8344765 41.4830658, 14.8345628 41.4829632, 14.8346661 41.4828415, 14.8348126 41.4827133, 14.8348389 41.4826959)",,,,,
"[302043492, 303270388]",True,ex SS 212,secondary,False,146.738,"['Via Guglielmo Marconi', 'Largo Calemme']","LINESTRING (14.8343326 41.483252, 14.8341888 41.4831681, 14.8333396 41.4827953, 14.8331267 41.4827019, 14.8329705 41.4826282, 14.8328901 41.4826094, 14.8328112 41.4826024)",,,,,
302043404,False,,unclassified,False,26.209000000000003,Largo Casale,"LINESTRING (14.8331072 41.4881095, 14.8330384 41.4881582, 14.8328784 41.4882713)",,,,,
