osmid,lanes,name,highway,width,junction,oneway,reversed,length,geometry,maxspeed
75722073,1,Viale Montenero,secondary,4,roundabout,True,False,4.092,"LINESTRING (9.9213845 45.4058626, 9.9213459 45.4058875)",
75722086,2,Viale Adua,secondary,8,,False,False,228.58700000000002,"LINESTRING (9.9213845 45.4058626, 9.9217631 45.4060503, 9.9219405 45.4061096, 9.922136 45.406148, 9.9225131 45.4061894, 9.9231053 45.4062544, 9.9233141 45.4062725, 9.9241812 45.4063474)",
75722081,2,Viale Adua,secondary,8,,False,False,28.441,"LINESTRING (9.9266071 45.4066384, 9.9269216 45.4067675)",
75722089,2,,secondary,6,,True,False,58.480000000000004,"LINESTRING (9.9266071 45.4066384, 9.9263949 45.4065935, 9.9261735 45.40656, 9.9260197 45.4065534, 9.925876 45.4065748)",
46579284,1,Largo Montello,tertiary,4,roundabout,True,False,10.359,"LINESTRING (9.9259024 45.4054404, 9.9259162 45.4054699, 9.9259212 45.4055007, 9.9259175 45.4055317)",
46579284,1,Largo Montello,tertiary,4,roundabout,True,False,20.204,"LINESTRING (9.9256955 45.405349, 9.9257655 45.4053549, 9.9258222 45.4053737, 9.9258691 45.405403, 9.9259024 45.4054404)",
46579285,1,Viale Piave,tertiary,3,,True,False,17.349,"LINESTRING (9.9256955 45.405349, 9.9258147 45.4053214, 9.9259075 45.4053023)",
46579284,1,Largo Montello,tertiary,4,roundabout,True,False,3.322,"LINESTRING (9.9254043 45.4055792, 9.9253911 45.4055508)",
46579284,1,Largo Montello,tertiary,4,roundabout,True,False,11.699,"LINESTRING (9.9257644 45.4056505, 9.9256177 45.405672)",
46579286,,Viale Piave,tertiary,,,False,False,103.981,"LINESTRING (9.9259075 45.4053023, 9.9272022 45.4050828)",
75727636,2,Via Guglielmo Marconi,tertiary,6,,False,False,80.06,"LINESTRING (9.9259075 45.4053023, 9.925725 45.4045938)",
46579281,1,Viale Piave,tertiary,3,,True,False,15.478000000000002,"LINESTRING (9.9259075 45.4053023, 9.9259029 45.4053447, 9.925893 45.4053861, 9.9259024 45.4054404)",
75722073,1,Viale Montenero,secondary,4,roundabout,True,False,12.362,"LINESTRING (9.9213459 45.4058875, 9.9213166 45.405896, 9.9212852 45.4058989, 9.9212539 45.4058961, 9.9212246 45.4058877, 9.9211994 45.4058741)",
108149260,,,unclassified,,,True,False,19.417,"LINESTRING (9.9213459 45.4058875, 9.9212837 45.4059452, 9.9212568 45.4060457)",
