osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,width,ref,junction
118597429,Roma,tertiary,False,False,174.127,"LINESTRING (15.4495876 41.7808872, 15.4492556 41.7813133, 15.4489123 41.7815453, 15.448106 41.7819552)",,,,,,
1047375428,Via Italia,tertiary,False,False,68.447,"LINESTRING (15.4388897 41.7810062, 15.4393052 41.7815381)",2,,,,,
157540598,Via Galileo Galilei,residential,False,False,103.175,"LINESTRING (15.4388897 41.7810062, 15.4387683 41.7813251, 15.4387093 41.7816491, 15.4387314 41.781918)",,,,,,
"[27834816, 1047375428, 308679438]",Via Italia,tertiary,False,True,32.781,"LINESTRING (15.4388897 41.7810062, 15.4388336 41.7809168, 15.4388155 41.780888, 15.4387351 41.78076, 15.4387221 41.7807392)",2,yes,,,,
308679439,Via Italia,tertiary,False,True,50.823,"LINESTRING (15.4412548 41.78332, 15.4408543 41.782974)",2,,20,,,
1000049532,Via San Giacomo,tertiary,False,False,7.651,"LINESTRING (15.4412548 41.78332, 15.4412391 41.7833878)",,,,6,,
1040359593,Via Italia,residential,False,True,7.797,"LINESTRING (15.4412548 41.78332, 15.4413231 41.7833682)",,,,,,
27834817,Via San Giacomo,tertiary,False,True,57.494,"LINESTRING (15.4406931 41.7868846, 15.4404297 41.7864063)",,,30,,,
585259605,Via Piave,tertiary,False,False,79.22299999999998,"LINESTRING (15.4406931 41.7868846, 15.4406418 41.7869631, 15.4403271 41.7874448, 15.4402746 41.7875251)",,,,8.5,,
27834817,Via San Giacomo,tertiary,False,True,40.376,"LINESTRING (15.4402683 41.7859222, 15.4402211 41.7855608)",,,30,,,
1047513938,Via Ammiraglio Thaon De Revel,residential,False,False,24.674,"LINESTRING (15.4402683 41.7859222, 15.4405658 41.7859166)",,,,,,
27834817,Via San Giacomo,tertiary,False,False,55.782,"LINESTRING (15.4402683 41.7859222, 15.4402877 41.7860711, 15.4403213 41.7861661, 15.4403769 41.7863103, 15.4404297 41.7864063)",,,30,,,
44326797,Via Ammiraglio Thaon De Revel,tertiary,False,False,47.230000000000004,"LINESTRING (15.4402683 41.7859222, 15.4401311 41.7859215, 15.4399652 41.7859207, 15.4397006 41.7858968)",,,,8.4,,
1040353304,Via Duca d'Aosta,residential,False,False,33.247,"LINESTRING (15.4397006 41.7858968, 15.4396861 41.785598)",,,,,,
44326797,Via Ammiraglio Thaon De Revel,tertiary,False,False,38.488,"LINESTRING (15.4397006 41.7858968, 15.4395688 41.7858979, 15.4392364 41.785899)",,,,8.4,,
44326797,Via Ammiraglio Thaon De Revel,tertiary,False,True,47.23,"LINESTRING (15.4397006 41.7858968, 15.4399652 41.7859207, 15.4401311 41.7859215, 15.4402683 41.7859222)",,,,8.4,,
157223857,Via Modena,residential,False,True,127.352,"LINESTRING (15.4397006 41.7858968, 15.4397275 41.7869702, 15.4397293 41.7870419)",,,,,,
44326797,Via Ammiraglio Thaon De Revel,tertiary,False,False,39.706,"LINESTRING (15.4392364 41.785899, 15.4387575 41.785898)",,,,8.4,,
157540605,Via Francesco Ferrucci,residential,False,False,29.914,"LINESTRING (15.4392364 41.785899, 15.4392415 41.78563)",,,,,,
44326797,Via Ammiraglio Thaon De Revel,tertiary,False,True,38.488,"LINESTRING (15.4392364 41.785899, 15.4395688 41.7858979, 15.4397006 41.7858968)",,,,8.4,,
"[27834816, 1047375428, 308679438]",Via Italia,tertiary,False,False,32.781,"LINESTRING (15.4387221 41.7807392, 15.4387351 41.78076, 15.4388155 41.780888, 15.4388336 41.7809168, 15.4388897 41.7810062)",2,yes,,,,
1000057300,Via Giuseppe Parini,unclassified,False,False,40.374,"LINESTRING (15.4421034 41.7839259, 15.4422692 41.7835845)",,,,3,,
1040353303,Corso Generale Torelli,residential,False,True,23.546,"LINESTRING (15.4421034 41.7839259, 15.4423629 41.7840119)",,,,,,
157535224,Via Italia,residential,False,False,83.967,"LINESTRING (15.4421034 41.7839259, 15.4415811 41.7835347, 15.4413751 41.7834018)",,,,,,
27834819,Via Ammiraglio Thaon De Revel,residential,False,False,24.632,"LINESTRING (15.4413194 41.7859329, 15.4416164 41.7859384)",,,,,,
520106239,Via Murge,residential,False,True,23.998,"LINESTRING (15.4413194 41.7859329, 15.4413064 41.7861485)",,,50,,,
1047513938,Via Ammiraglio Thaon De Revel,residential,False,True,33.132000000000005,"LINESTRING (15.4413194 41.7859329, 15.4410193 41.7859176, 15.4409205 41.7859171)",,,,,,
